Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Justice Sudhanshu Dhulia,Male,Hindu,ST,10-Aug-1960,Uttarakhand,"Lansdowne, Pauri Garhwal",1-Nov-2008,9-Aug-2022,No,No,Uttarakhand,Yes,Gauhati High Court,10-Jan-2021,-,,-,,Yes,Gauhati High Court,-,-,No,,Bar,No,Yes,Yes,NA,Yes,No,Yes,No,Yes,NA,NA,NA,Allahabad University,NA,Allahabad University,1986,1986,Allahabad,No,Yes,No
Justice N. Kotiswar Singh,Male,Hindu,General,1-Mar-1963,Manipur,Imphal,17-Oct-2011,28-Feb-2025,No,No,Manipur,Yes,Gauhati High Court,11-Oct-2018,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,"Ramakrishna Mission Vidyapith, Purulia, West Bengal and Pre University Course in Science from St. Anthony’s College, Shillong","Kirori Mal College, Delhi University ",B.A. (Hons.) in Political Science,"Campus Law Centre, Delhi University",1986,1986,Delhi,No,No,No
Justice Manash Ranjan Pathak,Male,Hindu,General,28-Aug-1965,Assam,Guwahati,22-May-2013,27-Aug-2027,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,NA,Yes,No,NA,NA,NA,NA,NA,"Kendriya Vidyalaya, Khanapara, Guwahati","St. Josephs’ College, Bangalore",Arts,"Government Law College, Panbazar, Guwahati, Gauhati University",,1990,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
Justice Michael Zothankhuma,Male,Christian,,23-Oct-1965,-,-,7-Jan-2015,22-Oct-2027,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,NA,No,NA,NA,NA,NA,NA,"St. Edmund's School, Shillong", Hindu College under Delhi University.,B.A. (Hons.) in English,Campus Law Centre under Delhi University,,,-,No,No,No
Justice Suman Shyam,Male,,,12-Jun-1969,-,-,7-Jan-2015,11-Jun-2031,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,NA,NA,No,Yes,NA,NA,NA,NA,NA,Gauhati University,B.Sc (Major),"J.B. Law College, Guwahati",,1996,Assam,No,No,No
Justice Rumi Kumari Phukan,Female,Hindu,General,1-Jul-1960,Assam,Jorhat,1-Dec-1988,30-Jun-2022,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,NA,NA,"JB College, Jorhat",BA (Hons in Economics),Jorhat Law College,1987,1987,Assam,No,No,No
Justice Songkhupchung Serto,Male,Christian,ST,1-Mar-1961,Manipur,"Sagang Village, Churachandpur District",16-May-1992,28-Feb-2023,No,No,Manipur,Yes,Gauhati High Court,3-Oct-2016,-,,-,,No,-,-,-,No,,Service,Yes,Yes,No,Yes,NA,No,NA,NA,NA,NA,NA,NA,"St. Anthony’s College, Shillong",NA,"Law Faculty, Delhi University",,1986,-,No,No,No
Justice Achintya Malla Bujor Barua,Male,Hindu,General,15-Dec-1961,-,-,15-Nov-2016,14-Dec-2023,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,No,Yes,No,Yes,NA,NA,NA,NA,"Kendriya Vidyalaya, Guwahati",Utkal University,-,"Government Law College, Guwahati under Gauhati University",,1988,Assam,No,Yes,No
Justice Kalyan Rai Surana,Male,Jain,General,13-Dec-1965,-,-,15-Nov-2016,12-Dec-2027,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,Commerce (Major in Management Accountancy & Taxation),NA,1991,1992,-,No,No,No
Justice Prasanta Kumar Deka,Male,Hindu,,5-Nov-1959,-,-,15-Nov-2016,4-Nov-2021,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,No,NA,No,NA,NA,NA,NA,NA,NA,"Assam Engineering College, Jalukbari, Guwahati",Integrated B.E. Course,"Government Law College, Guwahati under Gauhati University",1989,1996,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
