Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Dr. Ravi Ranjan,Male,Hindu,,20-Dec-1960,Bihar,Patna,14-Jul-2008,19-Dec-2022,No,No,Patna High Court,No,,,,,,,Yes,Jharkhand High Court,,,No,,Bar,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,Patna University,M.Sc. and Ph.D. in Geology,"Patna Law College, Patna University",1989,1990,,No,Yes,No
Aparesh Kumar Singh,Male,Hindu,,7-Jul-1965,,,24-Jan-2012,6-Jul-2027,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,Yes,No,No,No,No,Yes,No,No,,,B.A. Hons.,University of Delhi,,1990,,No,No,No
Shree Chandrashekhar,Male,Hindu,,25-May-1965,,,17-Jan-2013,24-May-2027,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,,,B.Sc. Hons. ,"Campus Law Centre, University of Delhi",1993,1993,Delhi State Bar Council,No,No,No
Sujit Narayan Prasad,Male,,,20-Jun-1967,,,26-Sep-2014,19-Jun-2029,No,No,Jharkhand High Court,Yes,Odisha High Court,12-Mar-2015,Jharkhand High Court,22-Nov-2018,,,No,,,,No,,Bar,No,Yes,No,Yes,No,No,No,No,No,No,No,,,M.A. (Economics),,,1995,,No,Yes,No
Rongon Mukhopadhyay,Male,,,29-Dec-1967,,,26-Sep-2014,28-Dec-2029,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,,Yes,No,No,No,No,No,No,,,B.Com. Hons.,,,1991,,No,No,No
Ratnaker Bhengra,Male,Hindu,ST,5-Oct-1962,,,17-Apr-2015,4-Oct-2024,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,No,Yes,No,,No,No,No,No,"Mount Hermon School, Darjeeling","Kirori Mal College, Delhi University",Geography,Delhi University,,1988,,No,Yes,No
Ananda Sen,Male,,,15-Aug-1969,,,8-Apr-2016,14-Aug-2031,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,"Assembly of God Church School, Kolkata",Kolkata University,B.Com. Hons.,"Chhotanagpur Law College, Ranchi (Ranchi University)",,1996,,No,No,No
Dr. Shiva Nand Pathak,Male,,,15-Jan-1963,,,30-Sep-2016,14-Jan-2025,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,,"Bihar National College, Patna University",History (Hons.) ,"Patna Law College, Patna University",1988,1988,Bihar State Bar Council,No,Yes,No
Rajesh Shankar,Male,,,16-Dec-1970,,,30-Sep-2016,15-Dec-2032,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,No,Yes,No,Yes,No,No,No,No,"St. John's High School, Ranchi","Hindu College, University of Delhi",B.A. Hons.,"Campus Law Centre, Faculty of Law, Delhi University",,1995,,No,No,No
Anil Kumar Choudhary,Male,,,18-Jun-1965,,,20-May-2017,17-Jun-2027,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,,"Government College, Rourkela",B.Sc.,Rourkela Law College,1988,1995,,No,Yes,No
Rajesh Kumar,Male,,,,,,6-Jan-2018,25-Oct-2030,,,Jharkhand High Court,,,,,,,,,,,,,,Bar,,,,,,,,,,,,,,,,,,,,,
Anubha Rawat Choudhary,Female,,,25-Jun-1970,,,6-Jan-2018,24-Jun-2032,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,"Guru Nanak School, Ranchi","Miranda House, Delhi University",Bachelor of Science (Physics Honours Course),"Campus Law Centre, Delhi University",1995,1995,,No,No,No
