Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Dr. S. Muralidhar,Male,Hindu,General,8-Aug-1961,,,29-May-2006,7-Aug-2023,No,No,Delhi High Court,Yes,Punjab and Haryana High Court,6-Mar-2020,,,,,Yes,Odisha High Court,,,No,,Bar,No,Yes,No,NA,,No,,,Yes,,Yes,,Vivekananda College,Science (Chemistry),University of Madras,1984,1984,Bar Council of Tamil Nadu,No,No,Yes
Dr. Sanju Panda,Female,Hindu,General,10-Jul-1959,Odisha,Parlakhemundi,1-Mar-2007,9-Jul-2021,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,Yes,,Yes,,,,,1985,1985,Odisha State Bar Council ,No,No,No
Sanjay Kumar Mishra,Male,Hindu,General,29-Dec-1961,Odisha,Bolangir,7-Oct-2009,28-Dec-2023,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,,No,,,,,Yes,"Prithviraj High School, Bolangir","Rajendra College, Bolangir",Commerce (Honours),Delhi University,1987,1988,Odisha State Bar Council ,No,Yes,No
Chitta Ranjan Dash,Male,Hindu,,21-May-1962,Odisha,Sonepur,7-Oct-2009,20-May-2024,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,Yes,No,,,,,Yes,"Panchayata Samiti High School, Ullunda","B.J.B. College, Bhubaneswar ",Political Science (Honours),"Madhu Sudan Law College, Cuttack",1985,1986,Odisha State Bar Council ,No,No,Yes
Biswajit Mohanty,Male,Hindu,General,22-Oct-1960,Odisha,Cuttack,20-Jun-2013,21-Oct-2022,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,No,,No,,,,,Yes,"Secondary Board High School, Cuttack"," Ravenshaw College, Cuttack",Political Science (Honours),"Campus Law Centre, Delhi University",1985,1985,Odisha State Bar Council ,No,Yes,No
Dr. Bidyut Ranjan Sarangi,Male,Hindu,,20-Jul-1960,Odisha,"Pantikharisasan, Odagaon",20-Jun-2013,19-Jul-2024,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,No,,No,Yes,Yes,Yes,Yes,Yes,,"B.J.B. College, Bhubaneswar",Commerce (Honours),"M.S. Law College, Cuttack",,1985,Odisha State Bar Council ,No,Yes,Yes
Debabrata Dash,Male,Hindu,,12-Oct-1962,Odisha,Baripada,29-Nov-2013,11-Oct-2024,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,,No,,,,,Yes,"MKC High School, Baripada","MPC College, Baripada",Physics (Honours),"Mayurbhanj Law College, Utkal University",1984,1985,Odisha State Bar Council ,No,No,No
Satrughana Pujahari,Male,Hindu,,24-Sep-1960,Odisha,"Subalaya, Sonepur",29-Nov-2013,23-Sep-2022,No,No,Odisha High Court,Yes,Madras High Court,23-Nov-2017,Orissa High Court,19-Nov-2018,,,No,,,,No,,Service,Yes,Yes,No,No,,No,,,,,Yes,"Subalaya High School, Sonepur","Rajendra College, Bolangir",Political Science (Honours),"Lal Lajpat Ray Law College, Sambalpur",1986,,Odisha State Bar Council ,No,No,No
Biswanath Rath,Male,Hindu,General,7-Sep-1961,Odisha,,2-Jul-2014,7-Sep-2023,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,,Yes,Yes,"Ravenshaw Collegiate School, Cuttack",Utkal University,Arts,"M.S. Law College, Cuttack",,1985,Odisha State Bar Council ,No,No,No
Sangam Kumar Sahoo,Male,Hindu,,5-Jun-1964,Odisha,,2-Jul-2014,4-Jun-2026,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,,,,,Yes,"Nuabazar High School, Cuttack.","Stewart Science College, Cuttack",Science,"The Law College, Cuttack",,1989,Odisha State Bar Council ,No,Yes,No
