Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A.B. Saharya,Male,Hindu,General,15-Sep-1940,,,24-Apr-1986,14-Sep-2002,No,No,Delhi ,No,,,,,,,Yes,Punjab and Haryana,,,No,,Bar,No,Yes,Yes,NA,,,,,,,,,,,,,1963,Mysore,,,
Adarsh Kumar Goel,Male,Hindu,General,7-Jul-1953,Haryana,Hissar,2-Jul-2001,6-Jul-2014,No,No,Punjab and Haryana,Yes,Gauhati,12-Sep-2011,,,,,Yes,Gauhati,Orissa,,Yes,7-Jul-2014,Bar,No,Yes,Yes,NA,,,,,,,,,"Punjab University, Chandigarh",B.A. (Hons.),"Punjab University, Chandigarh",,1974,Punjab and Haryana,No,No,No
Ajay Kumar Mittal,Male,Hindu,General,30-Sep-1958,Chandigarh,,9-Jan-2004,28-May-2019,No,No,Punjab and Haryana,Yes,Meghalaya,28-May-2019,Madhya Pradesh,3-Nov-2019,,,Yes,Meghalaya High Court,Madhya Pradesh,,No,,Bar,No,Yes,,NA,Yes,No,,,,,No,,"Sri Ram College of Commerce, Delhi University ",B.Com. (Hons.),"Faculty of Law, Delhi University",1980,1980,Punjab and Haryana,No,No,No
Amar Bir Singh Gill,Male,Sikh,General,,,,20-Jun-1994,19-May-2003,No,No,Punjab and Haryana,Yes,Allahabad,21-Jul-1994,,,,,No,,,,No,,Bar,No,Yes,,NA,,No,,,,,No,,,,,,,,,,
Amar Dutt,Male,Hindu,General,,,,8-Feb-1999,22-Aug-2006,No,No,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Amarjeet Chaudhary,Male,Hindu,General,,,,27-Jun-1988,4-Sep-1988,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Amrit Lal Bahri,Male,Hindu,General,,,,4-May-1988,26-Oct-1994,No,No,Punjab and Haryana ,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Anand Parkash Chowdhri,Male,Hindu,General,,,,4-May-1988,31-Mar-1995,No,No,Punjab and Haryana ,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Arjan Kumar Sikri,Male,Hindu,General,7-Mar-1954,,,7-Jul-1999,11-Apr-2013,No,No,Delhi ,No,,,,,,,Yes,Punjab and Haryana,,,Yes,12-Apr-2013,Bar,No,Yes,Yes,NA,No,No,Yes,Yes,Yes,,,,"Shriram College of Commerce, Delhi University",B.Com(Hons.),"Law Faculty, Delhi University",1977,1977,Delhi,No,No,Yes
A.S. Garg,Male,Hindu,General,,,,8-Feb-1999,17-Dec-2001,No,No,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
A.S. Nehra,Male,Hindu,General,,,,15-Jun-1990,2-Jun-1997,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,,No,,,,,,,,,,,,,,,,,,,No,No
Ashok Bhan,Male,Hindu,General,2-Oct-1943,,,15-Jun-1990,17-Jun-2001,No,No,Punjab and Haryana,Yes,Karnataka,7-Oct-1997,,,,,Yes,Karnataka,,,Yes,17-Jun-2001,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,No,,,,,,,,1965,Punjab and Haryana,No,No,No
Ashutosh Mohunta,Male,Hindu,General,25-Feb-1953,Haryana,Sirsa,2-Jul-2001,24-Feb-2015,No,No,Punjab and Haryana,Yes,Andhra Pradesh,28-Oct-2010,Punjab and Haryana,26-Jun-2014,,,No,,,,No,,Bar,No,Yes,Yes,NA,Yes,No,,,,,Yes,"Mayo College at Ajmer, Rajasthan",,,Delhi University,,1977,Punjab and Haryana,No,No,No
B. Rai,Male,Hindu,General,,,,29-Jan-1996,31-Jan-1999,No,No,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Bakshish Kaur,Female,Sikh,General,,,,14-May-1999,6-Jul-2002,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,Patiala,Home Science and Psychology,Panjab University,1962,,,No,No,No
Baldev Singh,Male,Sikh,General,,,,5-Nov-2004,12-Feb-2007,No,No,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Binod Kumar Roy ,Male,Hindu,General,26-Dec-1944,,,31-Oct-1988,27-Dec-2006,No,No,Patna,Yes,Allahabad,28-Apr-1994,,,,,Yes,Punjab and Haryana,Gawahati,Sikkim,No,,Bar,No,Yes,,NA,,,,,,,,,"Patna College, a Constituent College of the Patna University",Arts with Honours in Political Science and Distinction in General Knowledge,Magadh University,,1968,Bihar,No,Yes,No
B.S. Nehra,Male,Hindu,General,,,,15-Mar-1991,2-Apr-1994,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,,Yes,No,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
Daljeet Singh Dhaliwal,Male,Sikh,General,,,,20-Jun-1994,22-Jul-1994,No,No,Punjab and Haryana,Yes,Patna,21-Jul-1994,,,,,No,,,,No,,Bar,No,No,,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,,,
Daya Chaudhary,Female,Hindu,OBC,10-Jan-1959,,,5-Dec-2007,9-Jan-2021,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,No,No,,,,,,1987,Punjab and Haryana,No,Yes,Yes
Devinder Kumar Jain,Male,Jain,General,25-Jan-1948,,,19 Mar 1991,9-Apr-2006,No,No,Delhi ,No,,,,,,,Yes,Punjab and Haryana,,,Yes,10-Apr-2006,Bar,No,Yes,,NA,Yes,No,,,Yes,,,,,,,,1974,Delhi,,,
Ganpat Singh Singhvi,Male,Hindu,General,12-Oct-1948,Rajasthan,Jodhpur,20-Jul-1990,11-Nov-2007,No,No,Rajasthan ,Yes,Punjab and Haryana,28-Apr-1994,Gujarat ,28-Feb-2005,,,Yes,Andhra Pradhesh,,,Yes,12-Nov-2007,Bar,No,Yes,,NA,Yes,No,Yes,No,Yes,,Yes,,Jodhpur University,,Rajasthan University,1971,1971,Rajasthan,No,No,No
G.C. Gargg,Male,Hindu,General,,,,15-Mar-1991,23-Jul-1999,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,,No,,,,,,,,,,,,,,,,,,No,No,No
G.S. Chahal,Male,Hindu,General,,,,15-Jun-1990,21-Dec-1993,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,,No,,,,,,,,,,,,,,,,,,No,No,No
