Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Manoj Kumar Tiwari,Male,Hindu,General,1965-09-19,Uttarakhand,Pithoragarh,2017-05-19,2027-09-18,No,No,Uttarakhand,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,No,No,No,No,No,No,No,No,"Kendriya Vidyalaya, Pithoragarh","Government Post Graduate College, Pithoragarh",,Delhi University,1990,1990,U.P. Allahabad,No,Yes,No
Sharad Kumar Sharma,Male,Hindu,,1962-01-01,Uttar Pradesh,Allahabad,2017-05-19,2023-12-31,No,No,Uttarakhand,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,"‘Boys’ High School and Intermediate College, Allahabad",Allahabad University,B.Com,Allahabad University ,,1992,,No,No,No
Narayan Singh Dhanik,Male,,,1960-05-20,Uttarakhand,"Village Pubhauna, District Almora",2018-12-03,2022-05-19,No,No,Uttarakhand,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,"Sarvodaya Inter College, Jainti, Almora and Rajkiya Mahavidyalaya, Almora",,,Lucknow University,,,,No,No,No
Ramesh Chandra Khulbe,Male,,,,,,2018-12-03,2023-01-02,No,No,Uttarakhand,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,,,,,,No,No,No
Ravindra Maithani,Male,,,1965-06-25,Uttarakhand,Chamoli,2018-12-03,2027-06-24,No,No,Uttarakhand,No,,,,,,,No,,,,No,,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,,"Garhwal University, Srinagar (Uttarakhand)",B.Sc.,"Garhwal University, Srinagar (Uttarakhand)",,,,No,No,No
Alok Kumar Verma,Male,Hindu,,1964-08-16,Uttar Pradesh,Varanasi,2019-05-22,2026-08-15,No,No,Uttarakhand,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,"D.A.V. (P.G.) Degree College, Varanasi, Uttar Pradesh",,Harish Chandra Postgraduate College,1985,,,No,No,No
Raghvendra Singh Chauhan,Male,Hindu,,1959-12-24,,,2005-06-13,2021-12-23,No,No,Rajasthan,Yes,Karnataka High court,2015-03-10,Andhra Pradesh and Telangana,2018-11-23,,,Yes,Telangana High Court,Uttarakhand High Court,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,No,No,,"Arcadia University, Glenside, PA (USA)",,"Delhi University, Delhi",1983,1983,Rajasthan,No,No,No
Ashok Abhaiendra Desai,Male,Hindu,,1942-06-24,,,1986-11-21,,No,Yes,Bombay,Yes,Allahabad High Court,1999-03-08,Uttarakhand,2000-11-09,,,Yes,Uttarakhand High Court,,,No,,Bar,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,,"Fergusson College, Pune and London School of Economics and Policitcal Science","Not Available for Fergusson College, B.Sc. Economics from LSE","Government Law College, Bombay",,1956,Lincoln's Inn,No,No,No
Sarosh Homi Kapadia,Male,,,1947-09-29,Maharashtra,Mumbai,1991-10-08,2012-09-28,No,No,Bombay,Yes,Uttarakhand,2003-08-05,,,,,Yes,Uttarakhand High Court,,,Yes,2003-12-18,Bar,No,Yes,No,No,Yes,No,No,No,No,No,No,,,,"Government Law College, Bombay",,1974,Maharashtra,No,No,No
Vikas Shridhar Sirpurkar,Male,,,1946-08-22,,,1992-11-09,2011-08-21,No,No,Bombay,Yes,Madras High Court,1997-12-19,,,,,Yes,Uttarakhand High Court,Calcutta High Court,,Yes,2007-01-01,Bar,No,Yes,No,Yes,No,No,No,No,No,No,No,"A school in Chandrapur District, Maharashtra","Morris College, Nagpur",,"University College of Law, Nagpur",,1968,,No,No,No
