Name,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Dhirubhai Naranbhai Patel,Male,,,13-Mar-1960,Gujarat,Ahmedabad,7-Jun-2019,13-Mar-2025,No,No,Gujarat High Court ,Yes,Jharkhand High Court ,3-Feb-2009,Delhi High Court ,7-Jun-2019,,,Yes,Jharkhand High Court ,,,No,,Bar,No,Yes,No,NA,Yes,No,,,Yes,No,Yes,,"M.G..Science College, Ahmedabad",B. Sc.,"L.A. Shah Law College, Ahmedabad",1984,1984,Bar Council of Gujarat,No,Yes,Yes
Vipin Sanghi,Male,,,27-Oct-1961,Maharashtra,Nagpur ,29-May-2006,27-Oct-2026,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,No,Yes,"Delhi Public School, Mathura Road",Delhi University,B.Sc Mathematics (Hons.),Delhi University ,1986,1986,Bar Council of Delhi,No,No,No
Siddharth Mridul,Male,,,22-Nov-1962,Delhi,Delhi,13-Mar-2008,22-Nov-2027,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,Yes,Army Public School,"Hindu College, Delhi University",B.A.Hons.History,Delhi University ,1986,1986,Bar Council of Delhi,No,No,No
Manmohan,Male,,,17-Dec-1962,Delhi,Delhi,13-Mar-2008,17-Dec-2027,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,No,Yes,"Modern School, Barakhamba Road","Hindu College, Delhi University",B.A. (Hons.) in History,Delhi University ,1987,1987,Bar Council of Delhi,No,No,No
Rajiv Sahai Endlaw,Male,,,13-Aug-1959,Delhi,Delhi,11-Apr-2008,13-Aug-2024,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,Yes,"Delhi Public School, Mathura Road","Hans Raj College, Delhi Univeristy",,Delhi University ,,1982,Bar Council of Delhi,No,No,No
Jagjivan Ram Midha ,Male,,,,,,11-Apr-2008,,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,,,,,,,,No,No,No
Rajiv Shakdher,Male,,,19-Oct-1962,,,11-Apr-2008,,No,No,Delhi High Court ,Yes,Madras High Court ,11-Nov-2016,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,Yes,No,Yes,"St. Columba's School, Delhi",University of Delhi,B.Com. (Hons.),Delhi University ,1987,1987,,No,Yes,Yes
Suresh Kumar Kait,Male,,,19-Oct-1962,Haryana,"Village Kakaut, Distt. Kaithal, Haryana, India",5-Sep-2008,19-Oct-2027,No,No,Delhi High Court ,Yes,High Court of Judicature at Hyderabad,12-Apr-2016,Delhi High Court ,12-Oct-2018,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,No,Yes,,"University College, Kurukshetra","""Humanity""",Delhi University ,,1989,,No,Yes,No
Mukta Gupta ,Female,,,28-Jun-1961,,,23-Oct-2009,28-Jun-2026,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,Yes,Montfort School,"Hindu College, Delhi University",B.Sc. Zoology Hons.,Delhi University ,1983,1984,Bar Council of Delhi,No,No,No
Jayant Nath,Male,,,10-Nov-1959,,,17-Apr-2013,,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,,No,Yes,"Delhi Public School, Mathura Road","St. Stephen's College, Delhi University",B.A.(Hon.) Economics,Delhi University ,1982,,,No,No,No
Najmi Waziri,Male,,,,,,17-Apr-2013,,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,No,Yes,"Boys’ High School, Allahabad","St. Stephen's College, Delhi University",B.A. Philosophy (Hons.),Delhi University ,1986,1987,Bar Council of Delhi,Yes,No,Yes
Sanjeev Sachdeva,Male,,,26-Dec-1964,Delhi,Delhi,17-Apr-2013,26-Dec-2029,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,Yes,"Delhi Public School, Mathura Road","Sri Ram College of Commerce, Delhi University",Bachelor of Commerce (Honours Course),Delhi University ,1988,1988,Bar Council of Delhi,No,No,No
Vibhu Bakhru,Male,,,,Maharashtra,Nagpur,17-Apr-2013,,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,Yes,"Delhi Public School, Mathura Road",Delhi University,B. Com. (Hon.),,1990,1990,Bar Council of Delhi,No,,No
V. Kameshwar Rao,Male,,,7-Aug-1965,,,17-Apr-2013,,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,Yes,,Delhi University,B.A. (Hons.) Geography,Delhi University,1990,1991,Bar Council of Delhi,No,No,No
Anu Malhotra,Female,,,27-Nov-1960,Gujarat,Ahmedabad,26-May-2000,,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,"Duruelo Convent, Bandra, Bombay and Junior College from Mithibai College of Science, Bombay","Daulat Ram College, University of Delhi",B. Sc.,Delhi University,1983,,,No,No,No
Yogesh Khanna,Male,,,31-Dec-1961,,,8-Nov-2016,31-Dec-2026,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
