Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Vikram Nath,Male,Hindu,OBC,24-Sep-1962,Uttar Pradesh,Kaushambi,24-Sep-2004,23-Sep-2024,No,No,Allahabad High Court,Yes,Gujarat High Court,10-Sep-2019,,,,,Yes,High Court of Gujarat,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,NA,BSc,NA,1986,1987,Uttar Pradesh,No,No,No
Vineet Kothari,Male,Jain,,2-Sep-1959,Rajasthan,Jodhpur,13-Jun-2005,1-Nov-2021,No,No,Rajasthan High Court,Yes,Karnataka High Court,18-Apr-2016,Madras High Court,23-Sep-2018,Gujarat High Court,4-Jan-2021,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,Yes,No,No,NA,NA,BCom,NA,1981,1984,Rajasthan,No,No,Yes
R. M. Chhaya,Male,Hindu,,12-Jan-1961,Gujarat,Veraval,17-Feb-2011,11-Jan-2023,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,Yes,No,Yes,NA,"M.S. University, Vadodara",BCom,"Sir L.A. Shah Law College, Ahmedabad",1984,1984,Gujarat,No,No,No
J. B. Pardiwala,Male,Hindu,,12-Aug-1965,Maharashtra,Mumbai,17-Feb-2011,11-Aug-2027,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,"J.P. Arts College, Valsad",NA,"K.M.Law College, Valsad",1988,1988,Gujarat,No,No,No
B.M. Trivedi,Female,Hindu,General,10-Jun-1960,NA,NA,17-Feb-2011,9-Jun-2022,No,No,Gujarat High Court,Yes,Rajasthan high court,27-Jun-2011,Gujarat High Court,9-Feb-2016,,,No,,,,No,,Service,Yes,No,NA,No,NA,No,No,No,No,No,No,NA,NA,NA,NA,,,NA,No,No,No
S. G. Gokani,Female,Hindu,,26-Feb-1961,Gujarat,Jamnagar,17-Feb-2011,25-Feb-2023,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,NA,NA,BSc,NA,,,Gujarat,No,No,Yes
A. J. Desai,Male,Hindu,,5-Jul-1962,Gujarat,Vadodara,21-Nov-2011,4-Jul-2024,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,No,Yes,No,Yes,NA,"St. Xaviers' College, Ahmedabad",BA,"Sir L.A. Shah Law College, Ahmedabad",1985,1985,Gujarat,No,No,No
N. V. Anjaria,Male,Hindu,,23-Mar-1965,Gujarat,Ahmedabad,21-Nov-2011,22-Mar-2027,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,Yes,NA,"H.L.College of Commerce, Ahmedabad",BCom,"Sir L.A. Shah Law College, Ahmedabad",1988,1988,Gujarat,No,No,Yes
Paresh Upadhyay,Male,Jain,General,14-Dec-1960,NA,NA,21-Nov-2011,13-Dec-2022,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,Yes,NA,NA,BCom,NA,1996,1996,NA,No,No,No
S. H. Vora,Male,Hindu,,30-May-1961,Gujarat,Bhuj-Kachchh,12-Nov-2012,29-May-2023,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,No,No,No,No,No,No,Yes,NA,NA,BCom,NA,,1987,Gujarat,No,No,No
