Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
MAHESH MITTAL KUMAR,Male,Hindu,General,05-Jan-53,Punjab,,02-Jul-01,,No,No,Punjab and Haryana ,Yes,,,NO,,NO,,Yes,JAMMU & KASHMIR,,,No,,Bar,No,Yes,,No,,Yes,,,,,Yes,,,,"Punjabi University, Patiala",1977,1977,Punjab and Haryana High Court ( 1991-1992),Yes,No,Yes
MOHAMMAD YAQOOB MIR,Male,Muslim,General,28-May-57,,Village Rajpora,23-Nov-07,,,,,,,,,,,,,,,,,,Service,Yes,,,,,,,,,,,,,,,,,,,,
MUZAFFRAR HUSSAIN ATTAR,Male,Muslim,General,30-Jan-55,,,05-Nov-08,,,,,,,,,,,,,,,,,,Bar,No,,,,,,,,,,,,,,,,,,,,
GH. HASNAIN MASSODI,Male,Muslim,General,02-Jan-54,,,13-Nov-09,,,,,,,,,,,,,,,,,,Service,Yes,,,,,,,,,,,,,,,,,,,,
ALI MOHD MAGREY,Male,Muslim,General,08-Dec-60,,Village Wattoo,,,,,,,,,,,,,,,,,,,Bar,No,,,,,,,,,,,,,,,,,,,,
DHIRAJ SINGH THAKUR,Male,Hindu,General,25-Apr-64,,,,,,,,,,,,,,,,,,,,,Bar,No,,,,,,,,,,,,,,,,,,,,
TASHI RABSTAN,Male,Muslim,General,10-Apr-63,,Village SKURBUCHAN,08-Mar-13,,,,,,,,,,,,,,,,,,Bar,No,,,,,,,,,,,,,,,,,,,,
BANSI LAL BHAT,Male,Hindu,General,19-Apr-54,,,08-Mar-13,,,,,,,,,,,,,,,,,,Service,Yes,,,,,,,,,,,,,,,,,,,,
JANAK RAJ KOTWAL,Male,Hindu,General,29-Aug-56,,Bhaderwah,08-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANJEEV KUMAR,Male,Hindu,,08-Apr-66,,,06-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINDHU SHARMA,Female,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJNESH OSWAL,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINOD CHATTERJI KOUL,Male,Hindu,,,,Village Wanpoo,03-Apr-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANJAY DHAR,Male,Hindu,,,,village Danow (Bogund),03-Apr-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNEET GUPTA,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAVED IQBAL WANI,Male,Muslim,,,,,09-Jun-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJESH BINDAL,Male,Hindu,,16-Apr-61,,Ambala City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kurukshetra University ,1985,,,,,
SANJAY KUMAR GUPTA,Male,Hindu,,24-Nov-61,,,,,,,,,,,,,,,,,,,,,Service,Yes,,,,,,,,,,Yes,"Oriental Academy, Jammu","G.G.M Science College, Jammu",B.Sc with full medical subjects, University of Jammu,1986,1986, Bar Council of Delhi ,No,No,No
RASHID ALI DAR,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOK ARADHE,Male,Hindu,,13-Apr-64,, Raipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.K HANJURA,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Government Degree College Bemina,,University of Kashmir,1979,,,,,
RAMALINGAM SUDHAKAR,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAWA SINGH WALIA,Male,Sikh,,28-Aug-61,Punjab,Jalandhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIRENDER SINGH,Male,Sikh,,07-Oct-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANSOOR AHMED MIR,Male,Muslim,,25-Apr-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAI PAL SINGH,Male,Hindu,,06-Apr-51,,Kehli Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAKIM IMTIYAZ HUSSAIN,Male,Muslim,,16-Jul-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNIL HALI,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NISAR AHMAD KAKRU,Male,Muslim,,26-Oct-49,, Baramulla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQBAL KISHEN KOTWAL,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIRMAL SINGH,Male,Sikh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASH PAUL NARGOTRA,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINOD GUPTA,Male,Hindu,,18-Jan-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFTAB ALAM,Male,Muslim,,19-Apr-48,Bihar,Patna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.A KHAN ,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERMOD KOHLI,Male,Hindu,,01-Mar-51,, Rajouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.C GANDHI,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. K JHANJI,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUDESH KUMAR GUPTA,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASHIR-UD-DIN,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUZAFFAR JAN,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.L BHAT,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.S DAOBIA,Male,Sikh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.M MIR,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.K. GOEL,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.D SHARMA,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.P SHARMA,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.L RAINA,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHAWANI SINGH,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.A NAZAKI,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Y KAWOOSA,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.K NEHRU,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.S THAKUR,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYED SAGIR AHMED,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Q PARREY,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.L KOUL,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.A KHAN ,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. K GUPTA,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.P SETHI,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.A KUCHHAI,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.M. RAZVI,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.K. GUPTA,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.L BHAT,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAZHAR ALI SHAH,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHULAM MOHD. MIR,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADARSH SEIN ANAND,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVI DASS THAKUR,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASI 'UD' DIN,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISHWAR SINGH,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUFTI BAHA-UD-DIN,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIAN JALAL-UD-DIN,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAM NARAIN GURTU,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANANT SINGH,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASUDEVA MUKERJEE,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANKI NATH BHAT,Male,Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASHIR A. KIRMANI,Male,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
