Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
D.H. Waghela,Male,,,11-Aug-1954,Gujarat,Rajkot,17-Sep-1999,10-Aug-2016,,,Gujarat High Court,,,,,,,,Yes,Bombay High Court,Odisha High Court,Karnataka High Court,,,Bar,,Yes,,,,,,,,,,,Saurashtra University ,B. Com. ,Saurashtra University,1975,1975,Gujarat,No,No,Yes
K.L. Manjunath,Male,Hindu,,21-Apr-1953,,,11-Dec-2000,20-Apr-2015,,,Karnataka High Court,No,,,,,,,No,,,,,,Bar,,Yes,,,,,,,,,,,,B Sc. LLB,,,1974,Karnataka,No,No,No
Nagaraja Rao Kumar,Male,Hindu,,28-Jun-1954,,,11-Dec-2000,27-Jun-2016,No,No,Karnataka High Court,No,,,,,,,No,,,,,,Bar,,Yes,,,,,,,,,,,,M.A. LLB,,,1976,Karnataka,No,Yes,No
Patil Naganath Kanteppa,Male,,,2-May-1954,Karnataka,Bidar,11-Dec-2000,1-May-2016,,,Karnataka High Court,No,,,,,,,No,,,,,,Bar,,Yes,,Yes,,No,,,,,,"Government Primary 
School, Bhalki & the 
Karnataka High School, 
Bidar","B.V. College, Bidar",B.A. LLB,"Renuka Charya Law 
College, Bangalore",,1982,Karnataka,No,No,No
"Dilip Babasaheb 
Bhosale",Male,Hindu,,24-Oct-1956,Maharashtra,Satara,22-Jan-2001,23-Oct-2018,No,No,Bombay High Court,Yes,Karnataka High Court,6-Jan-2012,Telangana High Court,1-Dec-2014,Allahabad High Court,30-Jul-2016,Yes,Allahabad High Court,,,,,Bar,No,Yes,Yes,,Yes,No,,,,,,,"Government Law College, 
Mumbai",B.A. LLB,"GLC, Mumbai",,1980,Maharashtra,No,No,No
K. Bhakthavatsala,Male,Hindu,,10-Dec-1952,Karnataka,Bangalore,18-Apr-2002,9-Dec-2014,,,Karnataka High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,,,,,,,,,,,B. Com.  ,"SJR College, Bangalore",,1980,Karnataka,No,No,Yes
S.M. Mallikarjunagouda,Male,Hindu,,5-May-1958,Karnataka,,12-May-2003,4-May-2020,No,No,Karnataka High Court,No,,,,,,,No,,,,Yes,17-Feb-2017,Bar,No,Yes,,,Yes,No,,,,,,,,BSc. LLB (Spl.),,,1980,Karnataka,No,No,No
H.G. Ramesh,Male,Hindu,,16-Jan-1957,Karnataka,,12-May-2003,15-Jan-2019,No,No,Karnataka High Court,,,,,,,,No,,,,No,,Bar,,Yes,,,Yes,No,,,,,,,,B.A .LLB,,,1982,Karnataka,No,No,No
S. Abdul Nazeer,Male,Muslim,,5-Jan-1958,Karnataka,Beluvai,12-May-2003,4-Jan-2020,No,No,Karnataka High Court,No,,,,,,,No,,,,Yes,17-Feb-2017,Bar,No,Yes,,,Yes,No,,,,,,,"Mahaveera College, Moodbidri",B. Com. LLB,"SDM Law College, Kodialbail, Mangalore",,1983,Karnataka,No,No,No
Ram Mohan Reddy,Male,Hindu,,6-Jun-1954,,,8-Sep-2003,5-Jun-2016,,,,,,,,,,,,,,,,,Bar,,Yes,,,,,,,,,,,,B. Sc. LLB.,,,1977,Karnataka,,No,No
Hanumappa Bilappa,Male,,,8-Oct-1954,,,8-Sep-2003,7-Oct-2016,,,,,,,,,,,,,,,,,Bar,,Yes,,,,,,,,,,,,B. Sc. LLB.,,,1978,Karnataka,,No,No
Huluvadi G. Ramesh,Male,,,20-May-1957,,,8-Sep-2003,19-May-2019,,,,Yes,Allahabad High Court,16-Feb-2015,Madras High Court,11-Apr-2016,Madhya Pradesh High Court,15-Nov-2018,,,,,,,Service,Yes,Yes,,,,,,,,,,,,B. Sc. ,,,1981,Karnataka,,No,Yes
P.B. Sanganagouda,Male,,,1-Jun-1956,,,21-Oct-2004,31-May-2018,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,No,,,,,,,,B.A. LLB,,,1980,Karnataka,,No,No
Anand Byrareddy,Male,,,1-May-1955,,,7-Mar-2005,30-Apr-2017,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,,,,,,,,,B.A. LLB,,,1983,Karnataka,,No,No
Ashok B. Hinchigeri,Male,,,24-Aug-1955,,,7-Mar-2005,23-Aug-2017,No,No,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,,,,,,,,,M.A. LLB,,,1987,Karnataka,,Yes,No
C.R. Kumaraswamy,Male,,,25-Aug-1953,,,7-Mar-2005,24-Aug-2015,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,Yes,,,,No,,,,,,,,B. Sc. LLB.,,,1983,Karnataka,,No,No
A.S. Bopanna,Male,,,20-May-1959,,,6-Jan-2006,19-May-2021,,,,,,,,,,,Yes,Gauhati High Court,,,,,Bar,,Yes,,,Yes,,,,,,,,,"B. Sc. LLB., DPM & IR",,,1984,Karnataka,,No,No
Narayanappa Ananda,Male,,,8-May-1953,,,6-Jan-2006,7-May-2015,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,Yes,,Yes,,No,,,,,,,,B. Sc. LLB.,,,1977,Karnataka,,No,No
A.N. Venugopala Gowda,Male,,,16-Jun-1955,,,4-Jul-2007,15-Jun-2017,,,,,,,,,,,,,,,,,Bar,,Yes,,,Yes,,,,,,,,,B. Sc. LLB.,,,1979,Karnataka,,No,No
Lingappa Narayana Swamy,Male,,,1-Jul-1959,,,4-Jul-2007,30-Jun-2021,No,No,Karnataka High Court,,,,,,,,Yes,Himachal Pradesh High Court,,,,,Bar,,Yes,,,Yes,,,,,,,,,B.A. ,,,1987,Karnataka,,No,Yes
Arvind Shiwagouda Pachhapure,Male,,,17-Jun-1953,,,4-Jul-2007,16-Jun-2015,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,Yes,,Yes,,No,,,,,,,,B. Sc. LLB. (Spl.),,,1975,Karnataka,,No,No
Ravi Vijaykumar Malimath,Male,,,25-May-1962,,,18-Feb-2008,24-May-2024,,,Karnataka High Court,Yes,Uttarakhand High Court,5-Mar-2020,Himachal Pradesh High Court,7-Jan-2021,,,,,,,,,Bar,,Yes,,,,No,,,,,,,,B. Com. LLB. ,,,1987,Karnataka,,No,No
B. Venkataramiah Nagarathna,Female,,,30-Oct-1962,,,18-Feb-2008,29-Oct-2024,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,No,,,,,,,,B.A. LLB. ,,,1987,Karnataka,,No,No
Boregowda Sreenivase Gowda,Male,,,16-Jun-1956,,,2-Jun-2008,15-Jun-2018,No,No,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,No,,,,,,,,B.B.M. LLB. ,,,1982,Karnataka,,No,No
S.N. Satyanarayana,Male,,,15-Jan-1959,,,9-Jun-2008,14-Jan-2021,No,No,Karnataka High Court,Yes,Punjab & Haryana High Court,27-Mar-2020,,,,,,,,,,,Bar,,Yes,,,,No,,,,,,,,B. Com. LLB. ,,,1983,Karnataka,,No,No
Aravind Kumar,Male,,,14-Jul-1962,,,26-Jun-2009,13-Jul-2024,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,Yes,No,,,,,,,,B.A. LLB. ,,,1987,Karnataka,,No,No
Bijoor Manohar,Male,,,20-Jul-1955,,,12-Mar-2010,19-Jul-2017,No,No,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,,,,,,,,,B.A. LLB. ,,,1983,Karnataka,,No,No
Abhay Sreeniwas Oka,Male,,,25-May-1960,,,10-May-2019,,,,Bombay High Court,,,,,,,,,,,,,,Bar,,Yes,,,,,,,,,Yes,,University of Bombay,B. Sc. ,,,1983,Maharashtra,,No,Yes
Satish Chandra Sharma,Male,,,30-Nov-1961,Madhya Pradesh,Bhopal,4-Jan-2021,,,,Madhya Pradesh High Court,,,,,,,,No,,,,,,Bar,,Yes,Yes,,Yes,No,,,,,,"Central School, Jabalpur","Dr. Hari Singh Gour 
University, Sagar",B. Sc. ,"Dr. Hari Singh Gour University, Sagar",1984,1984,Madhya Pradesh,No,,
Alok Aradhe,Male,,,13-Apr-1964,Chhattisgarh,Raipur,17-Nov-2018,,,,Madhya Pradesh High Court,Yes,"Jammu and Kashmir High 
Court",16-Sep-2016,Karnataka High Court,17-Nov-2018,,,No,,,,,,Bar,,Yes,Yes,,No,No,,,,,,,,B Sc. ,,,1988,Madhya Pradesh ,,No,No
S. Sujatha ,Female,,,20-May-1960,,,2-Jan-2015,,,,Karnataka High Court,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,"Sree Jagadguru Renukacharya College 
of Law, Bangalore",,,,,,
B. Veerappa,Male,,,1-Jun-1961,,,2-Jan-2015,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,Yes,,,,,,,"Primary Education - 
Government Primary School, 
Nagadenahalli, Srinivasapura 
Secondary Education - 
Government Higher Primary 
School 
High School and Pre-University 
Education - Government High 
School, Composite Junior 
College, Srinivasapura, Kolar","Government College, 
Kolar",,"Renukacharya Law College, Bengaluru",,1988,Karnataka ,,,
G. Narendar,Male,,,10-Jan-1964,,,2-Jan-2015,,,,Madras High Court,Yes,Karnataka High Court,,,,,,,,,,,,,,Yes,,,,,,,,,,,,B.A. ,,,1989,Tamil Nadu,,,
P.S Dinesh Kumar,Male,,,25-Feb-1962,,,2-Jan-2015,,,,Karnataka High Court,,,,,,,,,,,,,,,,Yes,,,Yes,No,,,,,,"National High School, National 
College and BMS College, 
Bengaluru.",,,,,1990,Karnataka ,,,
Pavankumar Bhimappa Bajantri,Male,,,23-Oct-1963,,,2-Jan-2015,,,,,Yes,Punjab & Haryana High Court,16-Mar-2015,,,,,,,,,,,,,Yes,,,Yes,No,,,,,,"Vidhyavardhaka Sangha, K.L.E.
 Society and S.J.R.C. Law 
College, Bangalore",,,,,1990,Karnataka ,,,
K. Somashekar,Male,,,15-Sep-1963,,,14-Nov-2016,,,,Karnataka High Court,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,1990,Karnataka ,,,
K.S. Mudagal,Female,,,22-Dec-1963,,,14-Nov-2016,,,,Karnataka High Court,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,"Karnataka University, Dharwad",B. Com LLB. ,,,1988,Karnataka ,,,
Sreenivas Harish Kumar,Male,,,16-Jun-1963,,,14-Nov-2016,,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,Yes,,,,,,,,,,,,,,,1987,Karnataka ,,,
N.K. Sudhindrarao,Male,,,4-Dec-1959,,,21-Feb-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.B. Prabhakara Sastry,Male,,,4-Apr-1962,Karnataka,Davangare,21-Feb-2017,,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,Yes,,,,,,,,,,,,,"R.L. Law College, Davangare",,1991,Karnataka,No,Yes,Yes
Dixit Krishna Shripad,Male,,,20-Jul-1964,,,14-Feb-2018,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shankar Ganapathi Pandit,Male,,,16-Nov-1965,,,14-Feb-2018,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Devdas,Male,,,15-May-1969,,,14-Feb-2018,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.M. Shyam Prasad,Male,,,8-Jan-1971,,,14-Feb-2018,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddappa Sunil Dutt Yadav,Male,,,3-Aug-1972,,,14-Feb-2018,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Nawaz,Male,,,22-May-1965,,,2-Jun-2018,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harekoppa Thimanna Gowda Narendra Prasad,Male,,,1-Jun-1966,,,2-Jun-2018,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashok Golappa Nijagannavar,Male,,,9-Jul-1959,,,3-Nov-2018,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hethur Puttaswamygowda Sandesh,Male,,,2-Dec-1964,,,3-Nov-2018,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krishnan Natarajan,Male,,,5-Nov-1964,,,3-Nov-2018,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.R. Krishna Kumar,Male,,,7-May-1970,,,23-Sep-2019,,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,,,,,,,,,,"University Law College, Bangalore",,1992,Karnataka,,,
Ashok S. Kinagi,Male,,,1-Jan-1970,,,23-Sep-2019,,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,,,,,,,,,,,,1995,Karnataka,,,
Suraj Govindaraj,Male,,,14-May-1973,,,23-Sep-2019,,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,,,,,,,,,,"National Law School of India University, 
Bangalore",,1995,Karnataka,,,
Sachin Shankar Magadum,Male,,,5-May-1972,,,23-Sep-2019,,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,Yes,,,,,,,,,,"R.L. Law College, Belagavi",,1998,Karnataka,,,
Neranahalli Srinivasan Sanjay Gowda,Male,,,15-Feb-1967,,,11-Nov-2019,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,,,,
Jyoti Mulimani,Female,,,15-Aug-1968,,,11-Nov-2019,,,,Karnataka High Court,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,1992,,,,
Nataraj Rangaswamy,Male,,,14-Mar-1970,,,11-Nov-2019,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,,,,
Hemant Chandangoudar,Male,,,28-Sep-1969,,,11-Nov-2019,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,,,,
Pradeep Singh Yerur,Male,,,21-Jun-1970,,,11-Nov-2019,,,,Karnataka High Court,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,1997,,,,
Maheshan Nagaprasanna,Male,,,23-Mar-1971,,,26-Nov-2019,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maralur Indrakumar Arun,Male,,,24-Apr-1970,,,7-Jan-2020,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
