Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Jitendra Kumar Maheshwari,Male,Hindu,,29-Jun-1961,Madhya Pradesh,"Morena, Joura",6-Jan-2021,,No,No,Madhya Pradesh High Court,No,,,,,,,Yes,Andhra Pradesh High court,Sikkim High Court,,No,,Bar,No,Yes,,NA,Yes,No,Yes,Yes,Yes,,,,,B.A.,,,1985,Madhya Pradesh,No,No,Yes
Meenakshi Madan Rai,Female,Hindu,,12-Jul-1964,Sikkim,Gangtok,11-Dec-1963,,No,No,Sikkim High Court,No,,,,,,,No,,,,No,,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Dowhill school,Lady Shriram college,"B.A.,Political Science (Honours)","Campus Law Centre, Delhi University",1989,1990,Delhi,No,No,No
Bhaskar Raj Pradhan,Male,Hindu,,,Sikkim,,23-May-2017,,No,No,Sikkim High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,No,No,,,Yes,,Yes,"Tashi Namgal Academy, St. Pauls school",Elphinstone college,B.A (Political science Hons.),Government Law College,1991,1991,Maharastra,No,No,No
Surendra Nath Bhargava,Male,Hindu,,11-Feb-1934,Uttar Pradesh,Mathura,20-Jan-1993,11-Feb-1996,No,No,Rajasthan High court,No,,,,,,,Yes,Sikkim High Court,,,No,,Bar,No,Yes,,NA,Yes,No,,,,,,,,,,,,,No,No,No
krishna Murari Agarwal,Male,Hindu,,27-Oct-1934,,,14-May-1984,27-Oct-1996,No,No,Madhya Pradesh High Court,Yes,Andhra Pradesh High Court,24-Apr-1994,,,,,Yes,Sikkim High Court,,,No,,Bar,No,Yes,,NA,No,No,,,,,,,,,,,1960,Chhatisgharh,,,
K.A. Thanikkachalam,Male,Hindu,,27-Sep-1935,Tamil Nadu,Madras,14-Aug-1988,27-Sep-1997,No,No,Madras High Court,No,,,,,,,Yes,Sikkim High Court,,,No,,Bar,No,Yes,,NA,No,No,,,Yes,,,Pachaiyappa’s School and college,Pachaiyappa’s School and college,Degree in Economics,,1960,1962,Tamil Nadu,No,No,No
Repusudan Dayal,Male,Hindu,,18-May-1941,,,22-Feb-1966,18-May-2003,No,No,Sikkim High Court,Yes,Allahabad High Court,18-Oct-1995,Calcutta High Court,21-Jul-1997,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,,,Yes,,,,,,,,1962,,,,
Radha Krishna Patra,Male,Hindu,,24-Nov-1942,,,22-Jun-1992,23-Nov-2004,No,No,Orissa High Court,No,,,,,,,Yes,Sikkim High Court,,,No,,Bar,No,Yes,,NA,Yes,No,,,,,,,,,,,1966,Orissa,,,
Binod Kr. Roy,Male,Hindu,,26-Dec-1944,,,31-Oct-1988,27-Dec-2006,No,No,Patna High Court,Yes,Allahabad High Court,28-Apr-1994,,,,,Yes,Punjab and Haryana High Court,Gawahati High Court,Sikkim High Court,No,,Bar,No,Yes,,NA,No,No,,,,,,,,,,,,Bihar ,,,
Ajoy Nath Roy,Male,Hindu,,31-Oct-1946,,,6-Aug-1990,31-Oct-2008,No,No,Calcutta High Court,No,,,,,,,Yes,Allahabad High Court,Sikkim High Court,,No,,Bar,No,Yes,,NA,No,No,,,,,,,,,,,1970,West Bengal,,,
