Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
PRITINKER DIWAKER,Male,Hindu,,22-Nov-1961,,,31-Mar-2009,21-Nov-2023,No,, Chhattisgarh High Court,Yes,allahabad high court,3-Oct-2013,,,,,,,,,,,Bar,No,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Durgawati University,,1984,Madhya Pradesh,,,
MANINDRA MOHAN SHRIVASTAVA,Male,Hindu,,6-Mar-1964,Chhatisgarh,Bilaspur,10-Dec-2009,5-Mar-2026,No,No,Chhattisgarh High Court,,,,,,,,,,,,,,Bar,No,Yes,Yes,,,,Yes,,Yes,,,,CMD college,B.sc,K R Law College,,1987,Madhya Pradesh,,,
GOUTAM BHADURI,Male,Hindu,,10-Nov-1962,,,16-Sep-2013,9-Nov-2024,No,No,Chhattisgarh High Court,,,,,,,,,,,,,,Bar,No,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,St. Paul Secondary School,Ravi Shankar University,B.com,Ravi Shankar University,,1985,Madhya Pradesh ,,,
SANJAY KUMAR AGRAWAL,Male,Hindu,,15-Jul-1965,Chhatisgarh,Ratanpur,16-Sep-2013,14-Jul-2027,No,No,Chhattisgarh High Court,,,,,,,,,,,,,,Bar,No,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,,Guru Ghasidas University,B.sc,Guru Ghasidas University,,1989,Madhya Pradesh,,,Yes
PUTHICHIRA SAM KOSHY,Male,Christian,,30-Apr-1967,,,16-Sep-2013,29-Apr-2029,No,No,Chhattisgarh High Court,,,,,,,,,,,,,,Bar,No,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,G. S. College,B.com,Rani Durgawati Vishwavidyala,1991,1991,Madhya Pradesh,,,
SANJAY AGRAWAL,Male,Hindu,,21-Aug-1964,Chhattisgarh,Bilaspur,29-Sep-2016,20-Aug-2026,No,No,Chhattisgarh High Court,,,,,,,,,,,,,,Bar,No,Yes,,,Yes,,,,,,Yes,,,B.sc(mathematics),Kaushalendra Rao Law College,,1989,Madhya Pradesh,,,
RAJENDRA CHANDRA SINGH SAMANT,Male,Hindu,,,,,29-Sep-2016,30-Jun-2022,No,No,Chhattisgarh High Court,,,,,,,,,,,,,,Service,Yes,,,,,,,,,,,,,,,,,,,,
SHARAD KUMAR GUPTA,Male,Hindu,,14-Apr-1959,Chhatisgarh,Rajnandgaon,27-Jun-2017,31-Mar-2021,No,Yes,Chhattisgarh High Court,,,,,,,,,,,,,,Service,Yes,,,,,,,,,,,,Awadhesh Pratap University,B.sc,Jivaji University,,,,,,
RAM PRASANNA SHARMA,Male,Hindu,,20-May-1958,,,27-Jun-2017,19-May-2020,No,No,Chhattisgarh High Court,,,,,,,,,,,,,,Service,Yes,,,,,,,,,,,,,,,,,,,,
ARVIND SINGH CHANDEL,Male,Hindu,,1-Sep-1963,Chhattisgarh,Bilaspur,27-Jun-2017,31-Aug-2025,No,No,Madhya pradesh and Chhattisgarh,,,,,,,,,,,,,,Service,Yes,,,Yes,,,,,,,,,Pt. Ravi Shankar Shukla University,B.A,Guru Ghasidas University,,1987,Madhya Pradesh,,,
PARTH PRATEEM SAHU,Male,Hindu,,19-Apr-1971,Madhya Pradesh,Dhamtari,18-Jun-2018,18-Apr-2033,No,No,Madhya pradesh and Chhattisgarh,,,,,,,,,,,,,,Bar,Yes,Yes,,,,,,,,,Yes,,Rani Durgawati University,B.com,Rani Durgawati University,,1996,Madhya Pradesh,,,
GAUTAM CHOURDIYA,Male,Hindu,,4-Jul-1960,Chhattisgarh,Rajnandgaon,18-Jun-2018,3-Jul-2022,No,No,Madhya pradesh and Chhattisgarh,,,,,,,,,,,,,,Service,Yes,Yes,,Yes,,,,,,,Yes,,Digvijay College,B.com,Pt. Ravi Shankar University,,1984,Madhya Pradesh,,,
VIMLA SINGH KAPOOR,Female,Hindu,,16-Nov-1959,,,18-Jun-2018,17-Jun-2021,No,No,Chhattisgarh High Court,,,,,,,,,,,,,,Service,Yes,,,,,,,,,,,,,,,,,,,,
RAJANI DUBEY,Female,Hindu,,30-Jun-1964,Madhya Pradesh,Jabalpur,18-Jun-2018,29-Jun-2026,No,No,Madhya Pradesh and Chhattisgarh,,,,,,,,,,,,,,Service,Yes,Yes,,Yes,,,,,,,Yes,,"Government Degree College,Mandla",,Rani Durgawati University,,1987,Madhya Pradesh,,,
CHANDRA BHUSHAN BAJPAI,Male,Hindu,,14-Oct-1955,Madhya Pradesh,,27-Jan-2014,13-Oct-2017,No,No,Chhattisgarh High Court,,,,,,,,,,,,,,Service,Yes,,,,,,,,,,,,,,,,,,,Yes,
ANIL KUMAR SHUKLA,Male,Hindu,,,,,29-Sep-2016,30-Jun-2017,No,No,Chhattisgarh High Court,,,,,,,,,,,,,,Service,Yes,,,,,,,,,,,,,B.sc,,,,,,Yes,
INDER SINGH UBOWEJA,Male,Sikh,,1-Jun-1954,,,27-Jan-2014,31-May-2016,No,No,Chhattisgarh High Court,,,,,,,,,,,,,,Service,Yes,Yes,,,,,,,,,Yes,,,B.A,,,1978,Madhya  Pradesh,,Yes,
