Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Vinod Shanker Dave,Male,,,,,,12-Jun-1984,15-Feb-1994,,,Rajasthan,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Jasraj Chopra,Male,,,,,,13-Jul-1985,19-Aug-1995,,,Rajasthan,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Farooq Hasan,Male,,,,,,13-Jul-1985,31-Dec-1994,,,Rajasthan,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Mohini Kapoor,Female,,,,,,13-Jul-1985,17-Nov-1995,,,Rajasthan,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Ashok Kumar Mathur,Male,,,7-Aug-1943,,,13-Jul-1985,7-Jun-2004,No,No,Rajasthan,Yes,Madhya Pradesh,18-Feb-1994,,,,,Yes,Madhya Pradesh,Calcutta,,Yes,7-Jun-2004,Bar,No,Yes,No,NA,Yes,No,,No,,No,No,,University of Calcutta,,University of Calcutta,,,,No,Yes,No
Milap Chandra Jain,Male,,,,,,30-Jun-1987,18-Dec-1994,,,Rajasthan,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Ranveer Sahai Verma,Male,,,,,,26-Dec-1987,7-Jan-1995,,,Rajasthan,No,,,,,,,No,,,,No,,,Yes,,,,,,,,,,,,,,,,,,,,
N.C. Kochhar,Male,,,26-Mar-1935,,,17-Nov-1986,26-Mar-1997,No,No,Delhi,Yes,Rajasthan,17-Jun-1988,,,,,No,,,,No,,,Yes,,,,,,,,,,,,,,,,,,,,
Ram Saharan Kejriwal,Male,,,,,,20-Jul-1990,3-Jul-1997,No,No,Rajasthan,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Balwant Roy Arora,Male,,,15-Aug-1935,,,20-Jul-1990,14-Aug-1997,No,No,Rajasthan,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Navrang Lal Tibrewal,Male,,,17-Jan-1937,Rajasthan,Jhunjhunu,20-Jul-1990,16-Jan-1999,No,No,Rajasthan,No,,,,,,,No,,,,No,,,Yes,Yes,No,,No,No,,,Yes,,Yes,,"Maharaja College, Jaipur",,University Law College,1959,,,No,,
Nagendra Kumar Jain,Male,,,20-Oct-1942,Rajasthan,Alwar,20-Jul-1990,20-Oct-2004,No,No,Rajasthan,Yes,Madras,18-Nov-1997,,,,,Yes,Madras,Karnataka,,No,,Bar,No,Yes,No,NA,No,No,No,No,Yes,No,No,"Happy School, Mahaveer School, Maharaja College",Rajasthan College of Rajasthan University,,Jodhpur University,1967,1968,Rajasthan,No,,
Megh Raj Calla,Male,,,12-Mar-1941,,,20-Jul-1990,12-Mar-2003,No,No,Rajasthan,Yes,Gujarat,28-Apr-1994,Rajasthan,10-Sep-2001,,,No,,,,No,,Bar,No,Yes,,NA,,,,,,,,,,,,,1968,Rajasthan,,,
Ganpat Singh Singhvi,Male,,,12-Dec-1948,Rajasthan,Jodhpur,20-Jul-1990,11-Nov-2007,No,No,Rajasthan,Yes,Punjab and Haryana,28-Apr-1994,Gujarat ,28-Feb-2005,,,Yes,Andhra Pradesh,,,Yes,12-Nov-2007,Bar,No,Yes,No,NA,Yes,No,,,,,Yes,,Jodhpur University,B.Sc.,Rajasthan University,1971,1971,Rajasthan,No,,
Yad Ram Meena,Male,,,1-Jul-1946,,,20-Jul-1990,30-Jun-2008,No,No,Rajasthan,Yes,Calcutta,21-Dec-1997,Rajasthan,1-Nov-2001,Gujarat,3-Apr-2006,Yes,Gujarat,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,,,,,,1968,,No,,
Virendra Kumar Singhal,Male,Hindu,General,,,,21-Oct-1991,14-Dec-1997,,,Rajasthan,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Rajesh Balia,Male,,,3-Mar-1946,,,21-Oct-1991,3-Mar-2008,No,No,Rajasthan,Yes,Gujarat,24-Jun-1994,Rajasthan,13-Dec-1999,,,Yes,Patna,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,Yes,,,B.Com.,,,1967,Rajasthan,No,,
Rajendra Prasad Saxena,Male,,,,,,21-Oct-1991,13-May-1998,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
