Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. S. KILOR,Male,1966-09-03T00:00:00Z,NA,NA,2019-08-23T00:00:00Z,2028-09-02T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,Yes,Yes,Hadas High School,"DNC college, Nagpur",Commerce,Dr. Babasaheb Ambedkar Law College (Nagpur University),NA,1992,NA,No,No,No
A.K. MENON,Male,1960-07-12T00:00:00Z,Maharashtra,Mumbai,2014-03-03T00:00:00Z,2022-07-11T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,Yes,NA,Mumbai University,Arts (Philosophy),Mumbai University,NA,1984,Maharashtra & Goa,No,No,No
A.S. CHANDURKAR,Male,1965-04-07T00:00:00Z,NA,NA,2013-06-21T00:00:00Z,2027-04-06T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,Yes,"St. Vincents' High School, Pune","Ness Wadia College, Pune",Commerce,"I. L. S. Law College, Pune",NA,1988,NA,No,No,No
A.S. GADKARI,Male,1965-08-14T00:00:00Z,Maharashtra,Mumbai,2014-01-06T00:00:00Z,2027-08-13T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,NA,NA,Science,University of Mumbai,NA,1992,Maharashtra & Goa,No,No,No
A.V.POTDAR,Male,1950-09-02T00:00:00Z,Maharashtra,Sangli,2009-02-10T00:00:00Z,2012-09-01T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Pune,NA,NA,"Shivaji University, Kolhapur",NA,1982,Maharashtra,No,No,No
ABHAY AHUJA,Male,1969-08-24T00:00:00Z,NA,NA,2020-03-04T00:00:00Z,2031-08-23T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,"Jai Hind College, Mumbai",Science,"Government Law College, Mumbai",NA,1992,Maharastra & Goa,Yes,No,Yes
Ajay Manikrao Khanwilkar,Male,1957-07-30T00:00:00Z,Maharashtra,Pune,2000-03-29T00:00:00Z,2022-07-29T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,Yes,Himanchal Pradesh,Madhya Pradesh,NA,Yes,2016-05-13T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,Mulund College of Commerce,Commerce,KC Law College,NA,1982,Maharashtra & Goa,No,No,No
Aloysius Stanislaus Aguiar,Male,1943-10-08T00:00:00Z,NA,NA,2001-03-28T00:00:00Z,2005-10-08T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1969,Maharashtra & Goa,No,No,No
Amerjeet Singh Bagga,Male,1945-04-08T00:00:00Z,NA,NA,1999-09-27T00:00:00Z,2008-04-08T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Commerce,NA,NA,NA,Maharashtra & Goa,No,No,No
AMIT B. BORKAR,Male,1972-01-02T00:00:00Z,NA,NA,2020-01-14T00:00:00Z,2034-01-01T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,Science,NA,NA,1994,NA,No,No,No
