Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Dhirubhai Naranbhai Patel,Male,1960-03-13T00:00:00Z,Gujarat,Ahmedabad,2019-06-07T00:00:00Z,2022-03-12T00:00:00Z,No,No,Gujarat,Yes,Jharkhand,2009-02-03T00:00:00Z,Delhi,2019-06-07T00:00:00Z,NA,NA,Yes,Jharkhand,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,NA,"M.G..Science College, Ahmedabad",Science,"L.A. Shah Law College, Ahmedabad",1984,1984,Gujarat,No,Yes,Yes
Vipin Sanghi,Male,1961-10-27T00:00:00Z,Maharashtra,Nagpur,2006-05-29T00:00:00Z,2023-10-26T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,Yes,"Delhi Public School, Mathura Road",Delhi University,Science (Mathematics),Delhi University,1986,1986,Delhi,No,No,No
Siddharth Mridul,Male,1962-11-22T00:00:00Z,Delhi,Delhi,2008-03-13T00:00:00Z,2024-11-21T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,Yes,Army Public School,"Hindu College, Delhi University",Arts (History),Delhi University,1986,1986,Delhi,No,No,No
Manmohan,Male,1962-12-17T00:00:00Z,Delhi,Delhi,2008-03-13T00:00:00Z,2024-12-16T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,Yes,"Modern School, Barakhamba Road","Hindu College, Delhi University",Arts (History),Delhi University,1987,1987,Delhi,No,No,No
Rajiv Sahai Endlaw,Male,1959-08-13T00:00:00Z,Delhi,Delhi,2008-04-11T00:00:00Z,2021-08-12T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,Yes,"Delhi Public School, Mathura Road","Hans Raj College, Delhi University",NA,Delhi University,NA,1982,Delhi,No,No,No
Jagjivan Ram Midha,Male,1959-07-08T00:00:00Z,NA,NA,2008-04-11T00:00:00Z,2021-07-07T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,Science,NA,NA,1982,NA,No,No,No
Rajiv Shakdher,Male,1962-10-19T00:00:00Z,NA,NA,2008-04-11T00:00:00Z,2024-10-18T00:00:00Z,No,No,Delhi,Yes,Madras,2016-11-11T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,Yes,"St. Columba's School, Delhi",University of Delhi,Commerce,Delhi University,1987,1987,NA,No,Yes,Yes
Suresh Kumar Kait,Male,1962-10-19T00:00:00Z,Haryana,"Village Kakaut, Distt. Kaithal, Haryana, India",2008-09-05T00:00:00Z,2024-10-18T00:00:00Z,No,No,Delhi,Yes,Andhra Pradesh,2016-04-12T00:00:00Z,Delhi,2018-10-12T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,NA,"University College, Kurukshetra",NA,Delhi University,NA,1989,NA,No,Yes,No
Mukta Gupta,Female,1961-06-28T00:00:00Z,NA,NA,2009-10-23T00:00:00Z,2023-06-27T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,Montfort School,"Hindu College, Delhi University",Science (Zoology),Delhi University,1983,1984,Delhi,No,No,No
Jayant Nath,Male,1959-11-10T00:00:00Z,NA,NA,2013-04-17T00:00:00Z,2021-11-09T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,Yes,"Delhi Public School, Mathura Road","St. Stephen's College, Delhi University",Arts (Economics),Delhi University,1982,NA,NA,No,No,No
