Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. Selvam,Male,1956-04-05T00:00:00Z,NA,NA,2006-07-31T00:00:00Z,2018-04-04T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,NA,Yes,No,No,No,No,No,NA,NA,Arts,NA,NA,1981,Tamil Nadu,No,No,No
Muhammad Basheer Ahmad,Male,1956-08-28T00:00:00Z,tamil Nadu,"Singampathu, Tirunelveli District",2016-10-05T00:00:00Z,2018-08-27T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,"K.A.M.P. Meerania High School, Kalakkad, Tirunelveli District, P.U.C.",Adhithanar College of Arts and Science at Tiruchendur,Science,"Madurai Law College, Madurai",1980,1981,tamil Nadu,No,No,No
A. A. Nakkiran,Male,NA,Tamil Nadu,Chennai,2020-12-03T00:00:00Z,2022-12-03T00:00:00Z,No,No,madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,"Govt Law Clg, Trichy",NA,"Govt Law Clg, Trichy",NA,1986,Tamil Nadu,No,No,No
Abdul Quddhose,Male,1969-09-08T00:00:00Z,Tamil Nadu,Theni,2017-06-28T00:00:00Z,2031-09-07T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,"NA",No,No,Yes,Yes,Yes,"Boston HSC, Chennai",Madras Law College,NA,Madras Law College,NA,1993,Tamil Nadu,No,No,No
Jagadish Chandra,Male,1966-02-15T00:00:00Z,Tamil Nadu,Thoothukudi,2017-06-28T00:00:00Z,2028-02-14T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,"NA",Yes,No,No,No,Yes,NA,Madras Law College,NA,Madras Law College,NA,1989,Tamil Nadu,No,No,No
Ajit Shah,Male,1948-02-13T00:00:00Z,Maharashtra,Solapur,1992-12-18T00:00:00Z,2010-02-12T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,Yes,Madras,Delhi,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,Yes,NA,NA,NA,"Government Law College, Mumbai",NA,NA,Maharashtra,No,No,No
Amreshwar Pratap Sahi,Male,1959-01-01T00:00:00Z,NA,NA,2005-09-24T00:00:00Z,2020-12-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,Yes,Patna,Madras,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,Allahabad University,NA,NA,1985,1985,Uttar Pradesh,No,No,No
Ardhanariswamy Arumughaswamy,Male,1952-04-28T00:00:00Z,Tamil Nadu,NA,2010-02-17T00:00:00Z,2014-04-27T00:00:00Z,No,No,madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aruna Jagadeesan,Female,1953-03-26T00:00:00Z,NA,NA,2009-03-31T00:00:00Z,2015-03-25T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1978,Tamil Nadu,NA,NA,No
Ashok Chhotelal Agarwal,Male,1937-08-27T00:00:00Z,Maharashtra,Pune,1986-11-21T00:00:00Z,1999-08-26T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,Yes,Madras,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,"Shri Shivaji Preparatory Military School, Pune",Ferguson College and Wadia College,Arts,"Indian Law Society, Pune",1960,1960,Maharashtra,No,No,No
