Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Ajay Kumar Mittal,Male,1958-09-30T00:00:00Z,Chandigarh,Punjab/Haryana,2004-01-09T00:00:00Z,2020-09-29T00:00:00Z,No,No,Punjab & Haryana,No,NA,NA,NA,NA,NA,NA,Yes,Meghalaya,Madhya Pradesh,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,"Sri Ram College of Commerce, Delhi University",Commerce (Hons.),"Faculty of Law, Delhi University",1980,1980,Punjab & Haryana,No,No,No
Biswanath Somadder,Male,1963-12-15T00:00:00Z,West Bengal,Calcutta,2006-06-22T00:00:00Z,2025-12-14T00:00:00Z,No,No,Calcutta,Yes,Allahabad,2019-10-17T00:00:00Z,NA,NA,NA,NA,Yes,Meghalaya,Sikkim,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"La Martiniere for Boys School, Calcutta",University Of Calcutta,Arts,University of Calcutta,NA,1989,West Bengal,No,No,No
Dinesh Maheshwari,Male,1958-04-15T00:00:00Z,Rajasthan,Udaipur,2004-09-02T00:00:00Z,2023-05-14T00:00:00Z,No,No,Rajasthan,Yes,Allahabad,2014-07-19T00:00:00Z,NA,NA,NA,NA,Yes,Meghalaya,Karnataka,NA,Yes,2019-01-18T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,"Maharaja College, Rajasthan University",Science (Hons.),Jodhpur University,1980,1981,Rajasthan,No,No,No
Hamarsan Singh Thangkhiew,Male,1966-12-24T00:00:00Z,Meghalaya,Shillong,2018-11-19T00:00:00Z,2028-12-23T00:00:00Z,No,No,Meghalaya,Yes,Madras,1998-03-23T00:00:00Z,Andhra Pradesh,2001-09-05T00:00:00Z,Patna,2010-10-27T00:00:00Z,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,"St. Edmund's College, Shillong","St. Edmund’s College, Shillong",NA,Delhi University,1990,1991,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
Mohammad Rafiq,Male,1960-05-25T00:00:00Z,Rajasthan,"Sujangarh, Charu",2006-05-15T00:00:00Z,2022-05-24T00:00:00Z,No,No,Rajasthan,No,NA,NA,NA,NA,NA,NA,Yes,Meghalaya,Orissa,Madhya Pradesh,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,University of Rajasthan,Commerce (Hons.),University of Rajasthan,1984,1984,Rajasthan,No,Yes,No
Mohammad Mir,Male,1957-05-28T00:00:00Z,Jammu & Kashmir,Pulwama,2007-11-23T00:00:00Z,2019-05-27T00:00:00Z,No,No,J&K and Ladakh,No,NA,NA,NA,NA,NA,NA,Yes,Meghalaya,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,Kashmir University,NA,1981,Jammu & Kashmir,No,No,No
Prafulla Chandra Pant,Male,1952-08-30T00:00:00Z,Uttarakhand,Pithorgarh,2004-06-29T00:00:00Z,2017-08-29T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,Yes,Meghalaya,NA,NA,Yes,2014-08-13T00:00:00Z,Service,Yes,Yes,No,Yes,No,No,No,No,No,Pithorgarh,Allahabad University,Science,Lucknow University,NA,1973,Uttar Pradesh,No,No,No
Ranjit More,Male,1959-11-04T00:00:00Z,Maharashtra,"Nimsod, Tq. Khatau, Satara",2006-09-08T00:00:00Z,2021-11-03T00:00:00Z,No,No,Bombay,Yes,Uttarakhand,2020-03-09T00:00:00Z,NA,NA,NA,NA,Yes,Meghalaya,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,"Nimsod, Satara",Kolhapur,Arts (Hons.),"Shivaji University, Kolhapur",NA,1983,Maharashtra & Goa,No,No,Yes
Sudip Ranjan Sen,Male,1957-03-09T00:00:00Z,Meghalaya,Shillong,2012-02-06T00:00:00Z,2019-03-08T00:00:00Z,No,No,Gauhati,Yes,Meghalaya,2013-03-23T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,Shillong,Shillong,Arts,Shillong Law College,NA,1989,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
T. Meena Kumari,Female,1951-08-03T00:00:00Z,Andhra Pradesh,Visakhapatnam,1998-02-23T00:00:00Z,2013-08-03T00:00:00Z,No,No,Andhra Pradesh,Yes,Madras,1998-03-23T00:00:00Z,Andhra Pradesh,1998-02-23T00:00:00Z,Patna,2010-10-27T00:00:00Z,Yes,Meghalaya,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,NA,NA,Science,Osmania University,NA,1976,Andhra Pradesh,No,No,No
