Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Abhijit Sinha,Male,1947-08-21T00:00:00Z,NA,NA,2008-11-03T00:00:00Z,2009-08-21T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,Arts,NA,NA,NA,NA,No,No,No
Aditya Kumar Trivedi,Male,1958-08-11T00:00:00Z,Bihar,Muzaffarpur,2011-06-20T00:00:00Z,2020-08-10T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Bihar University,Science,Bihar University,NA,1981,Bihar,No,No,No
Aditya Narayan Chaturvedi,Male,NA,NA,NA,1991-09-18T00:00:00Z,1997-01-18T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No
Aftab Alam,Male,1948-04-19T00:00:00Z,Bihar,Patna,1990-07-27T00:00:00Z,2013-04-18T00:00:00Z,NA,No,Patna,Yes,J&K and Ladakh,2007-06-06T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,Yes,2007-11-12T00:00:00Z,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1973,Bihar,No,No,No
Ahsanuddin Amanullah,Male,1963-05-11T00:00:00Z,Bihar,Patna,2011-06-20T00:00:00Z,2025-05-10T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,No,NA,Patna University,Science (Chemistry),Patna University,NA,1991,Bihar,No,No,No
Ajay Kumar Tripathi,Male,NA,NA,NA,2006-10-09T00:00:00Z,2019-11-11T00:00:00Z,No,Yes,Patna,No,NA,NA,NA,NA,NA,NA,Yes,Chhattisgarh,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Sri Ram College of Commerce (SRCC),Economics,"Campus Law Centre, Delhi University",NA,1981,Bihar,No,No,No
Akhilesh Chandra,Male,1953-03-15T00:00:00Z,NA,NA,2010-03-15T00:00:00Z,2015-03-15T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,Arts,NA,NA,1977,Bihar,No,No,No
Amaresh Kumar Lal,Male,1953-08-28T00:00:00Z,NA,NA,2011-06-20T00:00:00Z,2015-06-19T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1977,Bihar,No,Yes,No
Amir Das,Male,NA,NA,NA,1991-12-02T00:00:00Z,1996-01-01T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No
Amreshwar Pratap Sahi,Male,1959-01-01T00:00:00Z,NA,NA,2004-09-24T00:00:00Z,2020-12-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,Yes,Patna,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1985,Uttar Pradesh,NA,NA,NA
Anil Kumar Sharma,Male,NA,NA,NA,1998-12-29T00:00:00Z,2004-01-08T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No
Anil Kumar Sinha,Male,1965-06-19T00:00:00Z,NA,NA,2019-04-17T00:00:00Z,2027-06-18T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1991,Bihar,No,NA,NA
Anil Kumar Sinha,Male,NA,NA,NA,1998-12-29T00:00:00Z,2004-01-08T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anil Kumar Upadhyay,Male,1962-12-04T00:00:00Z,Bihar,NA,2017-05-22T00:00:00Z,2024-12-03T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,Patna University,NA,NA,Bihar,No,Yes,Yes
Anjana Mishra,Female,1958-03-01T00:00:00Z,NA,NA,2014-05-15T00:00:00Z,2016-04-15T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"St. Joseph's Convent, Patna",Patna University,Arts,Patna University,NA,1986,Bihar,No,Yes,No
Anjana Prakash,Female,1954-07-17T00:00:00Z,Bihar,NA,2009-06-13T00:00:00Z,2016-07-17T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,Yes,No,NA,NA,NA,NA,NA,1982,Bihar,No,No,No
Anjani Kumar Sharan,Male,1963-04-10T00:00:00Z,NA,NA,2019-04-17T00:00:00Z,2025-04-09T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1991,Bihar,No,NA,NA
Anwar Ahmad,Male,NA,NA,NA,2006-05-10T00:00:00Z,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arun Kumar,Male,1956-08-22T00:00:00Z,Bihar,Patna,2016-12-09T00:00:00Z,2018-08-21T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,Patna University,NA,Patna Law College,1987,NA,Bihar,No,Yes,No
