Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Alok Kumar Verma,Male,1964-08-16T00:00:00Z,Uttar Pradesh,Varanasi,2019-05-27T00:00:00Z,2026-08-15T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",No,"NA","NA","NA","NA","NA",NA,"D.A.V. (P.G.) Degree College, Varanasi, Uttar Pradesh",NA,Harish Chandra Postgraduate College,1985,NA,NA,No,No,No
Alok Singh,Male,1959-04-28T00:00:00Z,Uttarakhand,Roorkee,2009-10-12T00:00:00Z,2021-04-27T00:00:00Z,No,No,Uttarakhand,Yes,Punjab and Haryana,2009-12-21T00:00:00Z,Jharkhand,2012-06-13T00:00:00Z,Uttarakhand,2013-02-26T00:00:00Z,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,"M.S. College, Saharanpur",Science,NA,NA,1982,Uttar Pradesh,No,No,No
Ashok Abhaiendra Desai,Male,1942-06-24T00:00:00Z,NA,NA,1986-11-21T00:00:00Z,2003-04-01T00:00:00Z,No,Yes,Bombay,Yes,Allahabad,1999-03-08T00:00:00Z,Uttarakhand,2000-11-06T00:00:00Z,NA,NA,Yes,Uttarakhand,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,Yes,No,No,NA,"Fergusson College, Pune and London School of Economics and Policitcal Science",Arts,"Government Law College, Bombay",NA,1956,Maharashtra,No,No,No
Barin Ghosh,Male,1952-06-05T00:00:00Z,NA,NA,1995-07-14T00:00:00Z,2014-06-04T00:00:00Z,No,No,Calcutta,Yes,Patna,2005-01-07T00:00:00Z,NA,NA,NA,NA,Yes,Jammu and Kashmir,Sikkim,Uttarakhand,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,Commerce,NA,NA,1978,West Bengal,No,No,No
Bipin Kandpal,Male,1948-08-17T00:00:00Z,NA,NA,2004-06-29T00:00:00Z,2010-08-16T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,Dehradun,NA,NA,Agra University,NA,1974,Uttar Pradesh,No,No,No
Brahma Singh Verma,Male,1952-05-03T00:00:00Z,Uttarakhand,"Manakpur Adampur, Tahsil Roorkee District, Haridwar",2004-07-15T00:00:00Z,2014-05-02T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"Bhalswa Ganj Inter College and D.A.V. Inter College, Roorkee","D.B.S. College, Dehradun",Science,D.A.V College Dehradun,NA,1976,Uttar Pradesh,No,No,No
Cyriac Joseph,Male,1947-01-28T00:00:00Z,Kerala,Kaipuzha in Kottayam District,1994-07-06T00:00:00Z,2012-01-27T00:00:00Z,No,No,Kerala,Yes,Delhi,1994-08-05T00:00:00Z,NA,NA,NA,NA,Yes,Uttarakhand,Karnataka,NA,Yes,2008-07-07T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"St. George’s High School, Kaipuzha","St. Thomas College, Palai; St. Berchmans’ College",NA,"Changanacherry and Law College, Trivandrum",NA,1968,Kerala,No,No,No
Dharam Veer,Male,1951-09-15T00:00:00Z,Uttarakhand,"Piplia, Tahsil-Bazpur (the then District Nainital), presently District: Udham Singh Nagar",2006-09-23T00:00:00Z,2010-11-16T00:00:00Z,Yes,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,No,"Udai Raj Hindu College, Kashipur","Meerut University, Meerut (U.P.)",Science,Agra University (U.P.),NA,1974,Uttar Pradesh,No,No,No
Irshad Hussain,Male,1944-01-02T00:00:00Z,NA,NA,2002-02-28T00:00:00Z,2006-01-01T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",No,"NA","NA","NA","NA","NA",NA,NA,NA,NA,1968,NA,NA,No,No,No
Jagdish Singh Khehar,Male,1952-08-28T00:00:00Z,NA,NA,1999-02-08T00:00:00Z,2017-08-27T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,Yes,Uttarakhand,Karnataka,NA,Yes,2011-09-13T00:00:00Z,Bar,No,Yes,Yes,"NA",Yes,No,No,Yes,No,NA,"Govt. College, Chandigarh",NA,"Punjab University, Chandigarh",1977,1979,Punjab and haryana,No,No,Yes
Jeewan Chandra Singh Rawat,Male,1949-05-24T00:00:00Z,Uttarakhand,Nainital,2004-06-29T00:00:00Z,2011-05-23T00:00:00Z,No,No,Uttarakhand,Yes,Jharkhand,2009-10-01T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",Yes,"NA","NA","NA","NA","NA","10th,12th from Higher Scondary School, Mukteshwar, Nainital, and GIC Nainital",DSB Govt. College,NA,Lucknow University,NA,NA,NA,No,No,No
Kalyan Jyoti Sengupta,Male,1953-05-07T00:00:00Z,NA,NA,1997-07-17T00:00:00Z,2015-05-06T00:00:00Z,No,No,Calcutta,Yes,Uttarakhand,2012-10-31T00:00:00Z,NA,NA,NA,NA,Yes,Andhra Pradesh,Telangana,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,Commerce,NA,NA,1981,West Bengal,No,No,No
Kuttiyil Joseph,Male,1958-06-17T00:00:00Z,NA,NA,2004-10-14T00:00:00Z,2023-06-16T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,Yes,Uttarakhand,NA,NA,Yes,2018-08-07T00:00:00Z,Bar,No,Yes,No,"NA",No,No,No,No,No,"Kendriya Vidyalaya, Kochi and New Delhi","Loyola College, Chennai",NA,"Government Law College, Ernakulam",NA,1982,Delhi,NA,NA,No
Lok Pal Singh,Male,1959-02-15T00:00:00Z,Uttarakhand,"Village Mohanpur-Mohammadpur, Tehsil Roorkee (then District Saharanpur) now District Haridwar",2017-05-19T00:00:00Z,2021-02-14T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,Yes,Yes,No,"BSM Intermediate College, Roorkee","Meerut University, Meerut",NA,"Meerut University, Meerut",NA,1988,Uttar Pradesh,No,No,No
M. M. Ghildiyal,Male,1946-01-03T00:00:00Z,Uttarakhand,"Village Khola, near Srinagar, District Pauri Garhwal",2002-11-18T00:00:00Z,2008-01-02T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"High school from Srinagar, district Pauri Garhwal, intermediate from Ranikhet, district Almora",Allahabad University,Arts,University of Allahabad,NA,1980,Uttar Pradesh,No,No,No
Mahesh Chand Jain,Male,1944-10-18T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2006-10-17T00:00:00Z,No,No,Allahabad,Yes,Uttarakhand,2000-11-01T00:00:00Z,Allahabad,2001-11-09T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",No,"NA","NA","NA","NA","NA",NA,NA,Commerce,NA,1966,"NA","NA",No,Yes,No
Manoj Kumar Tiwari,Male,1965-09-19T00:00:00Z,Uttarakhand,Pithoragarh,2017-05-19T00:00:00Z,2027-09-18T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,"Kendriya Vidyalaya, Pithoragarh","Government Post Graduate College, Pithoragarh",NA,Delhi University,1990,1990,U.P. Allahabad,No,Yes,No
Narayan Singh Dhanik,Male,1960-05-20T00:00:00Z,Uttarakhand,"Village Pubhauna, District Almora",2018-12-03T00:00:00Z,2022-05-19T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",No,"NA","NA","NA","NA","NA","Sarvodaya Inter College, Jainti, Almora and Rajkiya Mahavidyalaya, Almora",NA,NA,Lucknow University,NA,NA,NA,No,No,No
Nirmal Yadav,Female,1949-03-04T00:00:00Z,NA,NA,2004-11-05T00:00:00Z,2011-03-03T00:00:00Z,No,No,Punjab and Haryana,Yes,Uttarakhand,2010-02-11T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,Yes,No,No,No,NA,NA,Science,NA,NA,1975,Punjab and Haryana,No,No,No
Prafulla Chandra Pant,Male,1952-08-30T00:00:00Z,Uttarakhand,District Pithoragarh,2004-06-29T00:00:00Z,2017-08-29T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,Yes,Meghalaya,NA,NA,Yes,2014-08-13T00:00:00Z,Service,Yes,Yes,No,Yes,No,No,No,No,No,Uttarakhand,Allahabad,Science,Lucknow University,NA,1973,Uttar Pradesh,No,No,No
Prakash Chandra Verma,Male,1951-01-12T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2013-01-11T00:00:00Z,No,No,Allahabad,Yes,Uttarakhand,2000-11-09T00:00:00Z,Allahabad,2009-01-20T00:00:00Z,Patna,2011-04-08T00:00:00Z,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,Lucknow University,Science,Lucknow University,1975,1976,Uttar Pradesh,No,No,No
Raghvendra Singh Chauhan,Male,1959-12-24T00:00:00Z,NA,NA,2005-06-13T00:00:00Z,2021-12-23T00:00:00Z,No,No,Rajasthan,Yes,Karnataka,2015-03-10T00:00:00Z,Andhra Pradesh and Telangana,2018-11-22T00:00:00Z,NA,NA,Yes,Telangana,Uttarakhand,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,"Arcadia University, Glenside, PA (USA)",NA,"Delhi University, Delhi",1983,1983,Rajasthan,No,No,No
Rajiv Gupta,Male,1950-10-10T00:00:00Z,Madhya Pradesh,Gwalior,1994-09-27T00:00:00Z,2012-10-10T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,Yes,Kerala,Uttarakhand,Chhattisgarh,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,"Jiwaji University, Gwalior",Arts,Jiwaji University,NA,1973,Madhya Pradesh,No,No,No
Rajesh Tandon,Male,1946-07-01T00:00:00Z,NA,NA,2003-07-03T00:00:00Z,2008-06-30T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,NA,NA,NA,NA,NA,1968,NA,No,No,No
Rajiv Sharma,Male,1958-10-08T00:00:00Z,Himachal Pradesh,Shimla,2007-04-03T00:00:00Z,2020-10-07T00:00:00Z,No,No,Himachal Pradesh,Yes,Uttarakhand,2016-09-26T00:00:00Z,Punjab and Haryana,2018-11-13T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,No,NA,NA,NA,Himachal Pradesh University,NA,1982,Himachal Pradesh,No,No,No
Ramesh Chandra Khulbe,Male,NA,NA,NA,2018-12-03T00:00:00Z,2023-01-02T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",No,"NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,No,No,No
Ramesh Ranganathan,Male,1958-07-28T00:00:00Z,Delhi,New Delhi,2005-05-26T00:00:00Z,2020-07-27T00:00:00Z,No,No,Andhra Pradesh,No,NA,NA,NA,NA,NA,NA,Yes,Telangana,Uttarakhand,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,Yes,Yes,No,NA,NA,NA,Bangalore University,NA,1985,Andhra Pradesh,No,Yes,No
Ravi Malimath,Male,1962-05-25T00:00:00Z,NA,NA,2008-02-18T00:00:00Z,2024-05-24T00:00:00Z,No,No,Karnataka,Yes,Uttarakhand,2020-03-05T00:00:00Z,Himachal Pradesh,2021-01-07T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,Commerce,NA,NA,1987,Karnataka,No,No,No
Ravindra Maithani,Male,1965-06-25T00:00:00Z,Uttarakhand,Chamoli,2018-12-03T00:00:00Z,2027-06-24T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",Yes,"NA","NA","NA","NA","NA",NA,"Garhwal University, Srinagar (Uttarakhand)",Science,"Garhwal University, Srinagar (Uttarakhand)",NA,NA,NA,No,No,No
Sarosh Homi Kapadia,Male,1947-09-29T00:00:00Z,Maharashtra,Mumbai,1991-10-08T00:00:00Z,2012-09-28T00:00:00Z,No,No,Bombay,Yes,Uttarakhand,2003-08-05T00:00:00Z,NA,NA,NA,NA,Yes,Uttarakhand,NA,NA,Yes,2003-12-18T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,NA,"Government Law College, Bombay",NA,1974,Maharashtra,No,No,No
Sarvesh Kumar Gupta,Male,1956-01-01T00:00:00Z,Uttar Pradesh,"Khair, District Aligarh",2011-04-21T00:00:00Z,2017-12-31T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",No,"NA","NA","NA","NA","NA",NA,NA,Science,"LL.B. from Agra University, LL.M. from Meerut University (1979)",1976,"NA","NA",No,No,Yes
Sharad Kumar Sharma,Male,1962-01-01T00:00:00Z,Uttar Pradesh,Allahabad,2017-05-19T00:00:00Z,2023-12-31T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,Boys’ High School and Intermediate College,Allahabad University,Commerce,Allahabad University,NA,1992,NA,No,No,No
Sudhanshu Dhulia,Male,1960-08-10T00:00:00Z,Uttarakhand,Pauri Garhwal,2008-11-01T00:00:00Z,2022-08-09T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,Yes,Guwahati,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,"Dehradun, Allahabad and Lucknow",Allahabad University,History,NA,1986,NA,Uttar Pradesh,No,Yes,No
Tarun Agarwala,Male,1956-03-03T00:00:00Z,NA,NA,2004-01-07T00:00:00Z,2018-03-02T00:00:00Z,No,No,Allahabad,Yes,Uttarakhand,2009-09-25T00:00:00Z,Allahabad,2012-10-03T00:00:00Z,Meghalaya,2018-02-12T00:00:00Z,Yes,Meghalaya,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,Allahabad University,Arts,University of Allahabad,NA,1981,Uttar Pradesh,No,No,No
Umesh Chandra Dhyani,Male,1956-02-14T00:00:00Z,NA,NA,2011-09-13T00:00:00Z,2018-02-13T00:00:00Z,No,No,Uttarakhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",Yes,"NA","NA","NA","NA","NA",NA,NA,Science,NA,NA,"NA","NA",No,No,No
