Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,
Padam Nath Nag,Male,1933-03-05T00:00:00Z,Himachal Pradesh,Shimla,1988-10-12T00:00:00Z,1995-03-05T00:00:00Z,No,No,Delhi,Yes,Allahabad,1994-04-28T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1965,Himachal pradesh,No,No,No,Allahabad,
Sarat Mohapatra,Male,1933-03-24T00:00:00Z,Not Available,Not Available,1984-06-20T00:00:00Z,Not Available,No,No,Orissa,Yes,Allahabad,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1958,Odisha,No,No,No,Allahabad,
Sushil Kumar Jain,Male,1933-10-30T00:00:00Z,Not Available,Not Available,1992-03-18T00:00:00Z,1995-10-30T00:00:00Z,No,No,PunjabandHaryana,Yes,Allahabad,1994-07-21T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,No,Allahabad,
Ambati Lakshmana Rao,Male,1934-01-14T00:00:00Z,Not Available,Not Available,1982-12-10T00:00:00Z,1996-01-14T00:00:00Z,No,No,AndhraPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Allahabad,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,1959,Not Available,Not Available,Not Available,No,Allahabad,
Krishnavadan Gordhandas Shah,Male,1935-04-09T00:00:00Z,Not Available,Not Available,1990-06-21T00:00:00Z,1997-04-09T00:00:00Z,No,No,Gujarat,Yes,Allahabad,1994-07-04T00:00:00Z,Bombay,1994-12-13T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,M.G. Science College,science,Not Available,1958,1960,Gujarat,No,No,No,Allahabad,
Tej Pal Garg,Male,1936-01-14T00:00:00Z,Not Available,Not Available,1994-06-20T00:00:00Z,1998-01-14T00:00:00Z,No,No,PunjabandHaryana,Yes,Allahabad,1994-07-21T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,No,Allahabad,
Ranendra Narayan Ray,Male,1936-05-02T00:00:00Z,West Bengal,Lalgola Murshidabad,1994-03-28T00:00:00Z,1998-05-01T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1994-04-19T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1964,West Bengal,No,No,No,Allahabad,
Narendra Gupta,Male,1936-10-22T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2002-06-05T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,No,Allahabad,
Pramod Kumar Sarin,Male,1936-11-27T00:00:00Z,Not Available,Not Available,1994-02-01T00:00:00Z,1998-11-27T00:00:00Z,No,No,Allahabad,Yes,Patna,1994-02-21T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,No,Allahabad,
Joginder Singh Sidhu,Male,1937-01-30T00:00:00Z,Punjab,Not Available,1994-06-20T00:00:00Z,1999-01-30T00:00:00Z,No,No,PunjabandHaryana,Yes,Allahabad,1994-07-21T00:00:00Z,Rajasthan,1996-10-11T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1963,Not Available,No,No,No,Allahabad,
