Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,phc_updated,transfer_1_updated,transfer_2_updated,transfer_3_updated
Abdul Mateen,Male,1951-12-14T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2013-12-13T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,GRADUATED IN THE ARTS YEAR 1973 FROM LUCKNOW UNIVERSITY AND PASSED L.LB IN THE YEAR 1976 FROM LUCKNOW UNIVERSITY,Lucknow Unversity,Arts,LUCKNOW UNIVERSITY,1976,1976,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Abdul Moin,Male,1968-11-01T00:00:00Z,NA,NA,2017-09-22T00:00:00Z,2030-10-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,Lucknow University,1992,1993,Uttar Pradesh,NA,NA,No,Allahabad,Allahabad,NA,NA,NA
Abhai Kumar,Male,1956-10-07T00:00:00Z,Uttar Pradesh,NA,2016-04-07T00:00:00Z,2018-10-06T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Gorakhpur University,1977,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Abhay Thipsay,Male,1955-03-10T00:00:00Z,Maharashtra,NA,2011-03-17T00:00:00Z,2017-03-09T00:00:00Z,No,No,Bombay,Yes,Allahabad,2016-05-02T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1979,NA,No,No,No,Allahabad,Bombay,Allahabad,NA,NA
Abhinava Upadhya,Male,1958-11-03T00:00:00Z,Uttar Pradesh,NA,2008-05-05T00:00:00Z,2020-11-02T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED IN LAW FROM ALLAHABAD UNIVERSITY IN 1985,NA,NA,Allahabad University,1985,1985,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Aditya Mittal,Male,1954-12-05T00:00:00Z,Uttar Pradesh,NA,2012-04-17T00:00:00Z,2016-12-04T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,Aligarh Muslim University,Commerce,Aligarh Muslim University,NA,NA,NA,Yes,No,Yes,Allahabad,Allahabad,NA,NA,NA
Ajai Kumar Singh,Male,1948-12-15T00:00:00Z,Uttar Pradesh,NA,2006-11-20T00:00:00Z,2008-11-20T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN SCIENCE IN THE YEAR 1967 AND PASSED LLB IN THE YEAR 1972,NA,Science,NA,1972,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Ajai Kumar Srivastava,Male,1963-06-01T00:00:00Z,NA,NA,2021-03-25T00:00:00Z,2025-05-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,Science,NA,NA,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Ajai Lamba,Male,1958-09-21T00:00:00Z,Uttar Pradesh,NA,2006-03-22T00:00:00Z,2020-09-20T00:00:00Z,No,No,Punjab & Haryana,Yes,Allahabad,2011-12-09T00:00:00Z,NA,NA,NA,NA,Yes,Gauhati,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,"Government College, Chandigarh",English Hons.,Punjab University,NA,1981,NA,No,No,No,Allahabad,PunjabandHaryana,Allahabad,NA,NA
Ajai Tyagi,Male,1961-01-01T00:00:00Z,Uttar Pradesh,NA,2021-03-25T00:00:00Z,2022-12-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Ajay Bhanot,Male,1969-08-04T00:00:00Z,NA,NA,2017-09-22T00:00:00Z,2031-08-03T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,NA,NA,Lucknow university,1994,1995,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Ajay Kumar Yog,Male,1945-03-11T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2007-03-10T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,Yes,Yes,No,NA,Lucknow University,NA,Lucknow University,1966,1969,Uttar Pradesh,No,Yes,No,Allahabad,Allahabad,NA,NA,NA
Ajit Kumar,Male,1968-12-22T00:00:00Z,NA,NA,2017-09-22T00:00:00Z,2030-12-21T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,Allahabad University,1992,1992,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
