Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A.Gopal Rao,Male,1934-07-15T00:00:00Z,Andhra Pradesh,Chittoor District,1991-11-25T00:00:00Z,1996-07-15T00:00:00Z,No,No,Andhra Pradesh,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.Hanumanthu,Male,1937-07-01T00:00:00Z,Andhra Pradesh,Anantapur District,NA,1999-07-01T00:00:00Z,No,No,Andhra Pradesh,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,No,"NA",No,"NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.Ramalingeshwar Rao,Male,1956-05-21T00:00:00Z,Andhra Pradesh,West Godavari District,2013-09-21T00:00:00Z,2018-05-21T00:00:00Z,No,No,Andhra Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Bar,Yes,Yes,No,No,Yes,No,No,Yes,No,NA,Andhra University,Commerce,Osmania University,NA,1982,Andhra Pradesh,No,Yes,Yes
A.S.Bhate,NA,1937-11-25T00:00:00Z,Maharashtra,Vidarbha,1994-11-05T00:00:00Z,1999-11-25T00:00:00Z,No,No,Bombay,Yes,Andhra Pradesh,1994-11-05T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.Shankar Narayana,Male,1956-07-01T00:00:00Z,Andhra Pradesh,Dhone in Kurnool District,2013-10-23T00:00:00Z,2018-06-30T00:00:00Z,No,No,Andhra Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,NA,Nanakram Bhagwan Das Science College,Science,Osmania University,NA,1979,Telangana,No,No,Yes
A.Venkatarammi Reddy,NA,NA,NA,NA,1987-04-22T00:00:00Z,1993-01-20T00:00:00Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhinand Kumar Shavili,Male,1963-10-08T00:00:00Z,NA,NA,2017-09-21T00:00:00Z,2025-10-07T00:00:00Z,No,No,Andhra Pradesh,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,"NA","NA",No,"St. Johns Grammar School, Secunderabad and 
Intermediate from Nrupatunga Junior College, Hyderabad","Nizam College (Osmania University, Hyderabad)",Science,Osmania University Campus Law College,NA,1989,Andhra Pradesh,No,No,No
Adavalli Rajasheker Reddy,Male,1960-05-04T00:00:00Z,Telangana,Nalgonda District,2013-04-12T00:00:00Z,2022-05-03T00:00:00Z,No,No,Andhra Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,Yes,No,"New Science College, Hyderabad","A.V. College, Hyderabad",NA,Kakatiya University,NA,1985,Andhra Pradesh,No,No,No
Akula Venkata Sesha Sai,Male,1962-06-03T00:00:00Z,Andhra pradesh,Bhimavaram,2014-09-08T00:00:00Z,2024-07-02T00:00:00Z,No,No,Andhra Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"K.G.R.L. College, Bhimavaram","D.N.R. College, Bhimavaram",NA,"Sir C.R. Reddy College, Eluru",NA,1987,Andhra Pradesh,No,No,No
Anil Ramesh Dave,Male,1951-11-19T00:00:00Z,Sikkim,Gangtok,2008-01-07T00:00:00Z,2016-11-18T00:00:00Z,No,No,Gujarat High Court,Yes,Andhra Pradesh,2008-01-07T00:00:00Z,NA,NA,NA,NA,Yes,Andhra Pradesh High Court,Bombay High Court,NA,Yes,2010-04-30T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,Commerce,"NA",NA,1976,Gujarat,No,No,Yes
