Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Abhay Manohar Sapre,Male,1954-08-28T00:00:00Z,Madhya Pradesh,Jabalpur,1999-10-25T00:00:00Z,2019-08-27T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,2010-02-08T00:00:00Z,Chhattisgarh,2012-04-23T00:00:00Z,NA,NA,Yes,Manipur,Gauhati,NA,Yes,2014-08-13T00:00:00Z,Bar,No,Yes,Yes,"NA",No,No,No,No,No,Model High School,Government Arts College,Arts,University of Jabalpur,NA,1978,Madhya Pradesh,NA,NA,NA
Ajay Kumar Tripathi,Male,1961-07-05T00:00:00Z,Uttar Pradesh,Pratapgarh,NA,NA,NA,NA,Patna,no,NA,NA,NA,NA,NA,NA,Yes,Chhatisgarh,NA,NA,No,NA,Bar,No,Yes,yes,"NA",Yes,No,No,No,No,NA,NA,Science,NA,1983,NA,NA,NA,Yes,NA
Anil Kumar Shukla,Male,NA,NA,NA,NA,NA,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Science,NA,NA,NA,NA,NA,Yes,NA
Arvind Chandel,Male,1963-09-01T00:00:00Z,Chhattisgarh,Bilaspur,2017-06-27T00:00:00Z,2025-08-31T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Pt. Ravi Shankar Shukla University,Arts,Guru Ghasidas University,NA,1987,Madhya Pradesh,NA,NA,Yes
Chandra Bajpai,Male,1955-10-14T00:00:00Z,Madhya Pradesh,NA,2014-01-27T00:00:00Z,2017-10-13T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA
Dhirendra Mishra,Male,1949-04-12T00:00:00Z,NA,NA,2004-12-01T00:00:00Z,2011-04-23T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dilip Deshmukh,Male,1947-09-06T00:00:00Z,NA,NA,2005-05-05T00:00:00Z,2009-09-05T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Arts,NA,NA,1973,Bombay,NA,NA,Yes
Fakhruddin,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gautam Choudhury,Male,1960-07-04T00:00:00Z,Chhattisgarh,Rajnandgaon,2018-06-18T00:00:00Z,2022-07-03T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,Yes,NA,Digvijay College,Commerce,Pt. Ravi Shankar University,NA,1984,Madhya Pradesh,NA,NA,Yes
Ghulam Minhujuddin,Male,1951-07-12T00:00:00Z,NA,NA,2011-05-10T00:00:00Z,2013-07-11T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Science,NA,NA,NA,NA,NA,NA,NA
Goutam Bhanduri,Male,1962-11-10T00:00:00Z,NA,NA,2013-09-16T00:00:00Z,2024-11-09T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,yes,"NA",Yes,Yes,Yes,Yes,Yes,"Bengali Kalibadi School, Raipur and St. Paul Higher Secondary, School, Raipur",Ravi Shankar University,Commerce,Ravi Shankar University,NA,1985,Madhya Pradesh,NA,NA,yes
