Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Aftab Hussain Saikia,Male,1949-04-07T00:00:00Z,Assam,Village Dampur under Hajo Police Station in the District of Kamrup,2000-11-15T00:00:00Z,2011-04-06T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,-,NA,Yes,Sikkim,J&K and Ladakh,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,NA,"Cotton College, Guwahat",Science,Gauhati University,1974,1974,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,Yes
Ajjikuttira Bopanna,Male,1959-05-20T00:00:00Z,NA,NA,2006-01-06T00:00:00Z,2024-05-19T00:00:00Z,No,No,Karnataka,No,NA,NA,-,NA,-,NA,Yes,Gauhati,-,-,Yes,2019-05-24T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,NA,NA,NA,1984,NA,No,No,No
Abhay Manohar Sapre,Male,1954-08-28T00:00:00Z,Madhya Pradesh,Jabalpur,1999-10-25T00:00:00Z,2019-08-27T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,2010-02-11T00:00:00Z,Chattisgarh,2012-04-23T00:00:00Z,NA,NA,Yes,Manipur,-,NA,Yes,2014-08-13T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"Model High School, Jabalpur","Government Arts College, Jabalpur",Arts,"University Teaching Department (VTD) Jabalpur, University of Jabalpur",NA,1978,Madhya Pradesh,No,No,No
Achintya Barua,Male,1961-12-15T00:00:00Z,NA,NA,2016-11-15T00:00:00Z,2023-12-14T00:00:00Z,No,No,Gauhati,No,-,NA,-,NA,-,NA,No,-,-,-,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,"Kendriya Vidyalaya, Guwahati",Utkal University,NA,"Government Law College, Guwahati under Gauhati University",NA,1988,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,Yes,No
Adarsh Kumar Goel,Male,1953-07-07T00:00:00Z,Haryana,Hissar,2001-07-02T00:00:00Z,2015-07-06T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,-,NA,Yes,Gauhati,Orissa,-,Yes,2014-07-07T00:00:00Z,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,NA,"Panjab University, Chandigarh",Arts,"Panjab University, Chandigarh",NA,1974,Punjab and Haryana,No,No,No
Ajai Lamba,Male,1958-09-21T00:00:00Z,Punjab,Abohar,2006-03-22T00:00:00Z,2020-09-20T00:00:00Z,No,No,Punjab and Haryana,Yes,Allahabad,2011-12-09T00:00:00Z,NA,NA,-,NA,Yes,Gauhati,NA,-,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,"Government College, Sector 11, Chandigarh",English,"Punjab University, Chandigarh",NA,1981,NA,No,No,No
Ajit Borthakur,Male,1961-12-01T00:00:00Z,NA,NA,2016-11-15T00:00:00Z,2023-11-30T00:00:00Z,No,No,Gauhati,No,-,NA,-,NA,-,NA,No,-,-,-,No,NA,Service,Yes,No,"NA",Yes,"NA","NA","NA","NA","NA",NA,NA,Arts,Gauhati University,NA,NA,NA,No,Yes,No
Ajit Singh,Male,1956-09-06T00:00:00Z,NA,NA,2002-04-01T00:00:00Z,2018-09-05T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,2015-03-19T00:00:00Z,Gauhati,2016-03-05T00:00:00Z,-,NA,Yes,-,Gauhati,-,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,1979,NA,No,No,No
Akhilesh Pratap Singh,Male,1938-06-01T00:00:00Z,NA,NA,1991-11-30T00:00:00Z,2000-05-31T00:00:00Z,No,No,Allahabad,Yes,Gauhati,1997-03-03T00:00:00Z,-,NA,-,NA,No,-,-,-,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,NA,NA,NA,1966,NA,No,No,No
Alokbaran Pal,Male,1946-02-01T00:00:00Z,NA,NA,2004-11-01T00:00:00Z,2008-01-31T00:00:00Z,No,No,Gauhati,No,-,NA,-,NA,-,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1973,NA,No,No,No
