Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. K. Goel,Male,1959-06-16T00:00:00Z,Haryana,Hissar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Punjab University,Arts,Punjab University,NA,NA,NA,NA,NA,NA
Mansoor Ahmad Mir,Male,1955-04-25T00:00:00Z,Jammu & Kashmir,Village Rajpora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amar Singh College ,Arts,NA,1978,NA,NA,NA,NA,NA
A. Q. Parrey,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adarsh Sein Anand,Male,1936-11-01T00:00:00Z,Jammu & Kashmir,Jammu,1975-05-26T00:00:00Z,2001-10-30T00:00:00Z,NA,No,J&K and Ladakh,No,NA,NA,NA,NA,NA,NA,Yes,Madras,NA,NA,Yes,1991-11-18T00:00:00Z,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,1964,NA,Yes,NA,Yes
Aftab Alam,Male,1948-04-19T00:00:00Z,Bihar,Patna,1990-07-27T00:00:00Z,2013-04-18T00:00:00Z,NA,No,Patna,Yes,J&K and Ladakh,2007-06-06T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,Yes,2007-11-12T00:00:00Z,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,NA,NA,NA,NA,NA,1973,Bihar,NA,NA,No
Ali Magrey,Male,1960-12-08T00:00:00Z,Jammu & Kashmir,Village Wattoo,2013-03-08T00:00:00Z,2022-12-07T00:00:00Z,NA,No,J&K and Ladakh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",Yes,No,Yes,No,No,NA,University of Kashmir,NA,University of Kashmir,NA,1984,NA,NA,NA,No
Alok Aradhe,Male,1964-04-13T00:00:00Z,Chhattisgarh,Raipur,2009-12-29T00:00:00Z,2026-04-12T00:00:00Z,NA,No,Madhya Pradesh,Yes,J&K and Ladakh,2016-09-15T00:00:00Z,Kartaka,2018-11-15T00:00:00Z,NA,NA,No,NA,NA,NA,NA,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,NA,NA,Science,NA,NA,NA,NA,NA,NA,No
Anant Singh,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bashir Khan,Male,1945-04-01T00:00:00Z,NA,NA,NA,2007-03-31T00:00:00Z,NA,No,J&K and Ladakh,Yes,Madhya Pradesh,1997-10-07T00:00:00Z,Delhi,2000-01-13T00:00:00Z,NA,NA,No,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,NA,NA,NA,1971,Delhi,NA,NA,NA
B. A. Nazki,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
