Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Alok Singh,Male,1959-04-28T00:00:00Z,Uttarakhand,Roorkee,2009-10-12T00:00:00Z,2021-04-27T00:00:00Z,No,No,Uttarakhand,Yes,Punjab and Harya,2009-12-21T00:00:00Z,Jharkhand,2012-06-12T00:00:00Z,Uttarakhand,2013-02-26T00:00:00Z,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,Yes,No,No,Roorkee,"M.S. College, Saharanpur",Science,NA,NA,1982,UP,No,No,No
Altamas Kabir,Male,1948-07-19T00:00:00Z,NA,NA,1990-08-06T00:00:00Z,2013-07-18T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,Yes,Jharkhand,NA,NA,Yes,2005-09-09T00:00:00Z,Bar,No,Yes,No,"NA",No,No,No,No,No,Calcutta Boysâ€™ School,"Presidency College, Calcutta",B.A. (Hons.) in History,University of Calcutta,NA,1973,West Bengal,No,Yes,No
Amareshwar Sahay,Male,1948-10-10T00:00:00Z,NA,NA,2002-11-18T00:00:00Z,2010-10-10T00:00:00Z,No,No,Jharkhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,"Zila School, Ranchi",Ranchi College,Science,"Chhotanagpur Law College, Ranchi",NA,1970,Bihar,No,No,No
Amitav Gupta,Male,1959-05-31T00:00:00Z,NA,NA,2013-09-18T00:00:00Z,2021-05-30T00:00:00Z,No,No,Jharkhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,"St. Xavier's School, Sahebganj","Hindu College, Delhi University",NA,"Campus Law Centre (Law Faculty), Delhi University",NA,1985,Bihar,No,Yes,No
Ananda Sen,Male,1969-08-15T00:00:00Z,NA,NA,2016-04-08T00:00:00Z,2031-08-14T00:00:00Z,No,No,Jharkhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,Yes,Yes,"Assembly of God Church School, Kolkata",Kolkata University,Commerce,"Chhotanagpur Law College, Ranchi (Ranchi University)",NA,1996,Jharkhand,No,No,No
Anant Bijay Singh,Male,1959-01-13T00:00:00Z,NA,NA,2016-04-08T00:00:00Z,2021-01-12T00:00:00Z,No,Yes,Jharkhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,Yes,NA,NA,B.Sc.,NA,NA,1987,Bihar,No,No,No
Anil Kumar Choudhary,Male,1965-06-18T00:00:00Z,Jharkhand,Odisha,2017-05-20T00:00:00Z,2027-06-17T00:00:00Z,No,No,Jharkhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,Yes,No,Yes,NA,"Government College, Rourkela",Science,Rourkela Law College,1988,1995,Odisha,No,Yes,No
Aniruddha Bose,Male,1959-04-11T00:00:00Z,Calcutta,NA,2004-01-19T00:00:00Z,2024-04-10T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,Yes,Jharkhand,NA,NA,Yes,2019-05-24T00:00:00Z,Bar,No,Yes,No,"NA",No,No,No,No,No,"St. Lawrence High School, Calcutta","St. Xavier's College, Calcutta",Commerce,"Surendranath College of Law, Calcutta",NA,1985,West Bengal,No,No,No
Anubha Rawat Choudhary,Female,1970-06-25T00:00:00Z,NA,NA,2018-01-06T00:00:00Z,2032-06-24T00:00:00Z,No,No,Jharkhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,Yes,No,No,"Guru Nanak School, Ranchi","Miranda House, Delhi University",Bachelor of Science (Physics Honours Course),"Campus Law Centre, Delhi University",1995,1995,NA,No,No,No
Aparesh Kumar Singh,Male,1965-07-07T00:00:00Z,NA,NA,2012-01-24T00:00:00Z,2027-07-06T00:00:00Z,No,No,Jharkhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,B.A. Hons.,University of Delhi,NA,1990,Patna,No,No,No
Ashok Kumar Prasad,Male,1939-04-10T00:00:00Z,NA,NA,1997-10-16T00:00:00Z,2001-04-10T00:00:00Z,NA,No,Patna,Yes,Jharkhand,2000-11-15T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1962,Bihar,NA,Yes,No
Bhagwati Prasad,Male,1949-05-13T00:00:00Z,Rajasthan,"Bahadra, Dist. Hanumangarh",1996-04-06T00:00:00Z,2011-05-12T00:00:00Z,No,No,Rajasthan,Yes,Gujarat,2008-02-07T00:00:00Z,NA,NA,NA,NA,Yes,Jharkhand,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,"Government College, Hissar",Science,"Doongar College, Bikaner",1972,1972,Rajasthan,No,No,Yes
Bimlendu Mangalmurti,Male,1958-06-01T00:00:00Z,NA,NA,2017-05-20T00:00:00Z,NA,No,No,Jharkhand,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1983,Bihar,NA,NA,NA
