Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. C. Kabbin,Male,1945-12-20T00:00:00Z,NA,NA,2003-09-08T00:00:00Z,2007-12-21T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,NA,No,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Karnataka,NA,NA,NA
A. M. Farooq,Male,1943-08-17T00:00:00Z,NA,NA,1995-12-18T00:00:00Z,2005-08-18T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,Yes,NA,NA,NA,"Renukacharya Law College, Bangalore",NA,1968,NA,NA,NA,NA
Amblikal Narayana Gowda Venugopala Gowda,Male,1955-06-16T00:00:00Z,NA,NA,2007-07-04T00:00:00Z,2017-06-15T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",Yes,No,Yes,No,No,NA,NA,Science,NA,NA,1979,Karnataka,NA,No,No
Ajjikuttira Bopanna,Male,1959-05-20T00:00:00Z,NA,NA,2006-01-06T00:00:00Z,2021-05-19T00:00:00Z,NA,No,Karnataka,Yes,Gauhati,2018-10-29T00:00:00Z,-,NA,-,NA,Yes,Gauhati,NA,NA,Yes,2019-05-24T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,Science,NA,NA,1984,Karnataka,NA,No,No
A. V. Chandrashekara,Male,1954-05-30T00:00:00Z,NA,NA,2013-10-24T00:00:00Z,NA,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,NA,No,No,No,No,No,No,NA,NA,NA,NA,NA,1984,Karnataka,NA,NA,NA
A. V. Srinivasa Reddy,Male,1942-05-24T00:00:00Z,Karnataka,Agara Village,1999-06-16T00:00:00Z,2004-05-25T00:00:00Z,No,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",No,No,No,No,Yes,NA,St. Joseph's College,Arts,"Government Law College, Bangalore",NA,1968,Karnataka,NA,NA,NA
Abhay Oka,Male,1960-05-25T00:00:00Z,NA,NA,2003-04-29T00:00:00Z,2025-05-24T00:00:00Z,NA,No,Bombay,NA,NA,NA,NA,NA,NA,NA,Yes,Karnataka,NA,NA,NA,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,University of Bombay,Science,NA,NA,1983,Maharashtra,NA,No,Yes
Adi Subhash Bashetti,Male,1951-08-10T00:00:00Z,NA,NA,2006-01-06T00:00:00Z,2013-08-11T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1978,Karnataka,NA,NA,NA
Ajit J. Gunjal,Male,1950-10-15T00:00:00Z,NA,NA,2003-05-12T00:00:00Z,2012-10-16T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,NA,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,1976,Karnataka,NA,NA,NA
Alok Aradhe,Male,1964-04-13T00:00:00Z,Chhattisgarh,Raipur,2009-12-29T00:00:00Z,2026-04-13T00:00:00Z,NA,No,Madhya Pradesh,Yes,"Jammu and Kashmir High 
Court",2016-09-16T00:00:00Z,Karnataka,2018-11-17T00:00:00Z,NA,NA,No,NA,NA,NA,NA,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,No,NA,NA,Science,NA,NA,1988,Madhya Pradesh,NA,No,No
Anand Byrareddy,Male,1955-05-01T00:00:00Z,NA,NA,2005-03-07T00:00:00Z,2017-04-30T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,Arts,NA,NA,1983,Karnataka,NA,No,No
Appasaheb Shantappa Bellunke,Male,1957-08-03T00:00:00Z,NA,NA,2018-11-03T00:00:00Z,2019-08-02T00:00:00Z,No,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arali Nagaraj Amarappa,Male,1951-11-01T00:00:00Z,NA,NA,2007-07-04T00:00:00Z,2011-11-02T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,NA,No,No,No,No,No,No,NA,NA,NA,NA,NA,1983,Karnataka,NA,NA,NA
Aravind Kumar,Male,1962-07-14T00:00:00Z,NA,NA,2009-06-26T00:00:00Z,2024-07-13T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,Arts,NA,NA,1987,Karnataka,NA,No,No
Arvind Pachhapure,Male,1953-06-17T00:00:00Z,NA,NA,2007-07-04T00:00:00Z,2015-06-16T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,Science,NA,NA,1975,Karnataka,NA,No,No
Ashok Hinchigeri,Male,1955-08-24T00:00:00Z,NA,NA,2005-03-07T00:00:00Z,2017-08-23T00:00:00Z,No,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,NA,NA,NA,1988,Karnataka,NA,Yes,No
Ashok Bhan,Male,1943-10-02T00:00:00Z,NA,NA,1997-10-07T00:00:00Z,2008-10-02T00:00:00Z,No,No,Punjab and Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2001-06-17T00:00:00Z,Bar,NA,Yes,Yes,NA,Yes,Yes,No,No,No,NA,NA,NA,NA,NA,1965,NA,NA,NA,NA
Ashok Nijagannavar,Male,1959-07-09T00:00:00Z,NA,NA,2018-11-03T00:00:00Z,2021-11-02T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
Ashok Kinagi,Male,1970-01-01T00:00:00Z,NA,NA,2019-09-23T00:00:00Z,2032-09-22T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,1995,Karnataka,NA,NA,No
B. Padmaraj,Male,1944-10-06T00:00:00Z,NA,NA,1994-11-30T00:00:00Z,2006-10-07T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,NA,No,No,No,No,No,No,NA,NA,NA,NA,NA,1969,Karnataka,NA,NA,NA
