Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Lekshmikutty,Female,NA,NA,NA,2000-07-12T00:00:00Z,NA,NA,NA,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. K. Basheer,Male,NA,Kerala,Ulyil (District: Kannur),2002-09-09T00:00:00Z,2011-06-30T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,Yes,NA,"Brennen College, Thalassery

",Science,"Sarada Vilas Law College, Mysore.",1974,1974,Kerala,No,No,No
Anant Badar,Male,1961-08-10T00:00:00Z,Maharashtra,Nagpur,2016-03-02T00:00:00Z,2023-08-09T00:00:00Z,NA,NA,Bombay,Yes,Kerala,2020-06-23T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,Yes,NA,G.S. College of Commerce and Economics,Commerce,"University College of Law, Nagpur",1985,1985,Maharashtra and Goa,No,No,No
Abdul Shaffique,Male,2959-02-13T00:00:00Z,Kerala,NA,2011-11-08T00:00:00Z,2021-02-12T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,Science,"Government Law College, Ernakulam",1982,1983,Kerala,No,No,No
Aettupanku Babu,Male,1957-10-26T00:00:00Z,Kerala,Kanjirappally,2016-10-05T00:00:00Z,2019-10-25T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,St.Thomas High School,"S.B.College, Changanassery",NA,"Udupi Law college, Udupi",1981,1981,Kerala,No,No,No
Ala Kunnil Jayasankaran Nambiar,Male,1966-01-27T00:00:00Z,kerala,NA,2014-01-23T00:00:00Z,2028-01-26T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,No,"Lawrence School, Lovedale, Tamil Nadu,","Sacred Heart College, Thevara.",Science,"Government Law College, Ernakulam",1988,1990,Kerala,Yes,No,Yes
Alexander Thomas,Male,1961-09-04T00:00:00Z,Kerala,NA,2014-01-23T00:00:00Z,2023-09-03T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,"University College, Trivandrum, Cochin University",Physics,"Delhi Law Faculty, University of Delhi",1988,1988,Kerala,Yes,No,No
Ambazhavelil Velayudhan Pillai Ramakrishna Pillai,Male,1953-11-25T00:00:00Z,Kerala,NA,2012-01-18T00:00:00Z,2015-11-24T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,NA,NA,Science,"Government Law College, Thiruvananthapuram",1977,1977,Kerala,No,No,Yes
Amit Rawal,Male,1963-09-21T00:00:00Z,Punjab,Chandigarh,2014-09-25T00:00:00Z,2025-09-20T00:00:00Z,No,No,Punjab & Haryana,Yes,Kerala,2019-11-12T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,Yes,No,No,No,"the Government Senior Model School, Sector 16","DAV College, Chandigarh",NA,Law Department of Panjab University,1986,1986,Punjab and Haryana,No,No,No
Anil Narendran,Male,1967-05-05T00:00:00Z,Kerala,NA,2014-01-23T00:00:00Z,2029-05-04T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,"Sacred Heart College, Thevara.",Science,"Law Academy Law College, Thiruvananthapuram.",1993,1993,Kerala,No,No,No
Annie John,Female,1957-11-16T00:00:00Z,Kerala,Vaikom,2017-11-30T00:00:00Z,2019-11-15T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,Yes,"St. Little Teresa's Convent School, Vaikom","Bharata Mata College, Thrikkakkara",NA,"Mahadeva Salgogar College of Law, Panaji, Goa.",1982,1982,Kerala,No,No,No
Antony Dominic,Male,1956-05-30T00:00:00Z,Kerala,NA,2007-01-30T00:00:00Z,2018-05-29T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,Arts,"S.D.M Law College, Mangalore.",1981,1981,Kerala,No,No,No
Anu Sivaraman,Female,1966-05-25T00:00:00Z,Kerala,NA,2015-04-10T00:00:00Z,2028-05-24T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,St.Teresa's Convent Girls High School,St. Teresa's College,English Literarture,"Government Law College, Ernakulam.",1991,1991,Kerala,No,No,No
Arijit Pasayat,Male,1944-05-10T00:00:00Z,Orissa,NA,1989-03-20T00:00:00Z,2009-05-10T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,Yes,Kerala,Delhi,NA,Yes,2001-10-19T00:00:00Z,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,NA,NA,1968,1968,Odisha,No,No,No
Arunachalam Lakshmanan,Male,1942-03-22T00:00:00Z,TamilNadu,NA,1990-06-14T00:00:00Z,2007-03-22T00:00:00Z,No,No,Madras,Yes,Kerala,1997-12-04T00:00:00Z,NA,NA,NA,NA,Yes,Rajasthan,Andhra Pradesh,NA,Yes,2002-12-20T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,Yes,No,Yes,NA,NA,Arts,Maas Law College,1966,1968,Tamilnadu and Puducherry,No,No,No
Arvind Vinayakarao Savant,Male,1938-09-17T00:00:00Z,Maharashtra,NA,1990-07-30T00:00:00Z,2000-09-17T00:00:00Z,No,No,Bombay,Yes,NA,NA,NA,NA,NA,NA,Yes,Kerala,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,Yes,No,No,No,NA,NA,Commerce,NA,1959,1960,Kerala,No,No,Yes
