Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. G. Qureshi,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Awanish Kumar Awasthi,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. R. Tiwari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhay Kumar Gohil,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,Madhya Pradesh,NA,NA,NA
Abhay Naik,Male,1949-09-08T00:00:00Z,NA,NA,2005-04-13T00:00:00Z,2011-09-07T00:00:00Z,No,No,Madhya Pradesh,No,"NA",NA,"NA",NA,"NA",NA,No,"NA","NA","NA",No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,Science,NA,NA,1972,Madhya Pradesh,No,No,No
Abhay Sapre,Male,1954-08-28T00:00:00Z,Madhya Pradesh,Jabalpur,1999-10-25T00:00:00Z,2019-08-27T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,2010-02-08T00:00:00Z,Chhattisgarh,2012-04-23T00:00:00Z,"NA",NA,Yes,Manipur,Gauhati,"NA",Yes,2014-08-13T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"Model High School, Jabalpur","Government Arts College, Jabalpur",Arts,NA,NA,1978,Madhya Pradesh,No,No,No
Ajay Kumar Mittal,Male,1958-09-30T00:00:00Z,Chandigarh,Chandigarh,2004-01-09T00:00:00Z,2020-09-29T00:00:00Z,No,No,Punjab and Haryana,No,"NA",NA,"NA",NA,"NA",NA,Yes,Meghalaya,Madhya Pradesh,"NA",NA,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,Sri Ram College of Commerce,Commerce,"Faculty of Law, Delhi University ",1980,1980,Punjab and Haryana,NA,NA,No
Ajay Khanwilkar,Male,1957-07-30T00:00:00Z,Maharashtra,Pune,2000-03-29T00:00:00Z,2022-07-29T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,Yes,Himachal Pradesh,Madhya Pradesh,"NA",Yes,2016-05-13T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,Commerce,NA,NA,1982,Maharashtra,No,No,No
Ajit Singh,Male,1956-09-06T00:00:00Z,NA,NA,2002-04-01T00:00:00Z,2018-09-05T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,2015-03-19T00:00:00Z,"NA",NA,"NA",NA,Yes,Gauhati,"NA","NA",No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,Science,NA,NA,1979,Madhya Pradesh,No,No,No
Akhil Kumar Shrivastava,Male,1952-01-31T00:00:00Z,NA,NA,2002-09-02T00:00:00Z,2014-01-31T00:00:00Z,No,No,Madhya Pradesh,No,"NA",NA,"NA",NA,"NA",NA,No,"NA","NA","NA",No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,NA,NA,Science,NA,NA,1976,Madhya Pradesh,No,No,No
Akhil Kumar Srivastava,Male,1959-08-05T00:00:00Z,NA,NA,2018-06-19T00:00:00Z,2021-08-04T00:00:00Z,No,No,Madhya Pradesh,No,"NA",NA,"NA",NA,"NA",NA,No,"NA","NA","NA",No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Arts,NA,NA,NA,NA,No,No,No
