Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. Suryanarayan Naidu,Male,1948-07-05T00:00:00Z,Odisha,"Armstrong Road, Puri",2000-09-29T00:00:00Z,2010-07-04T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"Puri Zilla School, Odisha",NA,Science,"Madhusudan Law College, Cuttack, Utkal University",1973,1973,Odisha,No,No,No
Adarsh Kumar Goel,Male,1953-07-07T00:00:00Z,Haryana,Hissar,2001-07-02T00:00:00Z,2018-07-06T00:00:00Z,No,No,Punjab & Haryana,Yes,Gauhati,2011-09-12T00:00:00Z,NA,NA,NA,NA,Yes,Gauhati,Orissa,NA,Yes,2014-07-07T00:00:00Z,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,NA,Punjab University,Arts (Honours),Punjab University,NA,1974,Punjab and Haryana,No,No,No
Amitava Roy,Male,1953-03-01T00:00:00Z,West Bengal,Kolkata,2002-02-04T00:00:00Z,2018-02-28T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,Yes,Rajasthan,Orissa,NA,Yes,2015-02-27T00:00:00Z,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,Dibrugarh,Dibrugarh University,Physics,Dibrugarh University,1976,1976,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,Yes,No
Amiya Kumari Padhi,Female,1933-09-15T00:00:00Z,NA,NA,1988-04-18T00:00:00Z,1995-09-14T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,1962,Odisha,No,No,No
Anup Deb,Male,1943-01-02T00:00:00Z,NA,NA,1994-12-16T00:00:00Z,2002-03-12T00:00:00Z,Yes,No,Sikkim,Yes,Gauhati,1995-02-09T00:00:00Z,Orissa,1996-04-02T00:00:00Z,Sikkim,1997-12-27T00:00:00Z,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,1972,West Bengal,No,No,No
Arun Kumar Parichha,Male,1946-10-02T00:00:00Z,Odisha,"Patnagarh, Bolangir",2004-07-05T00:00:00Z,2008-10-01T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,Patnagarh High School,"G.M. College, Sambalpur",Science,"Madhusudan Law College, Cuttack, Utkal University",1968,1968,Odisha,No,No,No
Aruna Suresh,Female,1950-02-19T00:00:00Z,NA,NA,2006-07-04T00:00:00Z,2012-02-19T00:00:00Z,No,No,Delhi,Yes,Orissa,2010-10-28T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",No,"NA","NA","NA","NA","NA",Queens Mary School,"Indraprastha College for Women, Delhi University",Arts,"Campus Law Centre, Delhi University",1972,NA,NA,No,No,No
Ashoke Kumar Samantaray,Male,1946-02-20T00:00:00Z,Odisha,"Nasipur village, Kendrapara",2004-09-29T00:00:00Z,2008-02-19T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Arts,"Madhusudan Law College, Cuttack, Utkal University",1968,1968,Odisha,No,No,No
Asok Kumar Ganguly,Male,1947-02-03T00:00:00Z,West Bengal,NA,1994-01-10T00:00:00Z,2012-02-02T00:00:00Z,No,No,Calcutta,Yes,Patna,1994-04-04T00:00:00Z,Calcutta,2000-08-01T00:00:00Z,NA,NA,Yes,Orissa,Madras,NA,Yes,2008-12-17T00:00:00Z,Bar,No,Yes,No,"NA",No,No,No,No,No,Kidderpore Academy,University of Calcutta,English,University of Calcutta,1970,1971,West Bengal,No,Yes,No
Bira Kishore Mishra,Male,1951-06-02T00:00:00Z,Odisha,Angul,2011-01-25T00:00:00Z,2013-06-01T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,Yes,"Jogendra Dev High School, Boudh","Gopabandhu Science College, Athgarh; Kendrapara College",Science; Political Science,"Madhusudan Law College, Cuttack, Utkal University",1974,1974,Odisha,No,No,No
Bimal Prasad Das,Male,1950-11-15T00:00:00Z,Odisha,"Ramgarh, Cuttack",1999-06-17T00:00:00Z,2012-11-14T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,Yes,No,"Christ Collegiate School, Cuttack","Ravenshaw College, Cuttack",Science,"Madhusudan Law College, Cuttack, Utkal University",1974,1974,Odisha,No,Yes,No
Banwari Lal Hansaria,Male,1931-12-25T00:00:00Z,NA,NA,1979-02-12T00:00:00Z,1997-02-04T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,Yes,Orissa,NA,NA,Yes,1993-12-14T00:00:00Z,Service,No,Yes,No,No,No,No,No,No,No,"G.G.J. High School, Sardarshahar","Birla Arts College, Pilani",Arts,Calcutta University,NA,1962,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",Yes,Yes,No
Basudeb Panigrahi,Male,1942-01-19T00:00:00Z,NA,NA,1994-03-31T00:00:00Z,2003-07-09T00:00:00Z,No,No,Orissa,Yes,Calcutta,1994-11-21T00:00:00Z,Orissa,2001-06-04T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Arts,NA,NA,1968,Odisha,No,No,No
Bhabani Prasad Ray,Male,1955-03-02T00:00:00Z,Odisha,"Shibapur villaga, Jagatsinghpur",2007-11-07T00:00:00Z,2017-03-01T00:00:00Z,Yes,No,Orissa,Yes,Kerala,2010-10-28T00:00:00Z,Orissa,2014-03-19T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"Queen of the Missions High School, Berhampur","B.J.B. College, Bhubaneswar; Kendrapara College, Kendrapara",Arts,"Utkal University Law College, Bhubaneswar",1979,1979,Odisha,No,No,No
Bibhu Prasad Routray,Male,NA,NA,NA,2019-11-08T00:00:00Z,2032-01-31T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bichitra Nanda Dash,Male,1933-08-08T00:00:00Z,NA,NA,1991-01-07T00:00:00Z,1995-08-07T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No
Bijay Narayan Patnaik,Male,1936-07-23T00:00:00Z,Odisha,"Berhampur, Ganjam",1994-06-30T00:00:00Z,1998-07-22T00:00:00Z,No,No,Orissa,Yes,Kerala,1994-07-26T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,"Madhusudan Law College, Cuttack, Utkal University",1957,1958,Odisha,No,No,Yes
Bijaya Krishna Patel,Male,1953-01-24T00:00:00Z,Odisha,Sundergarh,2008-01-17T00:00:00Z,2015-01-23T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,"Bhawani Sankar High School, Sundargarh","Government College, Sundargarh; G.M. Sambalpur",Arts (Political Science Hons.),"Faculty of Law, Delhi University",1978,1979,Odisha,No,Yes,No
Bijaya Kumar Nayak,Male,1956-02-02T00:00:00Z,Odisha,"Kaimati village, Puri",2009-10-07T00:00:00Z,2018-02-01T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",Yes,"NA","NA","NA","NA","NA","Nimapara High School, Puri","B.J.B. College, Bhubaneswar",Arts,"I.L.S. Law College, Pune",1979,1982,Odisha,No,No,Yes
Bilal Nazki,Male,1947-11-18T00:00:00Z,Jammu & Kashmir,Srinagar,1995-01-06T00:00:00Z,2009-11-17T00:00:00Z,No,No,Jammu & Kashmir,Yes,Andhra Pradesh,1997-10-15T00:00:00Z,Bombay,2008-01-07T00:00:00Z,NA,NA,Yes,Orissa,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biswajit Mohanty,Male,1960-10-22T00:00:00Z,Odisha,Cuttack,2013-06-20T00:00:00Z,2022-10-21T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,Yes,No,No,"Secondary Board High School, Cuttack","Ravenshaw College, Cuttack",Political Science (Honours),"Campus Law Centre, Delhi University",1985,1985,Odisha,No,Yes,No
Biswanath Agrawal,Male,1994-10-15T00:00:00Z,NA,NA,1986-11-17T00:00:00Z,2009-10-15T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,Yes,Orissa,NA,NA,Yes,2000-10-19T00:00:00Z,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,1966,Bihar,No,No,No
Biswanath Mahapatra,Male,1953-04-01T00:00:00Z,Odisha,NA,2007-11-07T00:00:00Z,2015-03-31T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,"Bhargabi High School, Biranarasinghapur, Puri","S.C.S. College, Puri",Arts,"Faculty of Law, Delhi University",1977,1978,Odisha,No,Yes,Yes
Biswanath Rath,Male,1961-09-07T00:00:00Z,Odisha,NA,2014-07-02T00:00:00Z,2023-09-07T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,Yes,Yes,No,"Ravenshaw Collegiate School, Cuttack",Utkal University,Arts,"M.S. Law College, Cuttack",NA,1985,Odisha,No,No,No
Chira Ranjan Pal,Male,1940-07-01T00:00:00Z,NA,NA,1996-01-17T00:00:00Z,2002-06-30T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1966,Odisha,No,No,No
Chitta Ranjan Dash,Male,1962-05-21T00:00:00Z,Odisha,Sonepur,2009-10-07T00:00:00Z,2024-05-20T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,Yes,"Panchayata Samiti High School, Ullunda","B.J.B. College, Bhubaneswar",Political Science (Honours),"Madhu Sudan Law College, Cuttack",1985,1986,Odisha,No,No,Yes
Chockalignam Nagappan,Male,1951-10-04T00:00:00Z,Tamil Nadu,Karur,2000-09-27T00:00:00Z,2016-10-03T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,Yes,Orissa,NA,NA,Yes,2013-09-19T00:00:00Z,Bar,Yes,Yes,No,No,No,No,No,No,No,Karur,"Madura College, Madurai",Chemistry,Madras Law College,1974,NA,Tamil Nadu & Puducherry,No,No,Yes
Pratap Kishore Misra,Male,1942-01-05T00:00:00Z,NA,NA,1999-06-17T00:00:00Z,2004-01-04T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,NA,NA,NA,1971,Odisha,No,No,No
