Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A.B. Saharya,Male,1940-09-15T00:00:00Z,NA,NA,1986-04-24T00:00:00Z,2002-09-14T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,Yes,Punjab and Haryana,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,1963,Mysore,NA,NA,NA
Adarsh Kumar Goel,Male,1953-07-07T00:00:00Z,Haryana,Hissar,2001-07-02T00:00:00Z,2014-07-06T00:00:00Z,No,No,Punjab and Haryana,Yes,Gauhati,2011-09-12T00:00:00Z,NA,NA,NA,NA,Yes,Gauhati,Orissa,NA,Yes,2014-07-07T00:00:00Z,Bar,No,Yes,Yes,"NA",No,No,No,No,No,NA,"Punjab University, Chandigarh",Arts,"Punjab University, Chandigarh",NA,1974,Punjab and Haryana,No,No,No
Ajay Kumar Mittal,Male,1958-09-30T00:00:00Z,Chandigarh,NA,2004-01-09T00:00:00Z,2019-05-28T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,Yes,Meghalaya High Court,Madhya Pradesh,NA,No,NA,Bar,No,Yes,NA,"NA",Yes,No,No,No,No,NA,"Sri Ram College of Commerce, Delhi University",Commerce,"Faculty of Law, Delhi University",1980,1980,Punjab and Haryana,No,No,No
Amar Bir Singh Gill,Male,NA,NA,NA,1994-06-20T00:00:00Z,2003-05-19T00:00:00Z,No,No,Punjab and Haryana,Yes,Allahabad,1994-07-21T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amar Dutt,Male,NA,NA,NA,1999-02-08T00:00:00Z,2006-08-22T00:00:00Z,No,No,NA,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amarjeet Chaudhary,Male,NA,NA,NA,1988-06-27T00:00:00Z,1988-09-04T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amrit Lal Bahri,Male,NA,NA,NA,1988-05-04T00:00:00Z,1994-10-26T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anand Parkash Chowdhri,Male,NA,NA,NA,1988-05-04T00:00:00Z,1995-03-31T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arjan Kumar Sikri,Male,1954-03-07T00:00:00Z,NA,NA,1999-07-07T00:00:00Z,2013-04-11T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,Yes,Punjab and Haryana,NA,NA,Yes,2013-04-12T00:00:00Z,Bar,No,Yes,Yes,"NA",Yes,No,Yes,No,No,NA,"Shriram College of Commerce, Delhi University",Commerce,"Law Faculty, Delhi University",1977,1977,Delhi,No,No,Yes
A.S. Garg,Male,NA,NA,NA,1999-02-08T00:00:00Z,2001-12-17T00:00:00Z,No,No,NA,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.S. Nehra,Male,NA,NA,NA,1990-06-15T00:00:00Z,1997-06-02T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No
Ashok Bhan,Male,1943-10-02T00:00:00Z,NA,NA,1990-06-15T00:00:00Z,2001-06-17T00:00:00Z,No,No,Punjab and Haryana,Yes,Karnataka,1997-10-07T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,Yes,2001-06-17T00:00:00Z,Bar,No,Yes,Yes,"NA",Yes,Yes,No,No,No,NA,NA,NA,NA,NA,1965,Punjab and Haryana,No,No,No
Ashutosh Mohunta,Male,1953-02-25T00:00:00Z,Haryana,Sirsa,2001-07-02T00:00:00Z,2015-02-24T00:00:00Z,No,No,Punjab and Haryana,Yes,Andhra Pradesh,2010-10-28T00:00:00Z,Punjab and Haryana,2014-06-26T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,Yes,"Mayo College at Ajmer, Rajasthan",NA,NA,Delhi University,NA,1977,Punjab and Haryana,No,No,No
B. Rai,Male,NA,NA,NA,1996-01-29T00:00:00Z,1999-01-31T00:00:00Z,No,No,NA,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bakshish Kaur,Female,NA,NA,NA,1999-05-14T00:00:00Z,2002-07-06T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",No,"NA","NA","NA","NA","NA",NA,Patiala,Home Science and Psychology,Panjab University,1962,NA,NA,No,No,No
Baldev Singh,Male,NA,NA,NA,2004-11-05T00:00:00Z,2007-02-12T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Binod Kumar Roy,Male,1944-12-26T00:00:00Z,NA,NA,1988-10-31T00:00:00Z,2006-12-27T00:00:00Z,No,No,Patna,Yes,Allahabad,1994-04-28T00:00:00Z,NA,NA,NA,NA,Yes,Punjab and Haryana,Gawahati,Sikkim,No,NA,Bar,No,Yes,NA,"NA",No,No,No,No,No,NA,"Patna College, a Constituent College of the Patna University",Arts,Magadh University,NA,1968,Bihar,No,Yes,No
B.S. Nehra,Male,NA,NA,NA,1991-03-15T00:00:00Z,1994-04-02T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daljeet Singh Dhaliwal,Male,NA,NA,NA,1994-06-20T00:00:00Z,1994-07-22T00:00:00Z,No,No,Punjab and Haryana,Yes,Patna,1994-07-21T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daya Chaudhary,Female,1959-01-10T00:00:00Z,NA,NA,2007-12-05T00:00:00Z,2021-01-09T00:00:00Z,No,No,Punjab and Haryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,NA,NA,NA,NA,NA,1987,Punjab and Haryana,No,Yes,Yes
