Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Vinod Shanker Dave,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jasraj Chopra,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Farooq Hasan,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mohini Kapoor,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashok Kumar Mathur,Male,1943-08-07T00:00:00Z,NA,NA,1985-07-13T00:00:00Z,2005-08-06T00:00:00Z,No,No,Rajasthan,Yes,Madhya Pradesh,1994-02-18T00:00:00Z,NA,NA,NA,NA,Yes,Madhya Pradesh,Calcutta,NA,Yes,2004-06-07T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,NA,NA,NA,No,Yes,No
Milap Chandra Jain,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranveer Sahai Verma,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N.C. Kochhar,Male,1935-03-26T00:00:00Z,NA,NA,1986-11-17T00:00:00Z,1997-03-25T00:00:00Z,No,No,Delhi,Yes,Rajasthan,1988-06-17T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No
Ram Saharan Kejriwal,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balwant Roy Arora,Male,1935-08-15T00:00:00Z,NA,NA,1990-07-20T00:00:00Z,1997-08-14T00:00:00Z,No,No,Rajasthan,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No
Navrang Lal Tibrewal,Male,1937-01-17T00:00:00Z,Rajasthan,Jhunjhunu,1990-07-20T00:00:00Z,1999-01-16T00:00:00Z,No,No,Rajasthan,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,"Maharaja College, Jaipur",NA,University Law College,1959,NA,NA,No,No,No
Nagendra Kumar Jain,Male,1942-10-20T00:00:00Z,Rajasthan,Alwar,1990-07-20T00:00:00Z,2004-10-19T00:00:00Z,No,No,Rajasthan,Yes,Madras,1997-11-18T00:00:00Z,NA,NA,NA,NA,Yes,Madras,Karnataka,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"Happy School, Mahaveer School, Maharaja College",Rajasthan College of Rajasthan University,NA,Jodhpur University,1967,1968,Rajasthan,No,No,No
Megh Raj Calla,Male,1941-03-12T00:00:00Z,NA,NA,1990-07-29T00:00:00Z,2003-03-11T00:00:00Z,No,No,Rajasthan,Yes,Gujarat,1994-04-28T00:00:00Z,Rajasthan,2001-09-10T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,1968,Rajasthan,No,No,No
Ganpat Singh Singhvi,Male,1948-12-12T00:00:00Z,Rajasthan,Jodhpur,1990-07-20T00:00:00Z,2013-12-12T00:00:00Z,No,No,Rajasthan,Yes,Punjab and Haryana,1994-04-28T00:00:00Z,Gujarat,2005-02-28T00:00:00Z,NA,NA,Yes,Andhra Pradesh,NA,NA,Yes,2007-11-12T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,NA,Jodhpur University,Science,Rajasthan University,1971,1971,Rajasthan,No,No,No
Yad Ram Meena,Male,1946-07-01T00:00:00Z,NA,NA,1990-07-20T00:00:00Z,2008-06-30T00:00:00Z,No,No,Rajasthan,Yes,Calcutta,1997-12-21T00:00:00Z,Rajasthan,2001-10-01T00:00:00Z,NA,NA,Yes,Gujarat,NA,NA,No,NA,Bar,Yes,Yes,No,Yes,Yes,No,No,No,No,NA,NA,NA,NA,NA,1968,NA,No,No,No
Virendra Kumar Singhal,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rajesh Balia,Male,1946-03-03T00:00:00Z,NA,NA,1991-10-21T00:00:00Z,2008-03-02T00:00:00Z,No,No,Rajasthan,Yes,Gujarat,1994-06-24T00:00:00Z,Rajasthan,1999-12-13T00:00:00Z,NA,NA,Yes,Patna,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,NA,NA,Commerce,NA,NA,1967,Rajasthan,No,No,No
Rajendra Prasad Saxena,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vinod Kumar Bali,Male,1945-01-24T00:00:00Z,NA,NA,1991-03-15T00:00:00Z,2007-01-23T00:00:00Z,No,No,Punjab and Haryana,Yes,Rajasthan,2005-02-28T00:00:00Z,NA,NA,NA,NA,Yes,Kerala,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,NA,NA,NA,"Panjab University, Chandigarh",1967,1967,Harya,No,No,No
Anshuman Singh,Male,1935-07-07T00:00:00Z,Uttar Pradesh,Prayagraj,1984-05-24T00:00:00Z,1997-07-06T00:00:00Z,No,No,Allahabad,Yes,Rajasthan,1994-04-28T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad University,NA,1960,NA,No,No,No
Maheshwari Prasad Singh,Male,1936-04-10T00:00:00Z,NA,NA,1987-07-31T00:00:00Z,NA,No,No,Allahabad,Yes,Rajasthan,1994-04-28T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,NA,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1960,NA,No,No,No
Vishnu Sadashiv Kokje,Male,1939-09-06T00:00:00Z,Madhya Pradesh,Dhar,1990-07-28T00:00:00Z,2001-09-05T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,1994-04-28T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,No,NA,"Holkar College, Indore","Mathematics, Statistics and Economics","Government Arts and Commerce College, Indore",NA,1964,NA,No,Yes,No
