Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Aftab H. Saikia,Male,1949-04-07T00:00:00Z,Assam,"Dampur, Kamrup",2000-11-15T00:00:00Z,2011-04-06T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,Yes,Sikkim,Jammu and Kashmir,"NA",No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,NA,Cotton College,Science,Gauhati University,1974,1974,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,Yes
Ajoy Nath Roy,Male,1946-10-31T00:00:00Z,NA,NA,1990-08-06T00:00:00Z,2008-10-30T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,Yes,Allahabad,Sikkim,"NA",No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,1970,West Bengal,NA,NA,No
Ananda Prakash Subba,Male,1948-03-01T00:00:00Z,Sikkim,Hee Pechrek Busty,2004-10-04T00:00:00Z,2010-02-28T00:00:00Z,No,No,Sikkim,Yes,Guwahati,2007-04-04T00:00:00Z,Sikkim,2007-11-10T00:00:00Z,NA,NA,No,"NA","NA","NA",No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,Kohima Science College,Science,Shillong Law college,1972,1973,"Assam, Nagaland, Meghalaya, Manipur and Tripura",NA,NA,No
Anup Deb,Male,1943-01-02T00:00:00Z,NA,NA,1994-12-16T00:00:00Z,2002-03-12T00:00:00Z,Yes,No,Sikkim,Yes,Gauhati,1995-02-09T00:00:00Z,Orissa,1996-04-02T00:00:00Z,NA,NA,No,"NA","NA","NA",No,NA,Bar,No,Yes,Yes,"NA",Yes,Yes,No,No,No,NA,NA,NA,NA,NA,1972,West Bengal,NA,NA,NA
Arup Kumar Goswami,Male,1961-03-11T00:00:00Z,Assam,Jorhat,2011-01-24T00:00:00Z,2023-03-10T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,Yes,Sikkim,Andhra Pradesh,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,NA,"Cotton College, Gauhati University",NA,"Government Law College, Guwahati",1985,1985,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",NA,NA,No
Barin Ghosh,Male,1952-06-05T00:00:00Z,NA,NA,1995-07-14T00:00:00Z,2014-06-04T00:00:00Z,No,No,Calcutta,Yes,Patna,2005-01-07T00:00:00Z,NA,NA,NA,NA,Yes,Jammu and Kashmir,Sikkim,Uttarakhand,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,Commerce,NA,NA,1978,West Bengal,No,No,No
Bhaskar Raj Pradhan,Male,1963-12-15T00:00:00Z,Sikkim,NA,2017-05-23T00:00:00Z,2028-10-18T00:00:00Z,No,No,Sikkim,No,NA,NA,NA,NA,NA,NA,No,"NA","NA","NA",No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,Yes,"Tashi Namgal Academy, St. Pauls school",Elphinstone college,Arts,Government Law College,1991,1991,Maharastra,No,No,No
Binod Kumar Roy,Male,1944-12-26T00:00:00Z,NA,NA,1988-10-31T00:00:00Z,2006-12-27T00:00:00Z,No,No,Patna,Yes,Allahabad,1994-04-28T00:00:00Z,NA,NA,NA,NA,Yes,Punjab and Haryana,Gawahati,Sikkim,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,Patna College,Arts,Magadh University,NA,1968,Bihar,NA,NA,No
Jitendra Maheshwari,Male,1961-06-29T00:00:00Z,Madhya Pradesh,"Morena, Joura",2005-11-25T00:00:00Z,2023-06-28T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,Yes,Andhra Pradesh,Sikkim,"NA",No,NA,Bar,No,Yes,No,"NA",Yes,No,Yes,No,No,NA,NA,Arts,NA,NA,1985,Madhya Pradesh,No,No,Yes
K. A. Thanikkachalam,Male,1935-09-27T00:00:00Z,Tamil Nadu,Madras,1988-08-14T00:00:00Z,1997-09-27T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,Yes,Sikkim,"NA","NA",No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,"Pachaiyappa’s School and College, Madras","Pachaiyappa’s School and College, Madras",Economics,NA,1960,1962,Tamil Nadu,No,No,No
