Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Ajay Rastogi,Male,1958-06-18T00:00:00Z,Rajasthan,Jaipur,2004-09-02T00:00:00Z,2023-06-17T00:00:00Z,No,No,Rajasthan,No,NA,NA,NA,NA,NA,NA,Yes,Tripura,NA,NA,Yes,2018-11-02T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,Yes,No,No,NA,NA,Commerce,NA,NA,1982,NA,No,No,No
Akil Abdul Hamid Kureshi,Male,1960-03-07T00:00:00Z,Gujarat,NA,2004-03-07T00:00:00Z,2022-03-06T00:00:00Z,No,No,Gujarat,Yes,Bombay,2018-11-14T00:00:00Z,NA,NA,NA,NA,Yes,Tripura,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,Science (Mathematics),NA,1983,1983,Gujarat,No,No,No
Arindam Lodh,Male,1963-03-25T00:00:00Z,NA,NA,2018-05-07T00:00:00Z,2025-03-24T00:00:00Z,No,No,Tripura,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,Science,NA,NA,1988,NA,No,No,No
Deepak Gupta,Male,1955-05-07T00:00:00Z,Himachal Pradesh,"Nurpur, Kangra District",2004-10-04T00:00:00Z,2020-05-06T00:00:00Z,No,No,Himachal Pradesh,No,NA,NA,NA,NA,NA,NA,Yes,Tripura,Chattisgarh,NA,Yes,2017-02-17T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"St. Edward's School, Shimla",NA,NA,Delhi University,1978,1978,NA,No,No,No
Sanjay Karol,Male,1961-08-23T00:00:00Z,Himachal Pradesh,Shimla,2007-03-08T00:00:00Z,2023-08-22T00:00:00Z,No,No,Himachal Pradesh,No,NA,NA,NA,NA,NA,NA,Yes,Tripura,Patna,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,Yes,No,No,No,"St. Edward School, Shimla","Government Degree College, Shimla",History,"Himachal Pradesh University, Shimla",NA,1986,NA,No,No,No
Satya Gopal Chattopadhyay,Male,1961-01-01T00:00:00Z,NA,NA,2020-03-06T00:00:00Z,2022-12-31T00:00:00Z,No,No,Tripura,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,"University College of Law, Calcutta",NA,"University College of Law, Calcutta",1988,1988,NA,No,No,No
Subhasis Talapatra,Male,1961-10-04T00:00:00Z,Tripura,Udaipur,2011-11-15T00:00:00Z,2023-10-03T00:00:00Z,No,No,Gauhati,Yes,Tripura,2013-03-23T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,NA,University of Calcutta,Arts,"Department of Law, University of Calcutta",NA,1990,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
Swapan Chandra Das,Male,1955-03-16T00:00:00Z,NA,NA,2011-10-17T00:00:00Z,2017-03-15T00:00:00Z,No,No,Gauhati,Yes,Tripura,2013-03-23T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,Belonia College,NA,"University College of Law, Calcutta",NA,1981,NA,No,No,No
Tinlianthang Vaiphei,Male,1956-03-01T00:00:00Z,NA,NA,2003-07-17T00:00:00Z,2018-02-28T00:00:00Z,No,No,Gauhati,Yes,Tripura,2016-05-16T00:00:00Z,NA,NA,NA,NA,Yes,Tripura,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,Yes,No,No,NA,"Nowrosjee Wadia College, University of Poona",Arts,"Campus Law Centre, University of Delhi",1979,1980,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
Utpalendu Bikas Saha,Male,1954-08-25T00:00:00Z,Tripura,Udaipur,2006-10-12T00:00:00Z,2016-08-24T00:00:00Z,No,No,Gauhati,Yes,Tripura,2013-03-23T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,"K.B.Institution, Udaipur, Tripura","Bir Bikram Evening College, Agartala",Arts,Calcutta University,NA,1978,NA,No,Yes,No
