Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A Chakraborty,Male,1943-07-15T00:00:00Z,Not Available,Not Available,1994-03-28T00:00:00Z,2005-07-14T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1994-04-19T00:00:00Z,Calcutta,2000-08-01T00:00:00Z,Not Applicable,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1968,West Bengal,No,No,No
Abhijit Gangopadhyay,Male,NA,Not Available,Not Available,2018-05-02T00:00:00Z,NA,No,No,Calcutta,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NA
AK Banerjee,Male,1953-06-02T00:00:00Z,Not Available,Not Available,2000-09-15T00:00:00Z,2015-06-01T00:00:00Z,No,No,Calcutta,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,"Scottish Church College, Kolkata",Not Available,Not Available,Not Available,1976,West Bengal,No,No,No
AK Mathur,Male,1943-07-07T00:00:00Z,West Bengal,Calcutta,1985-09-18T00:00:00Z,2008-07-07T00:00:00Z,No,No,Rajasthan,Yes,Madhya Pradesh,1994-02-18T00:00:00Z,Calcutta,1999-12-22T00:00:00Z,Not Applicable,NA,Yes,Madhya Pradesh,Calcutta,Not Applicable,Yes,2004-06-07T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,University of Calcutta,Arts (English),University of Calcutta,1970,1967,Rajasthan,No,No,No
Amitabha Chatterjee,Male,1960-05-09T00:00:00Z,Not Available,Not Available,2016-10-06T00:00:00Z,2022-05-08T00:00:00Z,No,No,Calcutta,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Katwa College,Not Available,Katwa College,1979,Not Available,West Bengal,No,No,No
Amrita Sinha,Female,NA,Not Available,Not Available,2018-05-02T00:00:00Z,NA,No,No,Calcutta,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Not Available,No,Not Available,Not Available,Not Applicable,Not Available,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NA
Anindita Roy Saraswati,Female,1951-12-03T00:00:00Z,Not Available,Not Available,2012-04-09T00:00:00Z,2013-12-02T00:00:00Z,No,No,Calcutta,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1977,West Bengal,No,Yes,No
Aniruddha Bose,Male,1959-11-03T00:00:00Z,Not Available,Not Available,2004-01-19T00:00:00Z,2021-11-02T00:00:00Z,No,No,Calcutta,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,"St. Lawrence School, Calcutta",St. Xaviers College,Commerce,Surendranath College,Not Available,1985,West Bengal,No,No,No
Arijit Banerjee,Male,1967-03-07T00:00:00Z,Not Available,Not Available,2013-10-30T00:00:00Z,2029-03-06T00:00:00Z,No,No,Calcutta,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,University of Calcutta,Not Available,Not Available,Not Available,1991,West Bengal,No,No,No
Arindam Mukherjee,Male,NA,Not Available,Not Available,2018-03-12T00:00:00Z,NA,No,No,Calcutta,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NA
