Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. K. Goel,Male,1959-06-16T00:00:00Z,Haryana,Hissar,NA,NA,Not Available,Not Available,J&K and Ladakh,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Punjab University,Arts,Punjab University,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mansoor Ahmad Mir,Male,1955-04-25T00:00:00Z,Jammu & Kashmir,Village Rajpora,NA,NA,Not Available,Not Available,J&K and Ladakh,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Amar Singh College ,Arts,Not Available,1978,Not Available,Not Available,Not Available,Not Available,Not Available
A. Q. Parrey,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,J&K and Ladakh,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Adarsh Sein Anand,Male,1936-11-01T00:00:00Z,Jammu & Kashmir,Jammu,1975-05-26T00:00:00Z,2001-10-30T00:00:00Z,Not Available,No,J&K and Ladakh,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,Yes,Madras,Not Applicable,Not Applicable,Yes,1991-11-18T00:00:00Z,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1964,Not Available,Yes,Not Available,Yes
Aftab Alam,Male,1948-04-19T00:00:00Z,Bihar,Patna,1990-07-27T00:00:00Z,2013-04-18T00:00:00Z,Not Available,No,Patna,Yes,J&K and Ladakh,2007-06-06T00:00:00Z,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,Yes,2007-11-12T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1973,Bihar,Not Available,Not Available,No
Ali Magrey,Male,1960-12-08T00:00:00Z,Jammu & Kashmir,Village Wattoo,2013-03-08T00:00:00Z,2022-12-07T00:00:00Z,Not Available,No,J&K and Ladakh,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,Not Available,University of Kashmir,Not Available,University of Kashmir,Not Available,1984,Not Available,Not Available,Not Available,No
Alok Aradhe,Male,1964-04-13T00:00:00Z,Chhattisgarh,Raipur,2009-12-29T00:00:00Z,2026-04-12T00:00:00Z,Not Available,No,Madhya Pradesh,Yes,J&K and Ladakh,2016-09-15T00:00:00Z,Karnataka,2018-11-15T00:00:00Z,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No
Anant Singh,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,J&K and Ladakh,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bashir Khan,Male,1945-04-01T00:00:00Z,Not Available,Not Available,NA,2007-03-31T00:00:00Z,Not Available,No,J&K and Ladakh,Yes,Madhya Pradesh,1997-10-07T00:00:00Z,Delhi,2000-01-13T00:00:00Z,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1971,Delhi,Not Available,Not Available,Not Available
B. A. Nazki,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,J&K and Ladakh,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
B. L. Bhat,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,J&K and Ladakh,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bansi Lal Bhat,Male,1954-04-19T00:00:00Z,Jammu & Kashmir,"Arihal, Pulwama District",2013-03-08T00:00:00Z,2016-04-18T00:00:00Z,Not Available,No,J&K and Ladakh,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,"Government High School, Hawal","Amar Singh College, Srinagar",Arts,University of Kashmir,1974,1975,Not Available,Not Available,Not Available,No
Bashir Ahmad Kirmani,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,J&K and Ladakh,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Syed Bashir-Ud-Din,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,J&K and Ladakh,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Basudeva Mukerjee,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,J&K and Ladakh,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bawa Singh Walia,Male,1961-08-28T00:00:00Z,Punjab,Jalandhar,2014-09-25T00:00:00Z,2023-08-27T00:00:00Z,Not Available,No,Punjab and Haryana,Yes,J&K and Ladakh,2015-02-12T00:00:00Z,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,St. John's High School,"A.V. College, Chandigarh",Arts,Panjab University,1985,1985,Not Available,Not Available,Not Available,No
Bhawani Singh,Male,1944-03-28T00:00:00Z,Not Available,Not Available,1988-12-16T00:00:00Z,2006-03-28T00:00:00Z,No,No,Himachal Pradesh,Yes,J & K and Ladakh,1996-03-22T00:00:00Z,Not Applicable,NA,Not Applicable,NA,Yes,J & K and Ladakh,Madhya Pradesh,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,Yes,Yes,No,No,Not Available,"SD College (Lahore), Ambala Cantt (Haryana)",Not Available,Punjab University,Not Available,1968,Himachal Pradesh,No,No,No
