Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Alok Singh,Male,1959-04-28T00:00:00Z,Uttarakhand,Roorkee,2009-10-12T00:00:00Z,2021-04-27T00:00:00Z,No,No,Uttarakhand,Yes,Punjab and Haryana,2009-12-21T00:00:00Z,Jharkhand,2012-06-12T00:00:00Z,Uttarakhand,2013-02-26T00:00:00Z,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,Roorkee,"M.S. College, Saharanpur",Science,Not Available,Not Available,1982,UP,No,No,No
Altamas Kabir,Male,1948-07-19T00:00:00Z,Not Available,Not Available,1990-08-06T00:00:00Z,2013-07-18T00:00:00Z,No,No,Calcutta,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,Yes,Jharkhand,Not Applicable,Not Applicable,Yes,2005-09-09T00:00:00Z,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Calcutta Boys School,"Presidency College, Calcutta",B.A. (Hons.) in History,University of Calcutta,Not Available,1973,West Bengal,No,Yes,No
Amareshwar Sahay,Male,1948-10-10T00:00:00Z,Not Available,Not Available,2002-11-18T00:00:00Z,2010-10-10T00:00:00Z,No,No,Jharkhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,"Zila School, Ranchi",Ranchi College,Science,"Chhotanagpur Law College, Ranchi",Not Available,1970,Bihar,No,No,No
Amitav Gupta,Male,1959-05-31T00:00:00Z,Not Available,Not Available,2013-09-18T00:00:00Z,2021-05-30T00:00:00Z,No,No,Jharkhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,"St. Xavier's School, Sahebganj","Hindu College, Delhi University",Not Available,"Campus Law Centre (Law Faculty), Delhi University",Not Available,1985,Bihar,No,Yes,No
Ananda Sen,Male,1969-08-15T00:00:00Z,Not Available,Not Available,2016-04-08T00:00:00Z,2031-08-14T00:00:00Z,No,No,Jharkhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,Yes,Yes,"Assembly of God Church School, Kolkata",Kolkata University,Commerce,"Chhotanagpur Law College, Ranchi (Ranchi University)",Not Available,1996,Jharkhand,No,No,No
Anant Bijay Singh,Male,1959-01-13T00:00:00Z,Not Available,Not Available,2016-04-08T00:00:00Z,2021-01-12T00:00:00Z,No,Yes,Jharkhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,No,No,No,No,Yes,Not Available,Not Available,B.Sc.,Not Available,Not Available,1987,Bihar,No,No,No
Anil Kumar Choudhary,Male,1965-06-18T00:00:00Z,Jharkhand,Odisha,2017-05-20T00:00:00Z,2027-06-17T00:00:00Z,No,No,Jharkhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Not Available,"Government College, Rourkela",Science,Rourkela Law College,1988,1995,Odisha,No,Yes,No
Aniruddha Bose,Male,1959-04-11T00:00:00Z,Calcutta,Not Available,2004-01-19T00:00:00Z,2024-04-10T00:00:00Z,No,No,Calcutta,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,Yes,Jharkhand,Not Applicable,Not Applicable,Yes,2019-05-24T00:00:00Z,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,"St. Lawrence High School, Calcutta","St. Xavier's College, Calcutta",Commerce,"Surendranath College of Law, Calcutta",Not Available,1985,West Bengal,No,No,No
Anubha Rawat Choudhary,Female,1970-06-25T00:00:00Z,Not Available,Not Available,2018-01-06T00:00:00Z,2032-06-24T00:00:00Z,No,No,Jharkhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,"Guru Nanak School, Ranchi","Miranda House, Delhi University",Bachelor of Science (Physics Honours Course),"Campus Law Centre, Delhi University",1995,1995,Not Available,No,No,No
Aparesh Kumar Singh,Male,1965-07-07T00:00:00Z,Not Available,Not Available,2012-01-24T00:00:00Z,2027-07-06T00:00:00Z,No,No,Jharkhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,B.A. Hons.,University of Delhi,Not Available,1990,Patna,No,No,No
