Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Ajay Kumar Mittal,Male,1958-09-30T00:00:00Z,Chandigarh,Chandigarh,2004-01-09T00:00:00Z,2020-09-29T00:00:00Z,No,No,Punjab and Haryana,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,Yes,Meghalaya,Madhya Pradesh,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,"Sri Ram College of Commerce, Delhi University",Commerce (Hons.),"Faculty of Law, Delhi University",1980,1980,Punjab and Haryana,No,No,No
Biswanath Somadder,Male,1963-12-15T00:00:00Z,West Bengal,Calcutta,2006-06-22T00:00:00Z,2025-12-14T00:00:00Z,No,No,Calcutta,Yes,Allahabad,2019-10-17T00:00:00Z,Not Applicable,NA,Not Applicable,NA,Yes,Meghalaya,Sikkim,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"La Martiniere for Boys School, Calcutta",University Of Calcutta,Arts,University of Calcutta,Not Available,1989,West Bengal,No,No,No
Dinesh Maheshwari,Male,1958-04-15T00:00:00Z,Rajasthan,Udaipur,2004-09-02T00:00:00Z,2023-05-14T00:00:00Z,No,No,Rajasthan,Yes,Allahabad,2014-07-19T00:00:00Z,Not Applicable,NA,Not Applicable,NA,Yes,Meghalaya,Karnataka,Not Applicable,Yes,2019-01-18T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,"Maharaja College, Rajasthan University",Science (Hons.),Jodhpur University,1980,1981,Rajasthan,No,No,No
Hamarsan Singh Thangkhiew,Male,1966-12-24T00:00:00Z,Meghalaya,Shillong,2018-11-19T00:00:00Z,2028-12-23T00:00:00Z,No,No,Meghalaya,Yes,Madras,1998-03-23T00:00:00Z,Andhra Pradesh,2001-09-05T00:00:00Z,Patna,2010-10-27T00:00:00Z,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,"St. Edmund's College, Shillong","St. Edmund’s College, Shillong",Not Available,Delhi University,1990,1991,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
Mohammad Rafiq,Male,1960-05-25T00:00:00Z,Rajasthan,"Sujangarh, Charu",2006-05-15T00:00:00Z,2022-05-24T00:00:00Z,No,No,Rajasthan,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,Yes,Meghalaya,Orissa,Madhya Pradesh,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,University of Rajasthan,Commerce (Hons.),University of Rajasthan,1984,1984,Rajasthan,No,Yes,No
Mohammad Mir,Male,1957-05-28T00:00:00Z,Jammu & Kashmir,Pulwama,2007-11-23T00:00:00Z,2019-05-27T00:00:00Z,No,No,J&K and Ladakh,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,Yes,Meghalaya,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,Kashmir University,Not Available,1981,Jammu & Kashmir,No,No,No
Prafulla Chandra Pant,Male,1952-08-30T00:00:00Z,Uttarakhand,Pithorgarh,2004-06-29T00:00:00Z,2017-08-29T00:00:00Z,No,No,Uttarakhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,Yes,Meghalaya,Not Applicable,Not Applicable,Yes,2014-08-13T00:00:00Z,Service,Yes,Yes,No,Yes,No,No,No,No,No,Pithorgarh,Allahabad University,Science,Lucknow University,Not Available,1973,Uttar Pradesh,No,No,No
Ranjit More,Male,1959-11-04T00:00:00Z,Maharashtra,"Nimsod, Tq. Khatau, Satara",2006-09-08T00:00:00Z,2021-11-03T00:00:00Z,No,No,Bombay,Yes,Uttarakhand,2020-03-09T00:00:00Z,Not Applicable,NA,Not Applicable,NA,Yes,Meghalaya,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,"Nimsod, Satara",Kolhapur,Arts (Hons.),"Shivaji University, Kolhapur",Not Available,1983,Maharashtra & Goa,No,No,Yes
Sudip Ranjan Sen,Male,1957-03-09T00:00:00Z,Meghalaya,Shillong,2012-02-06T00:00:00Z,2019-03-08T00:00:00Z,No,No,Gauhati,Yes,Meghalaya,2013-03-23T00:00:00Z,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,Shillong,Shillong,Arts,Shillong Law College,Not Available,1989,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
T. Meena Kumari,Female,1951-08-03T00:00:00Z,Andhra Pradesh,Visakhapatnam,1998-02-23T00:00:00Z,2013-08-03T00:00:00Z,No,No,Andhra Pradesh,Yes,Madras,1998-03-23T00:00:00Z,Andhra Pradesh,1998-02-23T00:00:00Z,Patna,2010-10-27T00:00:00Z,Yes,Meghalaya,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,Not Available,Not Available,Science,Osmania University,Not Available,1976,Andhra Pradesh,No,No,No
T. Nandakumar Singh,Male,1954-02-01T00:00:00Z,Not Available,Not Available,2004-11-25T00:00:00Z,2016-01-31T00:00:00Z,No,No,Gauhati,Yes,Meghalaya,2013-03-23T00:00:00Z,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,Not Available,Utkal University,Science,Lucknow University,1977,1978,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
Tarun Agarwala,Male,1956-03-03T00:00:00Z,Not Available,Not Available,2004-01-07T00:00:00Z,2018-03-02T00:00:00Z,No,No,Allahabad,Yes,Uttarakhand,NA,Allahabad,2012-10-17T00:00:00Z,Not Applicable,NA,Yes,Meghalaya,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Allahabad University,Arts,Allahabad University,Not Available,1981,Uttar Pradesh,No,No,No
Uma Nath Singh,Male,1954-01-15T00:00:00Z,Not Available,Not Available,2001-10-22T00:00:00Z,2016-01-14T00:00:00Z,No,No,Madhya Pradesh,Yes,Punjab and Harayana,2004-12-02T00:00:00Z,Allahabad,2009-06-30T00:00:00Z,Not Applicable,NA,Yes,Meghalaya,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Ewing Christian Public School,Ewing Christian College,Science,Allahabad University,Not Available,1982,Delhi,No,Yes,No
Ved Prakash Vaish,Male,1959-06-27T00:00:00Z,Delhi,Delhi,2013-04-17T00:00:00Z,2021-06-26T00:00:00Z,No,No,Delhi,Yes,Meghalaya,2016-05-23T00:00:00Z,Delhi,2016-11-26T00:00:00Z,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,Delhi,Delhi University,Not Available,Not Available,1984,1984,Delhi,No,No,No
Wanlura Diengdoh,Male,1965-11-04T00:00:00Z,Meghalaya,Shillong,2019-11-15T00:00:00Z,2027-11-03T00:00:00Z,No,No,Meghalaya,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,"St. Anthony's School, Shillong.",Shillong College,Commerce,Shillong Law College,1990,1990,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
