Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Vinod Shanker Dave,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,Rajasthan,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Jasraj Chopra,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,Rajasthan,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Farooq Hasan,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,Rajasthan,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Mohini Kapoor,Female,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,Rajasthan,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Ashok Kumar Mathur,Male,1943-08-07T00:00:00Z,Not Available,Not Available,1985-07-13T00:00:00Z,2005-08-06T00:00:00Z,No,No,Rajasthan,Yes,Madhya Pradesh,1994-02-18T00:00:00Z,Not Applicable,NA,Not Applicable,NA,Yes,Madhya Pradesh,Calcutta,Not Available,Yes,2004-06-07T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,University of Calcutta,Not Available,University of Calcutta,Not Available,Not Available,Not Available,No,Yes,No
Milap Chandra Jain,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,Rajasthan,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Ranveer Sahai Verma,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,Rajasthan,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
N.C. Kochhar,Male,1935-03-26T00:00:00Z,Not Available,Not Available,1986-11-17T00:00:00Z,1997-03-25T00:00:00Z,No,No,Delhi,Yes,Rajasthan,1988-06-17T00:00:00Z,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Ram Saharan Kejriwal,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,Rajasthan,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Balwant Roy Arora,Male,1935-08-15T00:00:00Z,Not Available,Not Available,1990-07-20T00:00:00Z,1997-08-14T00:00:00Z,No,No,Rajasthan,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Navrang Lal Tibrewal,Male,1937-01-17T00:00:00Z,Rajasthan,Jhunjhunu,1990-07-20T00:00:00Z,1999-01-16T00:00:00Z,No,No,Rajasthan,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"Maharaja College, Jaipur",Not Available,University Law College,1959,Not Available,Not Available,No,No,No
Nagendra Kumar Jain,Male,1942-10-20T00:00:00Z,Rajasthan,Alwar,1990-07-20T00:00:00Z,2004-10-19T00:00:00Z,No,No,Rajasthan,Yes,Madras,1997-11-18T00:00:00Z,Not Applicable,NA,Not Applicable,NA,Yes,Madras,Karnataka,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"Happy School, Mahaveer School, Maharaja College",Rajasthan College of Rajasthan University,Not Available,Jodhpur University,1967,1968,Rajasthan,No,No,No
Megh Raj Calla,Male,1941-03-12T00:00:00Z,Not Available,Not Available,1990-07-29T00:00:00Z,2003-03-11T00:00:00Z,No,No,Rajasthan,Yes,Gujarat,1994-04-28T00:00:00Z,Rajasthan,2001-09-10T00:00:00Z,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Not Available,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1968,Rajasthan,No,No,No
Ganpat Singh Singhvi,Male,1948-12-12T00:00:00Z,Rajasthan,Jodhpur,1990-07-20T00:00:00Z,2013-12-12T00:00:00Z,No,No,Rajasthan,Yes,Punjab and Haryana,1994-04-28T00:00:00Z,Gujarat,2005-02-28T00:00:00Z,Not Applicable,NA,Yes,Andhra Pradesh,Not Applicable,Not Applicable,Yes,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,Not Available,Jodhpur University,Science,Rajasthan University,1971,1971,Rajasthan,No,No,No
Yad Ram Meena,Male,1946-07-01T00:00:00Z,Not Available,Not Available,1990-07-20T00:00:00Z,2008-06-30T00:00:00Z,No,No,Rajasthan,Yes,Calcutta,1997-12-21T00:00:00Z,Rajasthan,2001-10-01T00:00:00Z,Not Applicable,NA,Yes,Gujarat,Not Applicable,Not Applicable,No,NA,Bar,Yes,Yes,No,Yes,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1968,Not Available,No,No,No
Virendra Kumar Singhal,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,Rajasthan,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Rajesh Balia,Male,1946-03-03T00:00:00Z,Not Available,Not Available,1991-10-21T00:00:00Z,2008-03-02T00:00:00Z,No,No,Rajasthan,Yes,Gujarat,1994-06-24T00:00:00Z,Rajasthan,1999-12-13T00:00:00Z,Not Applicable,NA,Yes,Patna,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,Not Available,Not Available,Commerce,Not Available,Not Available,1967,Rajasthan,No,No,No
Rajendra Prasad Saxena,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,Rajasthan,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Vinod Kumar Bali,Male,1945-01-24T00:00:00Z,Not Available,Not Available,1991-03-15T00:00:00Z,2007-01-23T00:00:00Z,No,No,Punjab and Haryana,Yes,Rajasthan,2005-02-28T00:00:00Z,Not Applicable,NA,Not Applicable,NA,Yes,Kerala,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,"Panjab University, Chandigarh",1967,1967,Harya,No,No,No
