Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Alok Kumar Verma,Male,1964-08-16T00:00:00Z,Uttar Pradesh,Varanasi,2019-05-27T00:00:00Z,2026-08-15T00:00:00Z,No,No,Uttarakhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,"D.A.V. (P.G.) Degree College, Varanasi, Uttar Pradesh",Not Available,Harish Chandra Postgraduate College,1985,Not Applicable,Not Applicable,No,No,No
Alok Singh,Male,1959-04-28T00:00:00Z,Uttarakhand,Roorkee,2009-10-12T00:00:00Z,2021-04-27T00:00:00Z,No,No,Uttarakhand,Yes,Punjab and Haryana,2009-12-21T00:00:00Z,Jharkhand,2012-06-13T00:00:00Z,Uttarakhand,2013-02-26T00:00:00Z,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,"M.S. College, Saharanpur",Science,Not Available,Not Available,1982,Uttar Pradesh,No,No,No
Ashok Abhaiendra Desai,Male,1942-06-24T00:00:00Z,Not Available,Not Available,1986-11-21T00:00:00Z,2003-04-01T00:00:00Z,No,Yes,Bombay,Yes,Allahabad,1999-03-08T00:00:00Z,Uttarakhand,2000-11-06T00:00:00Z,Not Applicable,NA,Yes,Uttarakhand,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,Not Available,"Fergusson College, Pune and London School of Economics and Policitcal Science",Arts,"Government Law College, Bombay",Not Available,1956,Maharashtra,No,No,No
Barin Ghosh,Male,1952-06-05T00:00:00Z,Not Available,Not Available,1995-07-14T00:00:00Z,2014-06-04T00:00:00Z,No,No,Calcutta,Yes,Patna,2005-01-07T00:00:00Z,Not Applicable,NA,Not Applicable,NA,Yes,J & K and Ladakh,Sikkim,Uttarakhand,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Commerce,Not Available,Not Available,1978,West Bengal,No,No,No
Bipin Kandpal,Male,1948-08-17T00:00:00Z,Not Available,Not Available,2004-06-29T00:00:00Z,2010-08-16T00:00:00Z,No,No,Uttarakhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,Dehradun,Not Available,Not Available,Agra University,Not Available,1974,Uttar Pradesh,No,No,No
Brahma Singh Verma,Male,1952-05-03T00:00:00Z,Uttarakhand,"Manakpur Adampur, Tahsil Roorkee District, Haridwar",2004-07-15T00:00:00Z,2014-05-02T00:00:00Z,No,No,Uttarakhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"Bhalswa Ganj Inter College and D.A.V. Inter College, Roorkee","D.B.S. College, Dehradun",Science,D.A.V College Dehradun,Not Available,1976,Uttar Pradesh,No,No,No
Cyriac Joseph,Male,1947-01-28T00:00:00Z,Kerala,Kaipuzha in Kottayam District,1994-07-06T00:00:00Z,2012-01-27T00:00:00Z,No,No,Kerala,Yes,Delhi,1994-08-05T00:00:00Z,Not Applicable,NA,Not Applicable,NA,Yes,Uttarakhand,Karnataka,Not Applicable,Yes,2008-07-07T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"St. George’s High School, Kaipuzha","St. Thomas College, Palai; St. Berchmans’ College",Not Available,"Changanacherry and Law College, Trivandrum",Not Available,1968,Kerala,No,No,No
Dharam Veer,Male,1951-09-15T00:00:00Z,Uttarakhand,"Piplia, Tahsil-Bazpur (the then District Nainital), presently District: Udham Singh Nagar",2006-09-23T00:00:00Z,2010-11-16T00:00:00Z,Yes,No,Uttarakhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,"Udai Raj Hindu College, Kashipur","Meerut University, Meerut (U.P.)",Science,Agra University (U.P.),Not Available,1974,Uttar Pradesh,No,No,No
Irshad Hussain,Male,1944-01-02T00:00:00Z,Not Available,Not Available,2002-02-28T00:00:00Z,2006-01-01T00:00:00Z,No,No,Uttarakhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,1968,Not Applicable,Not Applicable,No,No,No
Jagdish Singh Khehar,Male,1952-08-28T00:00:00Z,Not Available,Not Available,1999-02-08T00:00:00Z,2017-08-27T00:00:00Z,No,No,Punjab and Haryana,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,Yes,Uttarakhand,Karnataka,Not Applicable,Yes,2011-09-13T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,Yes,No,Not Available,"Govt. College, Chandigarh",Not Available,"Punjab University, Chandigarh",1977,1979,Punjab and haryana,No,No,Yes
Jeewan Chandra Singh Rawat,Male,1949-05-24T00:00:00Z,Uttarakhand,Nainital,2004-06-29T00:00:00Z,2011-05-23T00:00:00Z,No,No,Uttarakhand,Yes,Jharkhand,2009-10-01T00:00:00Z,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"10th,12th from Higher Scondary School, Mukteshwar, Nainital, and GIC Nainital",DSB Govt. College,Not Available,Lucknow University,Not Available,Not Applicable,Not Applicable,No,No,No
Kalyan Jyoti Sengupta,Male,1953-05-07T00:00:00Z,Not Available,Not Available,1997-07-17T00:00:00Z,2015-05-06T00:00:00Z,No,No,Calcutta,Yes,Uttarakhand,2012-10-31T00:00:00Z,Not Applicable,NA,Not Applicable,NA,Yes,Andhra Pradesh,Telangana,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Commerce,Not Available,Not Available,1981,West Bengal,No,No,No
Kuttiyil Joseph,Male,1958-06-17T00:00:00Z,Not Available,Not Available,2004-10-14T00:00:00Z,2023-06-16T00:00:00Z,No,No,Kerala,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,Yes,Uttarakhand,Not Applicable,Not Applicable,Yes,2018-08-07T00:00:00Z,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,"Kendriya Vidyalaya, Kochi and New Delhi","Loyola College, Chennai",Not Available,"Government Law College, Ernakulam",Not Available,1982,Delhi,No,No,No
Lok Pal Singh,Male,1959-02-15T00:00:00Z,Uttarakhand,"Village Mohanpur-Mohammadpur, Tehsil Roorkee (then District Saharanpur) now District Haridwar",2017-05-19T00:00:00Z,2021-02-14T00:00:00Z,No,No,Uttarakhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Yes,No,"BSM Intermediate College, Roorkee","Meerut University, Meerut",Not Available,"Meerut University, Meerut",Not Available,1988,Uttar Pradesh,No,No,No
M. M. Ghildiyal,Male,1946-01-03T00:00:00Z,Uttarakhand,"Village Khola, near Srinagar, District Pauri Garhwal",2002-11-18T00:00:00Z,2008-01-02T00:00:00Z,No,No,Uttarakhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"High school from Srinagar, district Pauri Garhwal, intermediate from Ranikhet, district Almora",Allahabad University,Arts,University of Allahabad,Not Available,1980,Uttar Pradesh,No,No,No
Mahesh Chand Jain,Male,1944-10-18T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2006-10-17T00:00:00Z,No,No,Allahabad,Yes,Uttarakhand,2000-11-01T00:00:00Z,Allahabad,2001-11-09T00:00:00Z,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Commerce,Not Available,1966,Not Applicable,Not Applicable,No,Yes,No
Manoj Kumar Tiwari,Male,1965-09-19T00:00:00Z,Uttarakhand,Pithoragarh,2017-05-19T00:00:00Z,2027-09-18T00:00:00Z,No,No,Uttarakhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,"Kendriya Vidyalaya, Pithoragarh","Government Post Graduate College, Pithoragarh",Not Available,Delhi University,1990,1990,U.P. Allahabad,No,Yes,No
Narayan Singh Dhanik,Male,1960-05-20T00:00:00Z,Uttarakhand,"Village Pubhauna, District Almora",2018-12-03T00:00:00Z,2022-05-19T00:00:00Z,No,No,Uttarakhand,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Sarvodaya Inter College, Jainti, Almora and Rajkiya Mahavidyalaya, Almora",Not Available,Not Available,Lucknow University,Not Available,Not Applicable,Not Applicable,No,No,No
