Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
Tej Pal Garg,Male,1936-01-14T00:00:00Z,Not Available,Not Available,1994-06-20T00:00:00Z,1998-01-14T00:00:00Z,No,No,Punjab and Haryana,Yes,Allahabad,1994-07-21T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,not available,not available,not available,Not Applicable,Not Applicable,not available,not available,No,Allahabad
Ranendra Narayan Ray,Male,1936-05-02T00:00:00Z,West Bengal,Lalgola Murshidabad,1994-03-28T00:00:00Z,1998-05-01T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1994-04-19T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1964,West Bengal,No,No,No,Allahabad
Narendra Gupta,Male,1936-10-22T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2002-06-05T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,not available,not available,not available,Not Applicable,Not Applicable,not available,not available,No,Allahabad
Pramod Kumar Sarin,Male,1936-11-27T00:00:00Z,Not Available,Not Available,1994-02-01T00:00:00Z,1998-11-27T00:00:00Z,No,No,Allahabad,Yes,Patna,1994-02-21T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,not available,not available,not available,Not Applicable,Not Applicable,not available,not available,No,Allahabad
Joginder Singh Sidhu,Male,1937-01-30T00:00:00Z,Punjab,Not Available,1994-06-20T00:00:00Z,1999-01-30T00:00:00Z,No,No,Punjab and Haryana,Yes,Allahabad,1994-07-21T00:00:00Z,Rajasthan,1996-10-11T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1963,not available,No,No,No,Allahabad
Sohan Lal Saraf,Male,1937-06-04T00:00:00Z,Not Available,Not Available,1994-12-19T00:00:00Z,1999-06-03T00:00:00Z,No,No,Calcutta,Yes,Gauhati,1995-01-09T00:00:00Z,Allahabad,1997-03-03T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,not available,not available,not available,not available,not available,Allahabad
Ashok Kumar Srivastava,Male,1937-07-01T00:00:00Z,Not Available,Not Available,1994-09-29T00:00:00Z,1999-07-01T00:00:00Z,No,No,Allahabad,Yes,Delhi,1994-10-18T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,not available,Lucknow University,1957,Not Applicable,Not Applicable,No,Yes,No,Allahabad
Mohan Lal Singhal,Male,1938-07-10T00:00:00Z,Not Available,Not Available,1997-02-03T00:00:00Z,2000-07-09T00:00:00Z,No,No,Allahabad,Yes,Gauhati,2000-07-10T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,not available,not available,not available,Not Applicable,Not Applicable,No,No,No,Allahabad
Bhagwan Din,Male,1939-12-15T00:00:00Z,Not Available,Not Available,1996-11-19T00:00:00Z,2001-12-15T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,Lucknow University,not available,1965,Uttar Pradesh,No,No,No,Allahabad
Pramod Kumar Jain,Male,1939-12-21T00:00:00Z,Not Available,Not Available,1996-11-19T00:00:00Z,2001-12-20T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1962,Uttar Pradesh,No,No,No,Allahabad
