Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A Chakraborty,Male,1943-07-15T00:00:00Z,NA,NA,1994-03-28T00:00:00Z,2005-07-14T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1994-04-19T00:00:00Z,Calcutta,2000-08-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,Science,NA,NA,1968,West Bengal,No,No,No
Abhijit Gangopadhyay,Male,NA,NA,NA,2018-05-02T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK Banerjee,Male,1953-06-02T00:00:00Z,NA,NA,2000-09-15T00:00:00Z,2015-06-01T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,"Scottish Church College, Kolkata",NA,NA,NA,1976,West Bengal,No,No,No
AK Mathur,Male,1943-07-07T00:00:00Z,West Bengal,Calcutta,1985-09-18T00:00:00Z,2008-07-07T00:00:00Z,No,No,Rajasthan,Yes,Madhya Pradesh,1994-02-18T00:00:00Z,Calcutta,1999-12-22T00:00:00Z,NA,NA,Yes,Madhya Pradesh,Calcutta,NA,Yes,2004-06-07T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,University of Calcutta,Arts (English),University of Calcutta,1970,1967,Rajasthan,No,No,No
Amitabha Chatterjee,Male,1960-05-09T00:00:00Z,NA,NA,2016-10-06T00:00:00Z,2022-05-08T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Katwa College,NA,Katwa College,1979,NA,West Bengal,No,No,No
Amrita Sinha,Female,NA,NA,NA,2018-05-02T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,"NA",NA,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anindita Roy Saraswati,Female,1951-12-03T00:00:00Z,NA,NA,2012-04-09T00:00:00Z,2013-12-02T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1977,West Bengal,No,Yes,No
Aniruddha Bose,Male,1959-11-03T00:00:00Z,NA,NA,2004-01-19T00:00:00Z,2021-11-02T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,"St. Lawrence School, Calcutta",St. Xaviers College,Commerce,Surendranath College,NA,1985,West Bengal,No,No,No
Arijit Banerjee,Male,1967-03-07T00:00:00Z,NA,NA,2013-10-30T00:00:00Z,2029-03-06T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,University of Calcutta,NA,NA,NA,1991,West Bengal,No,No,No
Arindam Mukherjee,Male,NA,NA,NA,2018-03-12T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arindam Sinha,Male,1965-09-22T00:00:00Z,NA,NA,2013-10-30T00:00:00Z,2027-09-21T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,1991,West Bengal,No,No,No
Arun Mishra,Male,1955-09-03T00:00:00Z,Madhya Pradesh,NA,1999-10-25T00:00:00Z,2014-07-06T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,Yes,Rajasthan,Calcutta,NA,Yes,2014-07-07T00:00:00Z,Bar,No,Yes,No,"NA",Yes,No,No,No,No,M.P,NA,Science,NA,NA,1978,Madhya Pradesh,No,No,No
Asha Arora,Female,NA,NA,NA,2016-06-10T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashim Kumar Roy,Male,1955-08-30T00:00:00Z,NA,NA,2006-06-22T00:00:00Z,2017-08-29T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,University of Calcutta,Science,University of Calcutta,1982,1984,West Bengal,No,No,No
Ashis Kumar Chakraborty,Male,1965-12-12T00:00:00Z,West Bengal,NA,2016-10-06T00:00:00Z,2027-12-11T00:00:00Z,Yes,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,1992,1993,West Bengal,No,No,No
Asim Kumar Mondal,Male,1952-11-24T00:00:00Z,NA,NA,2012-04-09T00:00:00Z,2014-11-23T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Service,Yes,No,"NA",Yes,"NA","NA","NA","NA","NA",NA,NA,Commerce,NA,NA,NA,NA,No,Yes,No
Asim Kumar Ray,Male,1952-05-11T00:00:00Z,NA,NA,2010-06-21T00:00:00Z,2014-05-10T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Science,NA,NA,NA,NA,No,No,No
Bibek Chaudhuri,Male,NA,NA,NA,2018-10-12T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biswajit Basu,Male,NA,NA,NA,2018-05-02T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,"NA",NA,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
