Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. C. Rao,Male,1959-07-01T00:00:00Z,NA,NA,2018-10-22T00:00:00Z,2021-06-30T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",No,"NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,"NA",No,No,No
A. G. Uraizee,Male,1960-04-23T00:00:00Z,Gujarat,Ahmedabad,2013-05-04T00:00:00Z,2022-04-22T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,NA,Gujarat University,NA,"M.S. University, Vadodara",1983,1983,Gujarat,No,No,No
A. J. Desai,Male,1962-07-05T00:00:00Z,Gujarat,Vadodara,2011-11-21T00:00:00Z,2024-07-04T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,NA,"St. Xaviers' College, Ahmedabad",Economics,"Sir L.A. Shah Law College, Ahmedabad",1985,1985,Gujarat,No,No,No
A. P. Thaker,Male,1960-12-27T00:00:00Z,Gujarat,Junagadh,2018-10-22T00:00:00Z,2022-12-26T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,"NA",Yes,"NA","NA","NA","NA","NA",NA,Saurashtra University,Commerce,Saurashtra University,1984,NA,"NA",No,No,Yes
A. S. Supehia,Male,1969-08-31T00:00:00Z,NA,NA,2016-04-06T00:00:00Z,2031-08-30T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,Arts,NA,NA,1995,Gujarat,No,No,Yes
Abhilasha Kumari,Female,1956-02-23T00:00:00Z,NA,NA,2005-12-02T00:00:00Z,2018-02-22T00:00:00Z,No,No,Himachal Pradesh,Yes,Gujarat,2006-01-09T00:00:00Z,NA,NA,NA,NA,Yes,Manipur,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"Loreto Convent Tara Hall, Shimla, Himachal Pradesh",Indraprastha College,Arts,Himachal Pradesh University,NA,1984,Himachal Pradesh,No,No,No
Akbar Nanjibhai Divecha,Male,1935-05-20T00:00:00Z,NA,NA,1990-11-22T00:00:00Z,1997-05-20T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1970,Gujarat,No,No,No
Akil Abdul Hamid Kureshi,Male,1960-03-07T00:00:00Z,NA,NA,2004-03-07T00:00:00Z,2022-03-16T00:00:00Z,No,No,Gujarat,Yes,Bombay,2018-11-14T00:00:00Z,NA,NA,NA,NA,Yes,Tripura,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,Mathematics,NA,1983,1983,Gujarat,No,No,No
Akshay Mehta,Male,1945-12-15T00:00:00Z,NA,NA,2001-06-18T00:00:00Z,2007-12-14T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,Yes,Rosary High School,NA,NA,M. S. University at Vadodara,NA,1971,Gujarat,No,No,No
Alpesh Kogje,Male,1969-07-16T00:00:00Z,NA,NA,2016-04-06T00:00:00Z,2031-07-15T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,NA,NA,BSc,NA,1993,1993,Gujarat,No,No,No
