Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Abhay Manohar Sapre,Male,1954-08-28T00:00:00Z,Madhya Pradesh,Jabalpur,1999-10-25T00:00:00Z,2019-08-27T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,2010-02-08T00:00:00Z,Chhattisgarh,2012-04-23T00:00:00Z,Not Applicable,NA,Yes,Manipur,Gauhati,Not Applicable,Yes,2014-08-13T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Model High School,Government Arts College,Arts,University of Jabalpur,Not Available,1978,Madhya Pradesh,Not Available,Not Available,Not Available
Ajay Kumar Tripathi,Male,1961-07-05T00:00:00Z,Uttar Pradesh,Pratapgarh,NA,NA,Not Available,Not Available,Patna,no,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,Yes,Chhattisgarh,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,yes,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Science,Not Available,1983,Not Available,Not Available,Not Available,Yes,Not Available
Anil Kumar Shukla,Male,NA,Not Available,Not Available,NA,NA,No,No,Chhattisgarh,no,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,NA
Arvind Chandel,Male,1963-09-01T00:00:00Z,Chhattisgarh,Bilaspur,2017-06-27T00:00:00Z,2025-08-31T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Pt. Ravi Shankar Shukla University,Arts,Guru Ghasidas University,Not Available,1987,Madhya Pradesh,Not Available,Not Available,Yes
Chandra Bajpai,Male,1955-10-14T00:00:00Z,Madhya Pradesh,Not Available,2014-01-27T00:00:00Z,2017-10-13T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Not Available
Dhirendra Mishra,Male,1949-04-12T00:00:00Z,Not Available,Not Available,2004-12-01T00:00:00Z,2011-04-23T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Dilip Deshmukh,Male,1947-09-06T00:00:00Z,Not Available,Not Available,2005-05-05T00:00:00Z,2009-09-05T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1973,Bombay,Not Available,Not Available,Yes
Fakhruddin,Male,NA,Not Available,Not Available,NA,NA,Not Available,Not Available,Chhattisgarh,no,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Gautam Choudhury,Male,1960-07-04T00:00:00Z,Chhattisgarh,Rajnandgaon,2018-06-18T00:00:00Z,2022-07-03T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,Yes,Not Available,Digvijay College,Commerce,Pt. Ravi Shankar University,Not Available,1984,Madhya Pradesh,Not Available,Not Available,Yes
Ghulam Minhujuddin,Male,1951-07-12T00:00:00Z,Not Available,Not Available,2011-05-10T00:00:00Z,2013-07-11T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
