Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Dhirubhai Naranbhai Patel,Male,1960-03-13T00:00:00Z,Gujarat,Ahmedabad,2019-06-07T00:00:00Z,2022-03-12T00:00:00Z,No,No,Gujarat,Yes,Jharkhand,2009-02-03T00:00:00Z,Delhi,2019-06-07T00:00:00Z,Not Applicable,NA,Yes,Jharkhand,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,Not Available,"M.G..Science College, Ahmedabad",Science,"L.A. Shah Law College, Ahmedabad",1984,1984,Gujarat,No,Yes,Yes
Vipin Sanghi,Male,1961-10-27T00:00:00Z,Maharashtra,Nagpur,2006-05-29T00:00:00Z,2023-10-26T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,Yes,"Delhi Public School, Mathura Road",Delhi University,Science (Mathematics),Delhi University,1986,1986,Delhi,No,No,No
Siddharth Mridul,Male,1962-11-22T00:00:00Z,Delhi,Delhi,2008-03-13T00:00:00Z,2024-11-21T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,Yes,Army Public School,"Hindu College, Delhi University",Arts (History),Delhi University,1986,1986,Delhi,No,No,No
Manmohan,Male,1962-12-17T00:00:00Z,Delhi,Delhi,2008-03-13T00:00:00Z,2024-12-16T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,Yes,"Modern School, Barakhamba Road","Hindu College, Delhi University",Arts (History),Delhi University,1987,1987,Delhi,No,No,No
Rajiv Sahai Endlaw,Male,1959-08-13T00:00:00Z,Delhi,Delhi,2008-04-11T00:00:00Z,2021-08-12T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,"NA",No,No,No,No,Yes,"Delhi Public School, Mathura Road","Hans Raj College, Delhi University",Not Available,Delhi University,Not Available,1982,Delhi,No,No,No
Jagjivan Ram Midha,Male,1959-07-08T00:00:00Z,Not Available,Not Available,2008-04-11T00:00:00Z,2021-07-07T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1982,Not Available,No,No,No
Rajiv Shakdher,Male,1962-10-19T00:00:00Z,Not Available,Not Available,2008-04-11T00:00:00Z,2024-10-18T00:00:00Z,No,No,Delhi,Yes,Madras,2016-11-11T00:00:00Z,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,Yes,"St. Columba's School, Delhi",University of Delhi,Commerce,Delhi University,1987,1987,Not Available,No,Yes,Yes
Suresh Kumar Kait,Male,1962-10-19T00:00:00Z,Haryana,"Village Kakaut, Distt. Kaithal, Haryana, India",2008-09-05T00:00:00Z,2024-10-18T00:00:00Z,No,No,Delhi,Yes,Andhra Pradesh,2016-04-12T00:00:00Z,Delhi,2018-10-12T00:00:00Z,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,Not Available,"University College, Kurukshetra",Not Available,Delhi University,Not Available,1989,Not Available,No,Yes,No
Mukta Gupta,Female,1961-06-28T00:00:00Z,Not Available,Not Available,2009-10-23T00:00:00Z,2023-06-27T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,Montfort School,"Hindu College, Delhi University",Science (Zoology),Delhi University,1983,1984,Delhi,No,No,No
Jayant Nath,Male,1959-11-10T00:00:00Z,Not Available,Not Available,2013-04-17T00:00:00Z,2021-11-09T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,Yes,"Delhi Public School, Mathura Road","St. Stephen's College, Delhi University",Arts (Economics),Delhi University,1982,Not Available,Not Available,No,No,No
Najmi Waziri,Male,1961-07-15T00:00:00Z,Not Available,Not Available,2013-04-17T00:00:00Z,2023-07-14T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"Boys’ High School, Allahabad","St. Stephen's College, Delhi University",Arts (Philosophy),Delhi University,1986,1987,Delhi,Yes,No,Yes
Sanjeev Sachdeva,Male,1964-12-26T00:00:00Z,Delhi,Delhi,2013-04-17T00:00:00Z,2026-12-25T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,Yes,"Delhi Public School, Mathura Road","Sri Ram College of Commerce, Delhi University",Commerce,Delhi University,1988,1988,Delhi,No,No,No
Vibhu Bakhru,Male,1966-11-02T00:00:00Z,Maharashtra,Nagpur,2013-04-17T00:00:00Z,2028-11-01T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,Yes,"Delhi Public School, Mathura Road",Delhi University,Commerce,Not Available,1990,1990,Delhi,No,No,No
V. Kameshwar Rao,Male,1965-08-07T00:00:00Z,Not Available,Not Available,2013-04-17T00:00:00Z,2027-08-06T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,Yes,Not Available,Delhi University,Arts (Geography),Delhi University,1990,1991,Delhi,No,No,No
Anu Malhotra,Female,1960-11-27T00:00:00Z,Gujarat,Ahmedabad,2016-11-08T00:00:00Z,2022-11-26T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,No,"NA",Yes,"NA","NA","NA","NA","NA","Duruelo Convent, Bandra, Bombay and Junior College from Mithibai College of Science, Bombay","Daulat Ram College, University of Delhi",Science,Delhi University,1983,"NA","NA",No,No,No
Yogesh Khanna,Male,1961-12-31T00:00:00Z,Not Available,Not Available,2016-11-08T00:00:00Z,2023-12-30T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Delhi University,Commerce,Delhi University,1986,1986,Not Available,No,No,No
Rekha Palli,Female,1963-03-09T00:00:00Z,Not Available,Not Available,2017-05-15T00:00:00Z,2025-03-08T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,Lady Irwin School,Hindu College,Science,Delhi University,1986,1986,Delhi,No,No,No
Pratibha M. Singh,Female,1968-07-20T00:00:00Z,Not Available,Not Available,2017-05-15T00:00:00Z,2030-07-19T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,Not Available,Not Available,Integrated Law,"University Law College, Bangalore",Not Available,1991,Karnataka,Yes,No,Yes
Navin Chawla,Male,1969-08-07T00:00:00Z,Delhi,Delhi,2017-05-15T00:00:00Z,2031-08-06T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"Delhi Public School, Mathura Road",Delhi University,Commerce,Delhi University,1993,1993,Delhi,No,No,No
C. Hari Shankar,Male,1968-05-04T00:00:00Z,Delhi,Delhi,2017-05-15T00:00:00Z,2030-05-03T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,St. Columba's School,"Kirori Mal College, Delhi University",Science (Chemistry),Delhi University,1993,Not Available,Not Available,No,No,No
Subramonium Prasad,Male,1967-06-22T00:00:00Z,Not Available,Not Available,2018-06-04T00:00:00Z,2029-06-21T00:00:00Z,No,No,Madras,Yes,Delhi,2020-03-13T00:00:00Z,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,Not Available,Delhi University,Commerce,Delhi University,1990,Not Available,Not Available,No,No,No
Jyoti Singh,Female,1996-10-01T00:00:00Z,Not Available,Not Available,2018-10-22T00:00:00Z,2058-09-30T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,Yes,No,No,Not Available,"Kirori Mal College, Delhi University",Botany,Delhi University,Not Available,Not Available,Delhi,No,No,No
Prateek Jalan,Male,1970-04-04T00:00:00Z,West Bengal,Calcutta,2018-10-22T00:00:00Z,2032-04-03T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,Yes,"Modern School, New Delhi","Hindu College, University of Delhi",Not Available,"Trinity College, University of Cambridge",Not Available,1992,Not Available,Yes,No,Yes
Anup Jairam Bhambani,Male,1965-12-05T00:00:00Z,Not Available,Not Available,2018-10-22T00:00:00Z,2027-12-04T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",No,No,No,No,No,"Springdales School, New Delhi",Not Available,Not Available,Delhi University,1992,1992,Delhi,No,Yes,No
Sanjeev Narula,Male,1970-08-24T00:00:00Z,Not Available,Not Available,2018-10-22T00:00:00Z,2032-08-23T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,St. Mary's Presentation Convent School,"Kirorimal College, Univeristy of Delhi",Science (Computer Science),"Faculty of Jammu, Unviersity of Jammu",1994,1995,Delhi,No,No,No
Manoj Kumar Ohri,Male,1969-11-12T00:00:00Z,Delhi,New Delhi,2018-11-20T00:00:00Z,2031-11-11T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,"NA",Yes,No,No,No,No,Not Available,University of Delhi,Science (Physics),Delhi University,1995,1995,Delhi,Yes,Yes,No
Talwant Singh,Male,1961-06-04T00:00:00Z,Punjab,"Village Bahla, Hoshiarpur",2019-05-27T00:00:00Z,2023-06-03T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,"N P Boys Higher Secondary School, Mandir Marg, New Delhi","SGTB Khalsa College, Delhi University",Commerce,Meerut University,1986,1986,Delhi,No,Yes,No
Rajnish Bhatnagar,Male,1962-06-14T00:00:00Z,Not Available,Not Available,2019-05-27T00:00:00Z,2024-06-13T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Delhi University,Science (Computer Science),Delhi University,1987,1987,Delhi,No,No,No
Asha Menon,Female,1960-09-17T00:00:00Z,Kerela,Pattambi,2019-05-27T00:00:00Z,2022-09-16T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,"Kendriya Vidyalaya, Sector IV, R.K. Puram, New Delhi","Lady Shri Ram College, University of Delhi",Economics,University of Delhi,1982,1982,Delhi,No,No,Yes
Jasmeet Singh,Male,1968-02-26T00:00:00Z,Delhi,Delhi,2021-02-24T00:00:00Z,2030-02-25T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"St. Xavier's School, New Delhi","Hindu College, University of Delhi",Commerce,University of Delhi,1992,1992,Delhi,No,No,No
Amit Bansal,Male,1969-02-08T00:00:00Z,Delhi,Delhi,2021-02-24T00:00:00Z,2031-02-07T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,"NA",Yes,No,No,No,No,"Modern School, Vasant Vihar, New Delhi","Shri Ram College of Commerce, University of Delhi",Commerce,University of Delhi,1993,1993,Delhi,Yes,No,Yes
Hima Kohli,Female,1959-09-02T00:00:00Z,Delhi,Delhi,2006-05-29T00:00:00Z,2021-09-01T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,Yes,Telengana,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,"NA",Yes,No,Yes,Yes,No,"St. Thomas School, New Delhi","St. Stephens College, University of Delhi",History,University of Delhi,1984,1984,Delhi,No,Yes,No
