Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. C. Rao,Male,1959-07-01T00:00:00Z,Not Available,Not Available,2018-10-22T00:00:00Z,2021-06-30T00:00:00Z,No,No,Gujarat,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No
A. G. Uraizee,Male,1960-04-23T00:00:00Z,Gujarat,Ahmedabad,2013-05-04T00:00:00Z,2022-04-22T00:00:00Z,No,No,Gujarat,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,Not Available,Gujarat University,Not Available,"M.S. University, Vadodara",1983,1983,Gujarat,No,No,No
A. J. Desai,Male,1962-07-05T00:00:00Z,Gujarat,Vadodara,2011-11-21T00:00:00Z,2024-07-04T00:00:00Z,No,No,Gujarat,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,Not Available,"St. Xaviers' College, Ahmedabad",Economics,"Sir L.A. Shah Law College, Ahmedabad",1985,1985,Gujarat,No,No,No
A. P. Thaker,Male,1960-12-27T00:00:00Z,Gujarat,Junagadh,2018-10-22T00:00:00Z,2022-12-26T00:00:00Z,No,No,Gujarat,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Saurashtra University,Commerce,Saurashtra University,1984,Not Applicable,Not Applicable,No,No,Yes
A. S. Supehia,Male,1969-08-31T00:00:00Z,Not Available,Not Available,2016-04-06T00:00:00Z,2031-08-30T00:00:00Z,No,No,Gujarat,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1995,Gujarat,No,No,Yes
Abhilasha Kumari,Female,1956-02-23T00:00:00Z,Not Available,Not Available,2005-12-02T00:00:00Z,2018-02-22T00:00:00Z,No,No,Himachal Pradesh,Yes,Gujarat,2006-01-09T00:00:00Z,Not Applicable,NA,Not Applicable,NA,Yes,Manipur,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"Loreto Convent Tara Hall, Shimla, Himachal Pradesh",Indraprastha College,Arts,Himachal Pradesh University,Not Available,1984,Himachal Pradesh,No,No,No
Akbar Nanjibhai Divecha,Male,1935-05-20T00:00:00Z,Not Available,Not Available,1990-11-22T00:00:00Z,1997-05-20T00:00:00Z,No,No,Gujarat,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1970,Gujarat,No,No,No
Akil Abdul Hamid Kureshi,Male,1960-03-07T00:00:00Z,Not Available,Not Available,2004-03-07T00:00:00Z,2022-03-16T00:00:00Z,No,No,Gujarat,Yes,Bombay,2018-11-14T00:00:00Z,Not Applicable,NA,Not Applicable,NA,Yes,Tripura,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Mathematics,Not Available,1983,1983,Gujarat,No,No,No
Akshay Mehta,Male,1945-12-15T00:00:00Z,Not Available,Not Available,2001-06-18T00:00:00Z,2007-12-14T00:00:00Z,No,No,Gujarat,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,Yes,Rosary High School,Not Available,Not Available,M. S. University at Vadodara,Not Available,1971,Gujarat,No,No,No
Alpesh Kogje,Male,1969-07-16T00:00:00Z,Not Available,Not Available,2016-04-06T00:00:00Z,2031-07-15T00:00:00Z,No,No,Gujarat,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,BSc,Not Available,1993,1993,Gujarat,No,No,No
