Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. C. Kabbin,Male,1945-12-20T00:00:00Z,Not Available,Not Available,2003-09-08T00:00:00Z,2007-12-21T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1968,Karnataka,No,No,No
A. M. Farooq,Male,1943-08-17T00:00:00Z,Not Available,Not Available,1995-12-18T00:00:00Z,2005-08-18T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,Yes,Not Available,Not Available,Not Available,"Renukacharya Law College, Bangalore",Not Available,1968,Not Available,No,No,No
Amblikal Narayana Gowda Venugopala Gowda,Male,1955-06-16T00:00:00Z,Not Available,Not Available,2007-07-04T00:00:00Z,2017-06-15T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,Not Available,Not Available,Science,Not Available,Not Available,1979,Karnataka,No,No,No
Ajjikuttira Bopanna,Male,1959-05-20T00:00:00Z,Not Available,Not Available,2006-01-06T00:00:00Z,2021-05-19T00:00:00Z,No,No,Karnataka,Yes,Gauhati,2018-10-29T00:00:00Z,Not Applicable,NA,Not Applicable,NA,Yes,Gauhati,Not Applicable,Not Applicable,Yes,2019-05-24T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1984,Karnataka,No,No,No
A. V. Chandrashekara,Male,1954-05-30T00:00:00Z,Not Available,Not Available,2013-10-24T00:00:00Z,2016-07-01T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1984,Karnataka,No,No,No
A. V. Srinivasa Reddy,Male,1942-05-24T00:00:00Z,Karnataka,Agara Village,1999-06-16T00:00:00Z,2004-05-25T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,Yes,Not Available,St. Joseph's College,Arts,"Government Law College, Bangalore",Not Available,1968,Karnataka,No,No,No
Abhay Oka,Male,1960-05-25T00:00:00Z,Not Available,Not Available,2003-04-29T00:00:00Z,2025-05-24T00:00:00Z,No,No,Bombay,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Yes,Karnataka,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,University of Bombay,Science,Not Available,Not Available,1983,Maharashtra,No,No,Yes
Adi Subhash Bashetti,Male,1951-08-10T00:00:00Z,Not Available,Not Available,2006-01-06T00:00:00Z,2013-08-11T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1978,Karnataka,No,No,No
Ajit J. Gunjal,Male,1950-10-15T00:00:00Z,Not Available,Not Available,2003-05-12T00:00:00Z,2012-10-16T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1976,Karnataka,No,No,No
Alok Aradhe,Male,1964-04-13T00:00:00Z,Chhattisgarh,Raipur,2009-12-29T00:00:00Z,2026-04-13T00:00:00Z,No,No,Madhya Pradesh,Yes,J & K and Ladakh,2016-09-16T00:00:00Z,Karnataka,2018-11-17T00:00:00Z,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1988,Madhya Pradesh,No,No,No
Anand Byrareddy,Male,1955-05-01T00:00:00Z,Not Available,Not Available,2005-03-07T00:00:00Z,2017-04-30T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1983,Karnataka,No,No,No
Appasaheb Shantappa Bellunke,Male,1957-08-03T00:00:00Z,Not Available,Not Available,2018-11-03T00:00:00Z,2019-08-02T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Arali Nagaraj Amarappa,Male,1951-11-01T00:00:00Z,Not Available,Not Available,2007-07-04T00:00:00Z,2011-11-02T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1983,Karnataka,No,No,No
Aravind Kumar,Male,1962-07-14T00:00:00Z,Not Available,Not Available,2009-06-26T00:00:00Z,2024-07-13T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1987,Karnataka,No,No,No
Arvind Pachhapure,Male,1953-06-17T00:00:00Z,Not Available,Not Available,2007-07-04T00:00:00Z,2015-06-16T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1975,Karnataka,No,No,No
Ashok Hinchigeri,Male,1955-08-24T00:00:00Z,Not Available,Not Available,2005-03-07T00:00:00Z,2017-08-23T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1988,Karnataka,No,Yes,No
Ashok Bhan,Male,1943-10-02T00:00:00Z,Not Available,Not Available,1990-06-15T00:00:00Z,2008-10-01T00:00:00Z,No,No,Punjab and Haryana,Yes,Karnataka,1997-10-07T00:00:00Z,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,Yes,2001-06-17T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1965,Punjab and Haryana,No,No,No
Ashok Nijagannavar,Male,1959-07-09T00:00:00Z,Not Available,Not Available,2018-11-03T00:00:00Z,2021-11-02T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Ashok Kinagi,Male,1970-01-01T00:00:00Z,Not Available,Not Available,2019-09-23T00:00:00Z,2032-09-22T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1995,Karnataka,No,No,No
B. Padmaraj,Male,1944-10-06T00:00:00Z,Not Available,Not Available,1994-11-30T00:00:00Z,2006-10-07T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1969,Karnataka,No,No,No
B. Veerappa,Male,1961-06-01T00:00:00Z,Not Available,Not Available,2015-01-02T00:00:00Z,2023-06-01T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Bar,No,yes,No,Not Applicable,Yes,No,No,No,No,"Primary Education - 
Government Primary School, 
Nagadenahalli, Srinivasapura 
Secondary Education - 
Government Higher Primary 
School 
High School and Pre-University 
Education - Government High 
School, Composite Junior 
College, Srinivasapura, Kolar","Government College, 
Kolar",Not Available,"Renukacharya Law College, Bengaluru",Not Available,1988,Karnataka,No,No,No
Bangalore Venkataramiah Nagarathna,Female,1962-10-30T00:00:00Z,Not Available,Not Available,2008-02-18T00:00:00Z,2024-10-29T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1987,Karnataka,No,No,No
B. K. Sangalad,Male,1940-09-14T00:00:00Z,Not Available,Not Available,1995-12-18T00:00:00Z,2002-09-13T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1974,Karnataka,No,No,No
B. K. Somashekhar,Male,1936-01-27T00:00:00Z,Not Available,Not Available,1994-02-25T00:00:00Z,1998-01-28T00:00:00Z,No,No,Karnataka,Yes,Andhra Pradesh,1994-03-21T00:00:00Z,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1959,Not Available,No,No,No
Bhotanhosur Mallikarjuna Prasad,Male,1971-01-08T00:00:00Z,Not Available,Not Available,2018-02-14T00:00:00Z,2033-01-07T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Karnataka,No,No,No
B. N. Mallikarjuna,Male,1939-12-13T00:00:00Z,Not Available,Not Available,1995-12-18T00:00:00Z,2001-12-14T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,"R.L.Law College, Belgaum",1960,1962,Not Available,No,No,No
B. S. Indrakala,Female,1952-04-08T00:00:00Z,Not Available,Not Available,2012-02-24T00:00:00Z,2014-04-09T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,Not Available,Not Available,Not Available,Not Available,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1977,Karnataka,No,No,No
B.S. Raikote,Male,1937-10-07T00:00:00Z,Not Available,Not Available,1994-02-25T00:00:00Z,1999-11-08T00:00:00Z,No,No,Karnataka,Yes,Andhra Pradesh,1994-03-21T00:00:00Z,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Osmania University,Not Available,1965,Karnataka,No,No,Yes
B. S. Srinivasa Rao,Male,1939-02-10T00:00:00Z,Not Available,Not Available,1997-01-01T00:00:00Z,2001-02-11T00:00:00Z,No,No,Karnataka,Not Available,Not Available,NA,Not Available,NA,Not Available,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,"Government Law College, Bangalore",Not Available,1958,Karnataka,No,No,No
