Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Abhinand Kumar Shavili,Male,1963-10-08T00:00:00Z,Not Available,Not Available,2017-09-21T00:00:00Z,2025-10-07T00:00:00Z,No,No,Hyderabad,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,"St. Johns Grammar School, Secunderabad; Nrupatunga Junior College (Intermediate course)","Nizam College, Hyderabad",Science,"University College of Law, Osmania University, Hyderabad",Not Avalible,1989,Andhra Pradesh,No,No,No
Adavalli Rajasheker Reddy,Male,1960-05-04T00:00:00Z,Telangana,"Sirsangandla Village, Peddavoora Mandal of Nalgonda District",2013-04-12T00:00:00Z,2022-05-03T00:00:00Z,No,No,Andhra Pradesh,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,Yes,"St. Marys High School, Miryalaguda; St. Alphonsus High School, Nalgonda; New Science College, Hyderabad (Intermediate course)","A.V. College, Hyderabad",Science,Kakatiya University,Not Avalible,1985,Andhra Pradesh,No,No,No
Annireddy Abhishek Reddy,Male,1967-11-07T00:00:00Z,Not Available,Not Available,2019-08-26T00:00:00Z,2029-11-06T00:00:00Z,No,No,Telangana,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,"St.Pauls High School, Hyderabad; Little Flower College (Intermediate course)","Nizam College, Hyderabad",Arts,"University College of Law, Osmania University, Hyderabad",1990,1990,Andhra Pradesh,Yes,No,Yes
Bollampally Vijaysen Reddy,Male,1970-08-22T00:00:00Z,Telangana,Hyderabad,2020-05-02T00:00:00Z,2032-08-21T00:00:00Z,No,No,Telangana,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Arts,"Padala Rama Reddy Law College, Osmania University, Hyderabad",1994,1994,Andhra Pradesh,No,No,No
Bulusu Siva Sankara Rao,Male,1957-04-10T00:00:00Z,Andhra Pradesh,"Sakurru Village, Amalapuram Mandal, East Godavari",2013-10-23T00:00:00Z,2019-04-09T00:00:00Z,No,No,Andhra Pradesh,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,Yes,No,Yes,No,Yes,"Sakurru, Bandarlanka, Amalapuram",Not Available,Commerce,Andhra University,Not Avalible,1984,Andhra Pradesh,No,Yes,Yes
Kodandaram Ram Challa,Male,1959-08-01T00:00:00Z,Andhra Pradesh,"Challavaripalli Village, Tadipatri Taluq, Anantapur",2013-04-12T00:00:00Z,2021-07-31T00:00:00Z,No,No,Andhra Pradesh,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,Yes,"Challavaripalli,Tadipatri","Satyasai College, White Fields, Bangalore",Science,"University Law College (Night College), Andhra University, Visakhapatnam",1983,1988,Andhra Pradesh,No,No,No
Gandikota Sri Devi,Female,1960-10-10T00:00:00Z,Not Available,Not Available,2018-11-22T00:00:00Z,2022-10-09T00:00:00Z,No,No,Allahabad,Yes,Telangana,2019-05-14T00:00:00Z,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Service,Yes,Yes,No,No,No,No,No,No,Yes,Not Available,"M.R.College For Women, Vizianagaram, Andhra Pradesh",Science,"Rourkela Law College, Sambalpur University",1986,Not Avalible,Not Avalible,No,No,No
Hima Kohli,Female,1959-09-02T00:00:00Z,Delhi,Delhi,2006-05-29T00:00:00Z,2021-09-01T00:00:00Z,No,No,Delhi,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,Yes,Telangana,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,"St. Thomas School, New Delhi","St. Stephens College, University of Delhi",History,"Law Faculty, Campus Law Centre, University of Delhi",1984,1984,Delhi,No,Yes,No
Kunuru Lakshman Goud,Male,1966-06-08T00:00:00Z,Not Available,Not Available,2019-08-26T00:00:00Z,2028-06-07T00:00:00Z,No,No,Telangana,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,"Government Schools, Bogaram and Ramannapet","New Science Degree College, Ameerpet, Hyderabad","Science (Mathematics, Physics and Chemistry)","V.R. Law College, Sri Venkateshwara University, Nellore",Not Avalible,1993,Andhra Pradesh,No,Yes,No
Mamidanna Satya Ratna Ramachandra Rao,Male,1966-08-07T00:00:00Z,Telangana,Hyderabad,2012-06-29T00:00:00Z,2028-08-06T00:00:00Z,No,No,Andhra Pradesh,No,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,"St.Pauls High School, Hyderabad; Little Flower College (Intermediate course)","Bhavans New Science College, Osmania University",Science (Mathematics),"University College of Law, Osmania University, Hyderabad",1989,1989,Andhra Pradesh,Yes,No,Yes
