Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A.Ramalingeshwar Rao,Male,1956-05-21T00:00:00Z,Andhra Pradesh,West Godavari District,2013-09-21T00:00:00Z,2018-05-21T00:00:00Z,No,No,Andhra Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,Yes,Yes,No,No,Yes,No,No,Yes,No,Not Available,Andhra University,Commerce,Osmania University,Not Available,1982,Andhra Pradesh,No,Yes,Yes
A.S.Bhate,Male,1937-11-25T00:00:00Z,Maharashtra,Vidarbha,1994-11-05T00:00:00Z,1999-11-25T00:00:00Z,No,No,Bombay,Yes,Andhra Pradesh,1994-11-05T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A.Shankar Narayana,Male,1956-07-01T00:00:00Z,Andhra Pradesh,Dhone in Kurnool District,2013-10-23T00:00:00Z,2018-06-30T00:00:00Z,No,No,Andhra Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,Not Available,Nanakram Bhagwan Das Science College,Science,Osmania University,Not Available,1979,Telangana,No,No,Yes
Abhinand Kumar Shavili,Male,1963-10-08T00:00:00Z,Not Available,Not Available,2017-09-21T00:00:00Z,2025-10-07T00:00:00Z,No,No,Andhra Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,No,"St. Johns Grammar School, Secunderabad and 
Intermediate from Nrupatunga Junior College, Hyderabad","Nizam College (Osmania University, Hyderabad)",Science,Osmania University Campus Law College,Not Available,1989,Andhra Pradesh,No,No,No
Adavalli Rajasheker Reddy,Male,1960-05-04T00:00:00Z,Telangana,Nalgonda District,2013-04-12T00:00:00Z,2022-05-03T00:00:00Z,No,No,Andhra Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,Yes,No,"New Science College, Hyderabad","A.V. College, Hyderabad",Not Available,Kakatiya University,Not Available,1985,Andhra Pradesh,No,No,No
Akula Venkata Sesha Sai,Male,1962-06-03T00:00:00Z,Andhra pradesh,Bhimavaram,2014-09-08T00:00:00Z,2024-07-02T00:00:00Z,No,No,Andhra Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"K.G.R.L. College, Bhimavaram","D.N.R. College, Bhimavaram",Not Available,"Sir C.R. Reddy College, Eluru",Not Available,1987,Andhra Pradesh,No,No,No
Anil Ramesh Dave,Male,1951-11-19T00:00:00Z,Sikkim,Gangtok,2008-01-07T00:00:00Z,2016-11-18T00:00:00Z,No,No,Gujarat,Yes,Andhra Pradesh,2008-01-07T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Andhra Pradesh,Bombay,Not Applicable,Yes,2010-04-30T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Commerce,Not Applicable,Not Available,1976,Gujarat,No,No,Yes
Anis,Female,1955-10-21T00:00:00Z,Andhra Pradesh,"Ongole, Prakasam Dist.",2013-10-23T00:00:00Z,2017-10-20T00:00:00Z,No,No,Andhra Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,"P.R. College, Kakinada",Not Available,Andhra University,Not Applicable,1979,Andhra Pradesh,No,Yes,No
Arup Kumar Goswami,Male,1961-03-11T00:00:00Z,Assam,Jorhat,2011-01-24T00:00:00Z,2023-03-10T00:00:00Z,No,No,Sikkim,Yes,Andhra Pradesh,2021-01-06T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Andhra Pradesh,Chhattisgarh,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Applicable,Cotton College under Gauhati University in 1981,Economics,"Government Law College, Guwahati",1985,1985,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
Ashutosh Mohunta,Male,1953-02-25T00:00:00Z,Rajasthan,Ajmer,2001-07-02T00:00:00Z,2015-02-24T00:00:00Z,No,No,Punjab and Haryana,Yes,Andhra Pradesh,2010-10-28T00:00:00Z,Punjab and Haryana,2014-06-26T00:00:00Z,Not Applicable,Not Applicable,Yes,Punjab and Haryana,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,No,No,No,"Mayo College, Ajmer","Kirori Mal College, New delhi",History,"Law Faculty, Delhi University",1976,1977,Not Available,No,No,No
