Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in SubordiNot Applicablete Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Lingappa Narayana Swamy,Male,1959-07-01T00:00:00Z,Karnataka,"Bhadravathi, Shivamogga",2007-07-04T00:00:00Z,2021-06-30T00:00:00Z,No,No,Karnataka,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Himachal Pradesh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"Pre Univeristy at BBS College, Shivamogga",Not Available,Arts,Mysore University,Not Available,1987,Karnataka,No,No,Yes
Ravi Vijaykumar Malimath,Male,1962-05-25T00:00:00Z,Not Available,Not Available,2008-02-18T00:00:00Z,2024-05-24T00:00:00Z,No,No,Karnataka,Yes,Uttarakhand,2020-03-05T00:00:00Z,Himachal Pradesh,2021-01-07T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,Yes,Not Available,"M.E.S. College, Bangalore",Commerce,Sri Jagadguru Renukacharya College of Law,Not Available,1987,Karnataka,No,No,No
Tarlok Singh Chauhan,Male,1964-01-09T00:00:00Z,Himachal Pradesh,Rohru,2014-03-23T00:00:00Z,2026-01-08T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,Yes,No,"Bishop Cotton School, Shimla","DAV College, Chandigarh",Not Available,"Pnajab University, Chandigarh",Not Available,1989,Himachal Pradesh,No,No,No
Sureshwar Thakur,Male,1963-05-18T00:00:00Z,Himachal Pradesh,Shimla,2014-05-05T00:00:00Z,2025-05-17T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,"St. Edwards School, Shimla","Govt. Degree Colg., Shimla",Arts,Himachal Pradesh University,Not Available,1987,Himachal Pradesh,No,No,No
Vivek Singh Thakur,Male,1966-04-16T00:00:00Z,Himachal Pradesh,Bilaspur,2016-04-12T00:00:00Z,2028-04-15T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,"Govt. Degree Colg., Bilaspur",Science,Himachal Pradesh University,Not Available,1990,Himachal Pradesh,No,No,Yes
Ajay Mohan Goel,Male,1969-01-10T00:00:00Z,Chandigarh,Chandigarh,2016-04-12T00:00:00Z,2031-01-09T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Yes,No,"St. Edwards School, Shimla","Govt. College, Sanjauli",Arts (English),Himachal Pradesh University,1992,1992,Himachal Pradesh,No,No,No
Sandeep Sharma,Male,1968-07-20T00:00:00Z,Himachal Pradesh,Shimla,2016-04-12T00:00:00Z,2030-07-19T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,Yes,No,"DAV School, Sanjouli and Senior Secondary School, Lalpani, Shimla","Govt. Degree College, Shimla",Arts,Himachal Pradesh University,1993,1993,Himachal Pradesh,No,No,No
Chander Bhusan Barowalia,Male,1961-03-15T00:00:00Z,Not Available,Not Available,2016-04-12T00:00:00Z,2023-03-14T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Not Available,"Govt. Degree College, Shimla",Science (Medical),Himachal Pradesh University,Not Available,1984,Himachal Pradesh,No,Yes,No
Anoop Chitkara,Male,1966-04-29T00:00:00Z,Himachal Pradesh,Shimla,2019-05-30T00:00:00Z,2028-04-28T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,"DAV School, Lakkar Bazar","Rajiv Gandhi Govt Degree College, Shimla",Arts,Himachal Pradesh University,Not Available,1990,Himachal Pradesh,No,No,No
Jyotsna Rewal Dua,Female,1969-05-25T00:00:00Z,Himachal Pradesh,Nahan,2019-05-30T00:00:00Z,2031-05-24T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,"Govt. degree college, Nalagarh",Not Available,Himachal Pradesh University,1991,1991,Himachal Pradesh,No,No,No
