Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. K. Goel,Male,1959-06-16T00:00:00Z,Haryana,Hissar,Not Available,Not Available,Not Available,Not Available,J&K and Ladakh,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Punjab University,Arts,Punjab University,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mansoor Ahmad Mir,Male,1955-04-25T00:00:00Z,Jammu & Kashmir,Village Rajpora,Not Available,Not Available,Not Available,Not Available,J&K and Ladakh,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Amar Singh College ,Arts,Not Available,1978,Not Available,Not Available,Not Available,Not Available,Not Available
Ali Magrey,Male,1960-12-08T00:00:00Z,Jammu & Kashmir,Village Wattoo,2013-03-08T00:00:00Z,2022-12-07T00:00:00Z,Not Available,No,J&K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,Not Available,University of Kashmir,Not Available,University of Kashmir,Not Available,1984,Not Available,Not Available,Not Available,No
Alok Aradhe,Male,1964-04-13T00:00:00Z,Chhattisgarh,Raipur,2009-12-29T00:00:00Z,2026-04-12T00:00:00Z,Not Available,No,Madhya Pradesh,Yes,J&K and Ladakh,2016-09-15T00:00:00Z,Karnataka,2018-11-15T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No
Bansi Lal Bhat,Male,1954-04-19T00:00:00Z,Jammu & Kashmir,"Arihal, Pulwama District",2013-03-08T00:00:00Z,2016-04-18T00:00:00Z,Not Available,No,J&K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,"Government High School, Hawal","Amar Singh College, Srinagar",Arts,University of Kashmir,1974,1975,Not Available,Not Available,Not Available,No
Bawa Singh Walia,Male,1961-08-28T00:00:00Z,Punjab,Jalandhar,2014-09-25T00:00:00Z,2023-08-27T00:00:00Z,Not Available,No,Punjab and Haryana,Yes,J&K and Ladakh,2015-02-12T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,St. John's High School,"A.V. College, Chandigarh",Arts,Panjab University,1985,1985,Not Available,Not Available,Not Available,No
Dhiraj Singh Thakur,Male,1964-04-25T00:00:00Z,Not Available,Not Available,2013-03-08T00:00:00Z,2026-04-24T00:00:00Z,Not Available,No,J&K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1989,Delhi,Not Available,Not Available,No
Hasnain Massodi,Male,1954-01-02T00:00:00Z,Jammu & Kashmir,"Khrew, Pulwama",2009-11-13T00:00:00Z,2016-01-01T00:00:00Z,Not Available,No,J&K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,"Harvard Law School, Harvard University",Not Available,Not Available,Not Available,Yes,Not Available,Yes
Hakim Hussain,Male,1949-07-16T00:00:00Z,Jammu & Kashmir,Not Available,Not Available,Not Available,Not Available,No,J&K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Jammu and Kashmir University,Not Available,Aligarh Muslim University,1971,1971,Jammu and Kashmir,Not Available,Not Available,No
Jai Pal Singh,Male,1951-04-06T00:00:00Z,Jammu & Kashmir,Kehli Mandi,2005-10-04T00:00:00Z,Not Available,Not Available,No,J&K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,1971,1971,Jammu and Kashmir,Not Available,Not Available,No
