Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Adarsh Kumar Goel,Male,1953-07-07T00:00:00Z,Haryana,Hissar,2001-07-02T00:00:00Z,2018-07-06T00:00:00Z,No,No,Punjab and Haryana,Yes,Gauhati,2011-09-12T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Gauhati,Orissa,Not Applicable,Yes,2014-07-07T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Not Available,"Punjab University, Chandigarh",Arts,"Punjab University, Chandigarh",Not Available,1974,Punjab and Haryana,No,No,No
Ajay Kumar Mittal,Male,1958-09-30T00:00:00Z,Chandigarh,Chandigarh,2004-01-09T00:00:00Z,2019-05-28T00:00:00Z,No,No,Punjab and Haryana,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Meghalaya,Madhya Pradesh,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,"Sri Ram College of Commerce, Delhi University",Commerce,"Faculty of Law, Delhi University",1980,1980,Punjab and Haryana,No,No,No
Amar Bir Singh Gill,Male,Not Available,Not Available,Not Available,1994-06-20T00:00:00Z,2003-05-19T00:00:00Z,No,No,Punjab and Haryana,Yes,Allahabad,1994-07-21T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Amar Dutt,Male,Not Available,Not Available,Not Available,1999-02-08T00:00:00Z,2006-08-22T00:00:00Z,No,No,Punjab and Haryana,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Arjan Kumar Sikri,Male,1954-03-07T00:00:00Z,Not Available,Not Available,1999-07-07T00:00:00Z,2019-03-06T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Punjab and Haryana,Not Applicable,Not Applicable,Yes,2013-04-12T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,No,Yes,No,No,Not Available,"Shriram College of Commerce, Delhi University",Commerce,"Law Faculty, Delhi University",1977,1977,Delhi,No,No,Yes
A.S. Garg,Male,Not Available,Not Available,Not Available,1999-02-08T00:00:00Z,2001-12-17T00:00:00Z,No,No,Punjab and Haryana,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Ashutosh Mohunta,Male,1953-02-25T00:00:00Z,Haryana,Sirsa,2001-07-02T00:00:00Z,2015-02-24T00:00:00Z,No,No,Punjab and Haryana,Yes,Andhra Pradesh,2010-10-28T00:00:00Z,Punjab and Haryana,2014-06-26T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,Yes,"Mayo College at Ajmer, Rajasthan",Not Available,Not Available,Delhi University,Not Available,1977,Punjab and Haryana,No,No,No
B. Rai,Male,Not Available,Not Available,Not Available,1996-01-29T00:00:00Z,1999-01-31T00:00:00Z,No,No,Punjab and Haryana,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Bakshish Kaur,Female,Not Available,Not Available,Not Available,1999-05-14T00:00:00Z,2002-07-06T00:00:00Z,No,No,Punjab and Haryana,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Patiala,Home Science and Psychology,Panjab University,1962,Not Applicable,Not Applicable,No,No,No
Baldev Singh,Male,Not Available,Not Available,Not Available,2004-11-05T00:00:00Z,2007-02-12T00:00:00Z,No,No,Punjab and Haryana,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Applicable,Not Applicable,No,NA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
