Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Abdul Mateen,Male,1951-12-14T00:00:00Z,Uttar Pradesh,Not Available,2002-12-21T00:00:00Z,2013-12-13T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Lucknow Unversity,Arts,LUCKNOW UNIVERSITY,1976,1976,Uttar Pradesh,No,No,No
Abdul Moin,Male,1968-11-01T00:00:00Z,Not Available,Not Available,2017-09-22T00:00:00Z,2030-10-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Lucknow University,1992,1993,Uttar Pradesh,No,No,No
Abdur Rahim Choudhary,Male,Not Available,Not Available,Not Available,1994-03-28T00:00:00Z,1997-10-31T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1994-03-28T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Abhai Kumar,Male,1956-10-07T00:00:00Z,Uttar Pradesh,Not Available,2016-04-07T00:00:00Z,2018-10-06T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Gorakhpur University,1977,Not Applicable,Not Applicable,No,No,No
Abhay Thipsay,Male,1955-03-10T00:00:00Z,Maharashtra,Not Available,2011-03-17T00:00:00Z,2017-03-09T00:00:00Z,No,No,Bombay,Yes,Allahabad,2016-05-02T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1979,Not Available,No,No,No
Abhinava Upadhya,Male,1958-11-03T00:00:00Z,Uttar Pradesh,Not Available,2008-05-05T00:00:00Z,2020-11-02T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Allahabad University,1985,1985,Uttar Pradesh,No,No,No
Aditya Mittal,Male,1954-12-05T00:00:00Z,Uttar Pradesh,Not Available,2012-04-17T00:00:00Z,2016-12-04T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Aligarh Muslim University,Commerce,Aligarh Muslim University,Not Available,Not Applicable,Not Applicable,Yes,No,Yes
Ajai Kumar Singh,Male,1948-12-15T00:00:00Z,Uttar Pradesh,Not Available,2006-11-20T00:00:00Z,2008-11-20T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Science,Not Available,1972,Not Applicable,Not Applicable,No,No,No
Ajai Kumar Srivastava,Male,1963-06-01T00:00:00Z,Not Available,Not Available,2021-03-25T00:00:00Z,2025-05-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Science,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No
Ajai Lamba,Male,1958-09-21T00:00:00Z,Uttar Pradesh,Not Available,2006-03-22T00:00:00Z,2020-09-20T00:00:00Z,No,No,Punjab and Haryana,Yes,Allahabad,2011-12-09T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Gauhati,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,"Government College, Chandigarh",English Hons.,Punjab University,Not Available,1981,Not Available,No,No,No
Ajai Tyagi,Male,1961-01-01T00:00:00Z,Uttar Pradesh,Not Available,2021-03-25T00:00:00Z,2022-12-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No
Ajay Bhanot,Male,1969-08-04T00:00:00Z,Not Available,Not Available,2017-09-22T00:00:00Z,2031-08-03T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Lucknow university,1994,1995,Uttar Pradesh,No,No,No
