Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. S. KILOR,Male,1966-09-03T00:00:00Z,Not Available,Not Available,2019-08-23T00:00:00Z,2028-09-02T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,Yes,Yes,Hadas High School,"DNC college, Nagpur",Commerce,Dr. Babasaheb Ambedkar Law College (Nagpur University),Not Available,1992,Not Available,No,No,No
A.K. MENON,Male,1960-07-12T00:00:00Z,Maharashtra,Not Available,2014-03-03T00:00:00Z,2022-07-11T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,Yes,Not Available,Mumbai University,Arts (Philosophy),Mumbai University,Not Available,1984,Maharashtra & Goa,No,No,No
A.S. CHANDURKAR,Male,1965-04-07T00:00:00Z,Not Available,Not Available,2013-06-21T00:00:00Z,2027-04-06T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,Yes,"St. Vincents' High School, Pune","Ness Wadia College, Pune",Commerce,"I. L. S. Law College, Pune",Not Available,1988,Not Available,No,No,No
A.S. GADKARI,Male,1965-08-14T00:00:00Z,Maharashtra,Not Available,2014-01-06T00:00:00Z,2027-08-13T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,Not Available,Not Available,Science,University of Mumbai,Not Available,1992,Maharashtra & Goa,No,No,No
A.V.POTDAR,Male,1950-09-02T00:00:00Z,Maharashtra,Not Available,2009-02-10T00:00:00Z,2012-09-01T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Pune,Not Available,Not Available,"Shivaji University, Kolhapur",Not Available,1982,Maharashtra,No,No,No
ABHAY AHUJA,Male,1969-08-24T00:00:00Z,Not Available,Not Available,2020-03-04T00:00:00Z,2031-08-23T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,"Jai Hind College, Mumbai",Science,"Government Law College, Mumbai",Not Available,1992,Maharastra & Goa,Yes,No,Yes
Ajay Manikrao Khanwilkar,Male,1957-07-30T00:00:00Z,Maharashtra,Not Available,2000-03-29T00:00:00Z,2022-07-29T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Himachal Pradesh,Madhya Pradesh,Not Applicable,Yes,2016-05-13T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Mulund College of Commerce,Commerce,KC Law College,Not Available,1982,Maharashtra & Goa,No,No,No
Aloysius Stanislaus Aguiar,Male,1943-10-08T00:00:00Z,Not Available,Not Available,2001-03-28T00:00:00Z,2005-10-08T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1969,Maharashtra & Goa,No,No,No
Amerjeet Singh Bagga,Male,1945-04-08T00:00:00Z,Not Available,Not Available,1999-09-27T00:00:00Z,2008-04-08T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Commerce,Not Available,Not Available,Not Available,Maharashtra & Goa,No,No,No
AMIT B. BORKAR,Male,1972-01-02T00:00:00Z,Not Available,Not Available,2020-01-14T00:00:00Z,2034-01-01T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1994,Not Available,No,No,No
