Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. K. Basheer,Male,Not Available,Kerala,Ulyil (District: Kannur),2002-09-09T00:00:00Z,2011-06-30T00:00:00Z,No,No,Kerala,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,Yes,Not Available,"Brennen College, Thalassery

",Science,"Sarada Vilas Law College, Mysore.",1974,1974,Kerala,No,No,No
Abdul Shaffique,Male,1959-02-13T00:00:00Z,Kerala,Not Available,2011-11-08T00:00:00Z,2021-02-12T00:00:00Z,No,No,Kerala,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Science,"Government Law College, Ernakulam",1982,1983,Kerala,No,No,No
Aettupanku Babu,Male,1957-10-26T00:00:00Z,Kerala,Kanjirappally,2016-10-05T00:00:00Z,2019-10-25T00:00:00Z,No,No,Kerala,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,St.Thomas High School,"S.B.College, Changanassery",Not Available,"Udupi Law college, Udupi",1981,1981,Kerala,No,No,No
Ala Kunnil Jayasankaran Nambiar,Male,1966-01-27T00:00:00Z,kerala,Not Available,2014-01-23T00:00:00Z,2028-01-26T00:00:00Z,No,No,Kerala,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,"Lawrence School, Lovedale, Tamil Nadu,","Sacred Heart College, Thevara.",Science,"Government Law College, Ernakulam",1988,1990,Kerala,Yes,No,Yes
Alexander Thomas,Male,1961-09-04T00:00:00Z,kerala,Not Available,2014-01-23T00:00:00Z,2023-09-03T00:00:00Z,No,No,Kerala,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,"University College, Trivandrum, Cochin University",Physics,"Delhi Law Faculty, University of Delhi",1988,1988,Kerala,Yes,No,No
Ambazhavelil Velayudhan Pillai Ramakrishna Pillai,Male,1953-11-25T00:00:00Z,kerala,Not Available,2012-01-18T00:00:00Z,2015-11-24T00:00:00Z,No,No,Kerala,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,Not Available,Not Available,Science,"Government Law College, Thiruvananthapuram",1977,1977,Kerala,No,No,Yes
Amit Rawal,Male,1963-09-21T00:00:00Z,kerala,Chandigarh,2014-09-25T00:00:00Z,2025-09-20T00:00:00Z,No,No,Punjab and Haryana,Yes,Kerala,2019-11-12T00:00:00Z,Not Available,Not Applicable,Not Available,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,"the Government Senior Model School, Sector 16","DAV College, Chandigarh",Not Available,Law Department of Panjab University,1986,1986,Punjab and Haryana,No,No,No
Anant Badar,Male,1961-08-10T00:00:00Z,kerala,Nagpur,2016-03-02T00:00:00Z,Not Available,Not Available,Not Available,Bombay,Yes,Kerala,2020-06-23T00:00:00Z,Not Available,Not Applicable,Not Available,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Not Available,G.S. College of Commerce and Economics,Commerce,"University College of Law, Nagpur",1985,1985,Maharashtra and Goa,No,No,No
Anil Kumar,Male,1959-12-03T00:00:00Z,kerala,Not Available,2018-11-05T00:00:00Z,2021-12-02T00:00:00Z,No,No,Kerala,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,"N.S.S. College, Nilamel",Not Available,"Govt. Law College, Thiruvananthapuram",1983,1983,Kerala,No,No,No
Anil Narendran,Male,1967-05-05T00:00:00Z,kerala,Not Available,2014-01-23T00:00:00Z,2029-05-04T00:00:00Z,No,No,Kerala,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,"Sacred Heart College, Thevara.",Science,"Law Academy Law College, Thiruvananthapuram.",1993,1993,Kerala,No,No,No
