Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Lanusungkum Jamir,Male,1964-03-01T00:00:00Z,Nagaland,Impuh,2013-05-22T00:00:00Z,2026-02-28T00:00:00Z,No,No,Gauhati,Yes,Manipur,2018-10-06T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,History,North Eastern Hill University,1988,1989,"Assam,Nagaland,Manipur,Meghalaya and Tripura",No,No,No
Abhay Manohar Sapre,Male,1954-08-28T00:00:00Z,Madhya Pradesh,Seoni,1999-10-25T00:00:00Z,2019-08-27T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,2010-02-11T00:00:00Z,Chattisgarh,2012-04-23T00:00:00Z,Not Applicable,Not Applicable,Yes,Manipur,Gauhati,Not Applicable,Yes,2014-08-13T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"Model High School , Jabalpur",Government Arts College,Not Available,Rani Durgavati Vishwavidyalaya,1978,1978,Madhya Pradesh,No,No,No
Laxmi Mohapatra,Male,1954-06-10T00:00:00Z,Odisha,Cuttuck,1999-09-16T00:00:00Z,2016-06-09T00:00:00Z,No,No,Orissa,Yes,Allahabad,2012-10-17T00:00:00Z,Manipur,2013-10-20T00:00:00Z,Not Applicable,Not Applicable,Yes,Manipur,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,Yes,No,Not Available,Not Available,Not Available,M S Law College,1977,1978,Odisha,No,No,No
Nongmeikapam Singh,Male,1963-03-01T00:00:00Z,Manipur,Imphal,2011-10-17T00:00:00Z,2025-02-28T00:00:00Z,No,No,Gauhati,Yes,Manipur,2013-03-23T00:00:00Z,Gauhati,2018-10-11T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,Ramakrishna Mission Vidyapith,Kirori Mal College,Political Science,Delhi University,1986,1986,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim.",Yes,No,No
Rakesh Ranjan Prasad,Male,1955-07-01T00:00:00Z,Bihar,Not Available,2006-02-09T00:00:00Z,2017-06-30T00:00:00Z,No,No,Jharkhand,Yes,Manipur,2016-02-01T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Manipur,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Science,Patna Law College,1980,1980,Bihar,No,No,No
Ramalingam Sudhakar,Male,1959-02-14T00:00:00Z,Tamil Nadu,Panapakkam Village,2005-12-10T00:00:00Z,2021-02-13T00:00:00Z,No,No,Madras,Yes,J&K and Ladakh,2016-04-18T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Manipur,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,Yes,Don Bosco Matriculation School,Loyola College,Life sciences,Madras Law College,1983,1983,Tamil Nadu and Puducherry,No,No,No
Ahanthem Singh,Male,1966-02-01T00:00:00Z,Manipur,Imphal,2020-03-18T00:00:00Z,2028-01-31T00:00:00Z,No,No,Manipur,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,1994,1994,"Assam,Nagaland,Manipur,Meghalaya and Tripura",No,No,No
M. V. Muralidaran,Male,1962-04-16T00:00:00Z,Tamil Nadu,Maniampattu Village,2016-04-07T00:00:00Z,2024-04-15T00:00:00Z,No,No,Madras,Yes,Manipur,2019-03-17T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Political Science,Not Available,1988,1990,Tamil Nadu and Puducherry,No,Yes,No
Songkhupchung Serto,Male,1961-03-01T00:00:00Z,Manipur,Sagang Village,2016-03-14T00:00:00Z,2023-02-28T00:00:00Z,No,No,Manipur,Yes,Gauhati,2016-09-29T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,St. Anthony’s College,Not Available,"Law Faculty, Delhi University",1986,1986,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim.",No,No,No
Kh. Nobin Singh,Male,1960-01-01T00:00:00Z,Manipur,Awang Sekmai,2014-11-26T00:00:00Z,2021-12-31T00:00:00Z,No,No,Manipur,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,D.M.College,Not Available,Delhi University,1984,1984,"Assam,Nagaland,Manipur,Meghalaya and Tripura",No,No,No
