Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
A. Suryanarayan Naidu,Male,1948-07-05T00:00:00Z,Odisha,"Armstrong Road, Puri",2000-09-29T00:00:00Z,2010-07-04T00:00:00Z,No,No,Orissa,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"Puri Zilla School, Odisha",Not Available,Science,"Madhusudan Law College, Cuttack, Utkal University",1973,1973,Odisha,No,No,No
Adarsh Kumar Goel,Male,1953-07-07T00:00:00Z,Haryana,Hissar,2001-07-02T00:00:00Z,2018-07-06T00:00:00Z,No,No,Punjab and Haryana,Yes,Gauhati,2011-09-12T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Gauhati,Orissa,Not Applicable,Yes,2014-07-07T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Punjab University,Arts (Honours),Punjab University,Not Available,1974,Punjab and Haryana,No,No,No
Amitava Roy,Male,1953-03-01T00:00:00Z,West Bengal,Kolkata,2002-02-04T00:00:00Z,2018-02-28T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Rajasthan,Orissa,Not Applicable,Yes,2015-02-27T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Dibrugarh,Dibrugarh University,Physics,Dibrugarh University,1976,1976,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,Yes,No
Anup Deb,Male,1943-01-02T00:00:00Z,Not Available,Not Available,1994-12-16T00:00:00Z,2002-03-12T00:00:00Z,Yes,No,Sikkim,Yes,Gauhati,1995-02-09T00:00:00Z,Orissa,1996-04-02T00:00:00Z,Sikkim,1997-12-27T00:00:00Z,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1972,West Bengal,No,No,No
Arun Kumar Parichha,Male,1946-10-02T00:00:00Z,Odisha,"Patnagarh, Bolangir",2004-07-05T00:00:00Z,2008-10-01T00:00:00Z,No,No,Orissa,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Patnagarh High School,"G.M. College, Sambalpur",Science,"Madhusudan Law College, Cuttack, Utkal University",1968,1968,Odisha,No,No,No
Aruna Suresh,Female,1950-02-19T00:00:00Z,Not Available,Not Available,2006-07-04T00:00:00Z,2012-02-19T00:00:00Z,No,No,Delhi,Yes,Orissa,2010-10-28T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Queens Mary School,"Indraprastha College for Women, Delhi University",Arts,"Campus Law Centre, Delhi University",1972,Not Applicable,Not Applicable,No,No,No
Ashoke Kumar Samantaray,Male,1946-02-20T00:00:00Z,Odisha,"Nasipur village, Kendrapara",2004-09-29T00:00:00Z,2008-02-19T00:00:00Z,No,No,Orissa,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Arts,"Madhusudan Law College, Cuttack, Utkal University",1968,1968,Odisha,No,No,No
Asok Kumar Ganguly,Male,1947-02-03T00:00:00Z,West Bengal,Not Available,1994-01-10T00:00:00Z,2012-02-02T00:00:00Z,No,No,Calcutta,Yes,Patna,1994-04-04T00:00:00Z,Calcutta,2000-08-01T00:00:00Z,Not Applicable,Not Applicable,Yes,Orissa,Madras,Not Applicable,Yes,2008-12-17T00:00:00Z,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Kidderpore Academy,University of Calcutta,English,University of Calcutta,1970,1971,West Bengal,No,Yes,No
Bira Kishore Mishra,Male,1951-06-02T00:00:00Z,Odisha,Angul,2011-01-25T00:00:00Z,2013-06-01T00:00:00Z,No,No,Orissa,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,Yes,"Jogendra Dev High School, Boudh","Gopabandhu Science College, Athgarh; Kendrapara College",Science; Political Science,"Madhusudan Law College, Cuttack, Utkal University",1974,1974,Odisha,No,No,No
Bimal Prasad Das,Male,1950-11-15T00:00:00Z,Odisha,"Ramgarh, Cuttack",1999-06-17T00:00:00Z,2012-11-14T00:00:00Z,No,No,Orissa,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,Yes,No,"Christ Collegiate School, Cuttack","Ravenshaw College, Cuttack",Science,"Madhusudan Law College, Cuttack, Utkal University",1974,1974,Odisha,No,Yes,No
