Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Abhijit Sinha,Male,1947-08-21T00:00:00Z,Not Available,Not Available,2008-11-03T00:00:00Z,2009-08-21T00:00:00Z,No,No,Patna,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Arts,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No
Aditya Kumar Trivedi,Male,1958-08-11T00:00:00Z,Bihar,Muzaffarpur,2011-06-20T00:00:00Z,2020-08-10T00:00:00Z,No,No,Patna,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Bihar University,Science,Bihar University,Not Available,1981,Bihar,No,No,No
Ahsanuddin Amanullah,Male,1963-05-11T00:00:00Z,Bihar,Patna,2011-06-20T00:00:00Z,2025-05-10T00:00:00Z,No,No,Patna,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Yes,No,Not Available,Patna University,Science (Chemistry),Patna University,Not Available,1991,Bihar,No,No,No
Ajay Kumar Tripathi,Male,Not Available,Not Available,Not Available,2006-10-09T00:00:00Z,2019-11-11T00:00:00Z,No,Yes,Patna,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Chhattisgarh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Sri Ram College of Commerce (SRCC),Economics,"Campus Law Centre, Delhi University",Not Available,1981,Bihar,No,No,No
Akhilesh Chandra,Male,1953-03-15T00:00:00Z,Not Available,Not Available,2010-03-15T00:00:00Z,2015-03-15T00:00:00Z,No,No,Patna,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1977,Bihar,No,No,No
Amaresh Kumar Lal,Male,1953-08-28T00:00:00Z,Not Available,Not Available,2011-06-20T00:00:00Z,2015-06-19T00:00:00Z,No,No,Patna,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1977,Bihar,No,Yes,No
Amreshwar Pratap Sahi,Male,1959-01-01T00:00:00Z,Not Available,Not Available,2004-09-24T00:00:00Z,2020-12-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Patna,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1985,Uttar Pradesh,Not Available,Not Available,Not Available
Anil Kumar Sharma,Male,Not Available,Not Available,Not Available,1998-12-29T00:00:00Z,2004-01-08T00:00:00Z,No,No,Patna,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No
Anil Kumar Sinha,Male,1965-06-19T00:00:00Z,Not Available,Not Available,2019-04-17T00:00:00Z,2027-06-18T00:00:00Z,No,No,Patna,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1991,Bihar,No,Not Available,Not Available
Anil Kumar Sinha,Male,Not Available,Not Available,Not Available,1998-12-29T00:00:00Z,2004-01-08T00:00:00Z,No,No,Patna,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
