Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Abhay Manohar Sapre,Male,1954-08-28T00:00:00Z,Madhya Pradesh,Jabalpur,1999-10-25T00:00:00Z,2019-08-27T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,2010-02-11T00:00:00Z,Chhattisgarh,2012-04-23T00:00:00Z,Not Applicable,Not Applicable,Yes,Manipur,Gauhati,Not Applicable,Yes,2014-08-13T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"Model High School, Jabalpur","Government Arts College, Jabalpur",Arts,"University Teaching Department (VTD) Jabalpur, University of Jabalpur",Not Available,1978,Madhya Pradesh,No,No,No
Arun Kumar Mishra,Male,1955-09-03T00:00:00Z,Not Available,Not Available,1999-10-25T00:00:00Z,2020-09-02T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,2010-09-12T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Rajasthan,Calcutta,Not Applicable,Yes,2014-07-07T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1978,Madhya Pradesh,No,Yes,No
Arvind Mohanlal Kapadia,Male,1949-03-04T00:00:00Z,Not Available,Not Available,1997-12-11T00:00:00Z,2011-03-03T00:00:00Z,No,No,Gujarat,Yes,Rajasthan,2008-09-04T00:00:00Z,Gujarat,2010-05-16T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Arts  (Economics),Not Available,1971,1972,Gujarat,No,No,No
Ashok Kumar Parihar,Male,1947-08-25T00:00:00Z,Not Available,Not Available,1996-04-06T00:00:00Z,2009-08-24T00:00:00Z,No,No,Rajasthan,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1974,Not Available,No,Yes,No
Balbir Singh Chauhan,Male,1949-07-02T00:00:00Z,Not Available,Not Available,1995-04-05T00:00:00Z,2011-07-01T00:00:00Z,No,No,Allahabad,Yes,Rajasthan,1997-07-17T00:00:00Z,Allahabad,2003-03-13T00:00:00Z,Not Applicable,Not Applicable,Yes,Orissa,Not Applicable,Not Applicable,Yes,2009-05-11T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Science,Baras Hindu University,1974,1974,Not Available,Yes,No,No
Bhagwati Prasad,Male,1949-05-13T00:00:00Z,Rajasthan,Hanumangarh,1996-04-06T00:00:00Z,2011-05-12T00:00:00Z,No,No,Rajasthan,Yes,Gujarat,2008-02-07T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Jharkhand,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,"Government College, Hissar",Science,"Doongar College, Bikaner",1972,1972,Rajasthan,No,No,No
Bhanwaru Khan Parian,Male,1947-07-01T00:00:00Z,Not Available,Not Available,2007-03-12T00:00:00Z,2009-06-30T00:00:00Z,No,No,Rajasthan,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,Not Available,Not Available,No,No,No
Dalip Singh,Male,1950-11-18T00:00:00Z,Not Available,Not Available,2004-09-02T00:00:00Z,2012-11-17T00:00:00Z,No,No,Rajasthan,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1974,Rajasthan,No,No,No
Deo Narayan Thanvi,Male,1948-06-03T00:00:00Z,Not Available,Not Available,2007-03-12T00:00:00Z,2010-06-02T00:00:00Z,No,No,Rajasthan,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1971,Rajasthan,No,No,No
Dinesh Maheshwari,Male,1958-05-15T00:00:00Z,Rajasthan,Udaipur,2004-09-02T00:00:00Z,2023-05-14T00:00:00Z,No,No,Rajasthan,Yes,Allahabad,2014-07-18T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Meghalaya,Karnataka,Not Applicable,Yes,2019-01-18T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,Not Available,"Maharaja's College, University of Rajasthan, Jaipur",Science  (Physics),Jodhpur University,1980,1981,Rajasthan,No,No,No
