Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Aftab H. Saikia,Male,1949-04-07T00:00:00Z,Assam,"Dampur, Kamrup",2000-11-15T00:00:00Z,2011-04-06T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Sikkim,J & K and Ladakh,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Cotton College,Science,Gauhati University,1974,1974,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,Yes
Ananda Prakash Subba,Male,1948-03-01T00:00:00Z,Sikkim,Hee Pechrek Busty,2004-10-04T00:00:00Z,2010-02-28T00:00:00Z,No,No,Sikkim,Yes,Gauhati,2007-04-04T00:00:00Z,Sikkim,2007-11-10T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Kohima Science College,Science,Shillong Law college,1972,1973,"Assam, Nagaland, Meghalaya, Manipur and Tripura",No,No,No
Anup Deb,Male,1943-01-02T00:00:00Z,Not Available,Not Available,1994-12-16T00:00:00Z,2002-03-12T00:00:00Z,Yes,No,Sikkim,Yes,Gauhati,1995-02-09T00:00:00Z,Orissa,1996-04-02T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1972,West Bengal,No,No,No
Arup Kumar Goswami,Male,1961-03-11T00:00:00Z,Assam,Jorhat,2011-01-24T00:00:00Z,2023-03-10T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Sikkim,Andhra Pradesh,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,"Cotton College, Gauhati University",Not Available,"Government Law College, Guwahati",1985,1985,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
Barin Ghosh,Male,1952-06-05T00:00:00Z,Not Available,Not Available,1995-07-14T00:00:00Z,2014-06-04T00:00:00Z,No,No,Calcutta,Yes,Patna,2005-01-07T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J & K and Ladakh,Sikkim,Uttarakhand,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Commerce,Not Available,Not Available,1978,West Bengal,No,No,No
Bhaskar Raj Pradhan,Male,1963-12-15T00:00:00Z,Sikkim,Not Available,2017-05-23T00:00:00Z,2028-10-18T00:00:00Z,No,No,Sikkim,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,Yes,"Tashi Namgal Academy, St. Pauls school",Elphinstone college,Arts,Government Law College,1991,1991,Maharastra,No,No,No
Jitendra Maheshwari,Male,1961-06-29T00:00:00Z,Madhya Pradesh,"Morena, Joura",2005-11-25T00:00:00Z,2023-06-28T00:00:00Z,No,No,Madhya Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Andhra Pradesh,Sikkim,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1985,Madhya Pradesh,No,No,Yes
Malaya Sengupta,Male,1936-11-10T00:00:00Z,Not Available,Not Available,1995-09-27T00:00:00Z,1998-11-09T00:00:00Z,No,No,Calcutta,Yes,Sikkim,1995-10-16T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,I.C. Institution,K.N. College,Not Available,"University College of Law, Calcutta",Not Available,1961,West Bengal,No,No,No
Meenakshi Madan Rai,Female,1964-07-12T00:00:00Z,Sikkim,Gangtok,2015-04-15T00:00:00Z,2026-07-11T00:00:00Z,No,No,Sikkim,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Dowhill school,Lady Shriram college,Arts,"Campus Law Centre, Delhi University",1989,1990,Delhi,No,No,No
Narendra Jain,Male,1952-10-08T00:00:00Z,Rajasthan,"Newai, District Tonk",2004-09-02T00:00:00Z,2014-10-07T00:00:00Z,No,No,Rajasthan,Yes,Sikkim,2013-09-30T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Sikkim,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,Not Available,Not Available,Commerce,University of Delhi,1977,1978,Rajasthan,No,No,No
