Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer â€“ 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court â€“ 1","If yes, which High Court â€“ 2","If yes, which High Court â€“ 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
Sudhansu Kumar Das,Male,1898-09-03T00:00:00Z,NA,NA,NA,1963-09-03T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,1956-04-30T00:00:00Z,Service,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Collegiate School,Presidency college,NA,NA,NA,NA,NA,Yes,NA,NA,Patna
Padam Nath Nag,Male,1933-03-05T00:00:00Z,Himachal Pradesh,Shimla,1988-10-12T00:00:00Z,1995-03-05T00:00:00Z,No,No,Delhi,Yes,Allahabad,1994-04-28T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,Yes,No,No,No,NA,NA,Arts,NA,NA,1965,Himachal pradesh,No,No,No,Allahabad
Sarat Mohapatra,Male,1933-03-24T00:00:00Z,NA,NA,1984-06-20T00:00:00Z,NA,No,No,Orissa,Yes,Allahabad,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958,Odisha,No,No,No,Allahabad
Sushil Kumar Jain,Male,1933-10-30T00:00:00Z,NA,NA,1992-03-18T00:00:00Z,1995-10-30T00:00:00Z,No,No,PunjabandHaryana,Yes,Allahabad,1994-07-21T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Allahabad
Ambati Lakshmana Rao,Male,1934-01-14T00:00:00Z,NA,NA,1982-12-10T00:00:00Z,1996-01-14T00:00:00Z,No,No,AndhraPradesh,No,NA,NA,NA,NA,NA,NA,Yes,Allahabad,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,Yes,NA,NA,NA,NA,NA,1959,NA,NA,NA,No,Allahabad
Krishnavadan Gordhandas Shah,Male,1935-04-09T00:00:00Z,NA,NA,1990-06-21T00:00:00Z,1997-04-09T00:00:00Z,No,No,Gujarat,Yes,Allahabad,1994-07-04T00:00:00Z,Bombay,1994-12-13T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,M.G. Science College,science,NA,1958,1960,Gujarat,No,No,No,Allahabad
Tej Pal Garg,Male,1936-01-14T00:00:00Z,NA,NA,1994-06-20T00:00:00Z,1998-01-14T00:00:00Z,No,No,PunjabandHaryana,Yes,Allahabad,1994-07-21T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Allahabad
Ranendra Narayan Ray,Male,1936-05-02T00:00:00Z,West Bengal,Lalgola Murshidabad,1994-03-28T00:00:00Z,1998-05-01T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1994-04-19T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1964,West Bengal,No,No,No,Allahabad
Narendra Gupta,Male,1936-10-22T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2002-06-05T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Allahabad
Pramod Kumar Sarin,Male,1936-11-27T00:00:00Z,NA,NA,1994-02-01T00:00:00Z,1998-11-27T00:00:00Z,No,No,Allahabad,Yes,Patna,1994-02-21T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Allahabad
Joginder Singh Sidhu,Male,1937-01-30T00:00:00Z,Punjab,NA,1994-06-20T00:00:00Z,1999-01-30T00:00:00Z,No,No,PunjabandHaryana,Yes,Allahabad,1994-07-21T00:00:00Z,Rajasthan,1996-10-11T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1963,NA,No,No,No,Allahabad
Sohan Lal Saraf,Male,1937-06-04T00:00:00Z,NA,NA,1994-12-19T00:00:00Z,1999-06-03T00:00:00Z,No,No,Calcutta,Yes,Gauhati,1995-01-09T00:00:00Z,Allahabad,1997-03-03T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad
Ashok Kumar Srivastava,Male,1937-07-01T00:00:00Z,NA,NA,1994-09-29T00:00:00Z,1999-07-01T00:00:00Z,No,No,Allahabad,Yes,Delhi,1994-10-18T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Lucknow University,1957,NA,NA,No,Yes,No,Allahabad
Mohan Lal Singhal,Male,1938-07-10T00:00:00Z,NA,NA,1997-02-03T00:00:00Z,2000-07-09T00:00:00Z,No,No,Allahabad,Yes,Gauhati,2000-07-10T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Allahabad
Bhagwan Din,Male,1939-12-15T00:00:00Z,NA,NA,1996-11-19T00:00:00Z,2001-12-15T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,Lucknow University,NA,1965,Uttar Pradesh,No,No,No,Allahabad
Pramod Kumar Jain,Male,1939-12-21T00:00:00Z,NA,NA,1996-11-19T00:00:00Z,2001-12-20T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,NA,NA,NA,NA,NA,1962,Uttar Pradesh,No,No,No,Allahabad
Satish Kumar Jain-II,Male,1940-01-24T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2002-01-24T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,J.V Jain College,Arts,J.V Jain College,NA,NA,NA,No,Yes,No,Allahabad
Naseemuddin,Male,1940-06-06T00:00:00Z,NA,NA,2021-03-25T00:00:00Z,2021-12-19T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,Commerce,NA,NA,NA,NA,No,No,No,Allahabad
Jagdish Chandra Gupta,Male,1940-08-27T00:00:00Z,NA,NA,1996-03-22T00:00:00Z,2002-08-27T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1962,Uttar Pradesh,No,No,No,Allahabad
Shyamal Kumar Sen,Male,1940-11-25T00:00:00Z,West Bengal,Kolkata,1986-02-17T00:00:00Z,2002-11-24T00:00:00Z,No,No,Calcutta,Yes,Allahabad,2000-05-08T00:00:00Z,NA,NA,NA,NA,Yes,Allahabad,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"Sailendra Sircar Vidyalaya, Kolkata.","Scottish Church College, Calcutta University.",NA,"Department of Law, Calcutta University",NA,NA,West Bengal,No,No,No,Allahabad
Lakshmi Bihari,Male,1941-03-02T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2003-03-01T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,Allahabad University,Science,Allahabad University,NA,1969,Uttar Pradesh,No,No,No,Allahabad
Raisul Zaidi,Male,1941-05-01T00:00:00Z,NA,NA,1995-04-05T00:00:00Z,2003-04-30T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1962,Uttar Pradesh,No,No,No,Allahabad
Ramesh Dutt Shukla,Male,1941-05-16T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2003-05-15T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad
